frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-5.499999970197677612e-02
-7.850000000000000000e+07,7.014999866485595703e+00
-7.700000000000000000e+07,1.033300018310546875e+01
-7.550000000000000000e+07,8.899999618530273438e+00
-7.400000000000000000e+07,2.519999980926513672e+00
-7.250000000000000000e+07,-4.619999885559082031e+00
-7.100000000000000000e+07,-1.229599952697753906e+01
-6.950000000000000000e+07,-2.099300003051757812e+01
-6.800000000000000000e+07,-3.227799987792968750e+01
-6.650000000000000000e+07,-4.547000122070312500e+01
-6.500000000000000000e+07,-5.635100173950195312e+01
-6.350000000000000000e+07,-5.817499923706054688e+01
-6.200000000000000000e+07,-5.779700088500976562e+01
-6.050000000000000000e+07,-5.782500076293945312e+01
-5.900000000000000000e+07,-5.497700119018554688e+01
-5.750000000000000000e+07,-5.681399917602539062e+01
-5.600000000000000000e+07,-5.762599945068359375e+01
-5.450000000000000000e+07,-5.764599990844726562e+01
-5.300000000000000000e+07,-5.794800186157226562e+01
-5.150000000000000000e+07,-5.793700027465820312e+01
-5.000000000000000000e+07,-5.793000030517578125e+01
-4.850000000000000000e+07,-5.734199905395507812e+01
-4.700000000000000000e+07,-5.821400070190429688e+01
-4.550000000000000000e+07,-5.846799850463867188e+01
-4.400000000000000000e+07,-5.774800109863281250e+01
-4.250000000000000000e+07,-5.754399871826171875e+01
-4.100000000000000000e+07,-5.782400131225585938e+01
-3.950000000000000000e+07,-5.629999923706054688e+01
-3.800000000000000000e+07,-5.778799819946289062e+01
-3.650000000000000000e+07,-5.717300033569335938e+01
-3.500000000000000000e+07,-5.652799987792968750e+01
-3.350000000000000000e+07,-5.600799942016601562e+01
-3.200000000000000000e+07,-5.797700119018554688e+01
-3.050000000000000000e+07,-5.852099990844726562e+01
-2.900000000000000000e+07,-5.747399902343750000e+01
-2.750000000000000000e+07,-5.837300109863281250e+01
-2.600000000000000000e+07,-5.813000106811523438e+01
-2.450000000000000000e+07,-5.668000030517578125e+01
-2.300000000000000000e+07,-5.842699813842773438e+01
-2.150000000000000000e+07,-5.774300003051757812e+01
-2.000000000000000000e+07,-5.793399810791015625e+01
-1.850000000000000000e+07,-5.676800155639648438e+01
-1.700000000000000000e+07,-5.684199905395507812e+01
-1.550000000000000000e+07,-5.717300033569335938e+01
-1.400000000000000000e+07,-5.708100128173828125e+01
-1.250000000000000000e+07,-5.786899948120117188e+01
-1.100000000000000000e+07,-5.737500000000000000e+01
-9.500000000000000000e+06,-5.837599945068359375e+01
-8.000000000000000000e+06,-5.595600128173828125e+01
-6.500000000000000000e+06,-5.808300018310546875e+01
-5.000000000000000000e+06,-4.319599914550781250e+01
-3.500000000000000000e+06,-3.084600067138671875e+01
-2.000000000000000000e+06,-2.148800086975097656e+01
-5.000000000000000000e+05,-1.741900062561035156e+01
1.000000000000000000e+06,-1.774500083923339844e+01
2.500000000000000000e+06,-2.165500068664550781e+01
4.000000000000000000e+06,-2.849399948120117188e+01
5.500000000000000000e+06,-3.615100097656250000e+01
7.000000000000000000e+06,-4.402999877929687500e+01
8.500000000000000000e+06,-5.434299850463867188e+01
1.000000000000000000e+07,-5.775000000000000000e+01
1.150000000000000000e+07,-5.706999969482421875e+01
1.300000000000000000e+07,-5.854100036621093750e+01
1.450000000000000000e+07,-5.895800018310546875e+01
1.600000000000000000e+07,-5.775099945068359375e+01
1.750000000000000000e+07,-5.838999938964843750e+01
1.900000000000000000e+07,-5.875099945068359375e+01
2.050000000000000000e+07,-5.716600036621093750e+01
2.200000000000000000e+07,-5.737300109863281250e+01
2.350000000000000000e+07,-5.691699981689453125e+01
2.500000000000000000e+07,-5.618899917602539062e+01
2.650000000000000000e+07,-5.768999862670898438e+01
2.800000000000000000e+07,-5.881299972534179688e+01
2.950000000000000000e+07,-5.848099899291992188e+01
3.100000000000000000e+07,-5.742699813842773438e+01
3.250000000000000000e+07,-5.847299957275390625e+01
3.400000000000000000e+07,-5.802000045776367188e+01
3.550000000000000000e+07,-5.859799957275390625e+01
3.700000000000000000e+07,-5.868700027465820312e+01
3.850000000000000000e+07,-5.718999862670898438e+01
4.000000000000000000e+07,-5.697000122070312500e+01
4.150000000000000000e+07,-5.670500183105468750e+01
4.300000000000000000e+07,-5.817399978637695312e+01
4.450000000000000000e+07,-5.791400146484375000e+01
4.600000000000000000e+07,-5.770500183105468750e+01
4.750000000000000000e+07,-5.672000122070312500e+01
4.900000000000000000e+07,-5.730500030517578125e+01
5.050000000000000000e+07,-5.687900161743164062e+01
5.200000000000000000e+07,-5.743700027465820312e+01
5.350000000000000000e+07,-5.807899856567382812e+01
5.500000000000000000e+07,-5.786800003051757812e+01
5.650000000000000000e+07,-5.761299896240234375e+01
5.800000000000000000e+07,-5.701100158691406250e+01
5.950000000000000000e+07,-5.868700027465820312e+01
6.100000000000000000e+07,-5.886600112915039062e+01
6.250000000000000000e+07,-5.660800170898437500e+01
6.400000000000000000e+07,-5.779399871826171875e+01
6.550000000000000000e+07,-5.773300170898437500e+01
6.700000000000000000e+07,-5.745299911499023438e+01
6.850000000000000000e+07,-5.343500137329101562e+01
7.000000000000000000e+07,-3.519300079345703125e+01
7.150000000000000000e+07,-1.954199981689453125e+01
7.300000000000000000e+07,-6.609000205993652344e+00
7.450000000000000000e+07,2.072000026702880859e+00
7.600000000000000000e+07,7.889999866485595703e+00
7.750000000000000000e+07,9.770000457763671875e+00
7.900000000000000000e+07,7.885000228881835938e+00
8.050000000000000000e+07,1.253999948501586914e+00
8.200000000000000000e+07,-5.908999919891357422e+00
8.350000000000000000e+07,-1.385599994659423828e+01
8.500000000000000000e+07,-2.315999984741210938e+01
8.650000000000000000e+07,-3.529700088500976562e+01
8.800000000000000000e+07,-4.871900177001953125e+01
8.950000000000000000e+07,-5.766400146484375000e+01
9.100000000000000000e+07,-5.824800109863281250e+01
9.250000000000000000e+07,-5.719699859619140625e+01
9.400000000000000000e+07,-5.823600006103515625e+01
9.550000000000000000e+07,-5.779399871826171875e+01
9.700000000000000000e+07,-5.812699890136718750e+01
9.850000000000000000e+07,-5.722299957275390625e+01
1.000000000000000000e+08,-5.781999969482421875e+01
1.015000000000000000e+08,-5.768299865722656250e+01
1.030000000000000000e+08,-5.837400054931640625e+01
1.045000000000000000e+08,-5.797200012207031250e+01
1.060000000000000000e+08,-5.815299987792968750e+01
1.075000000000000000e+08,-5.619200134277343750e+01
1.090000000000000000e+08,-5.774700164794921875e+01
1.105000000000000000e+08,-5.769599914550781250e+01
1.120000000000000000e+08,-5.743000030517578125e+01
1.135000000000000000e+08,-5.747100067138671875e+01
1.150000000000000000e+08,-5.784199905395507812e+01
1.165000000000000000e+08,-5.666699981689453125e+01
1.180000000000000000e+08,-5.727000045776367188e+01
1.195000000000000000e+08,-5.857799911499023438e+01
1.210000000000000000e+08,-5.801699829101562500e+01
1.225000000000000000e+08,-5.706399917602539062e+01
1.240000000000000000e+08,-5.774000167846679688e+01
1.255000000000000000e+08,-5.834099960327148438e+01
1.270000000000000000e+08,-5.798199844360351562e+01
1.285000000000000000e+08,-5.738000106811523438e+01
1.300000000000000000e+08,-5.787099838256835938e+01
1.315000000000000000e+08,-5.774000167846679688e+01
1.330000000000000000e+08,-5.838999938964843750e+01
1.345000000000000000e+08,-5.767100143432617188e+01
1.360000000000000000e+08,-5.859099960327148438e+01
1.375000000000000000e+08,-5.847399902343750000e+01
1.390000000000000000e+08,-5.715599822998046875e+01
1.405000000000000000e+08,-5.786000061035156250e+01
1.420000000000000000e+08,-5.754100036621093750e+01
1.435000000000000000e+08,-5.765399932861328125e+01
1.450000000000000000e+08,-5.778099822998046875e+01
1.465000000000000000e+08,-5.774700164794921875e+01
1.480000000000000000e+08,-5.801499938964843750e+01
1.495000000000000000e+08,-5.781200027465820312e+01
1.510000000000000000e+08,-4.568399810791015625e+01
1.525000000000000000e+08,-3.807300186157226562e+01
1.540000000000000000e+08,-3.562200164794921875e+01
1.555000000000000000e+08,-3.650699996948242188e+01
1.570000000000000000e+08,-4.109400177001953125e+01
1.585000000000000000e+08,-4.747600173950195312e+01
1.600000000000000000e+08,-5.702799987792968750e+01
1.615000000000000000e+08,-5.811899948120117188e+01
1.630000000000000000e+08,-5.790599822998046875e+01
1.645000000000000000e+08,-5.711500167846679688e+01
1.660000000000000000e+08,-5.844800186157226562e+01
1.675000000000000000e+08,-5.766899871826171875e+01
1.690000000000000000e+08,-5.798899841308593750e+01
1.705000000000000000e+08,-5.745500183105468750e+01
1.720000000000000000e+08,-5.765800094604492188e+01
1.735000000000000000e+08,-5.638499832153320312e+01
1.750000000000000000e+08,-5.869699859619140625e+01
1.765000000000000000e+08,-5.791600036621093750e+01
1.780000000000000000e+08,-5.849399948120117188e+01
1.795000000000000000e+08,-5.828499984741210938e+01
1.810000000000000000e+08,-5.771099853515625000e+01
1.825000000000000000e+08,-5.535300064086914062e+01
1.840000000000000000e+08,-5.775600051879882812e+01
1.855000000000000000e+08,-5.736000061035156250e+01
1.870000000000000000e+08,-5.794200134277343750e+01
1.885000000000000000e+08,-5.730400085449218750e+01
1.900000000000000000e+08,-5.803099822998046875e+01
1.915000000000000000e+08,-5.859600067138671875e+01
1.930000000000000000e+08,-5.753699874877929688e+01
1.945000000000000000e+08,-5.828799819946289062e+01
1.960000000000000000e+08,-5.840900039672851562e+01
1.975000000000000000e+08,-5.866799926757812500e+01
1.990000000000000000e+08,-5.849100112915039062e+01
2.005000000000000000e+08,-5.856999969482421875e+01
2.020000000000000000e+08,-5.870899963378906250e+01
2.035000000000000000e+08,-5.850199890136718750e+01
2.050000000000000000e+08,-5.833000183105468750e+01
2.065000000000000000e+08,-5.801499938964843750e+01
2.080000000000000000e+08,-5.863100051879882812e+01
2.095000000000000000e+08,-5.785699844360351562e+01
2.110000000000000000e+08,-5.742900085449218750e+01
2.125000000000000000e+08,-5.858200073242187500e+01
2.140000000000000000e+08,-5.758399963378906250e+01
2.155000000000000000e+08,-5.815200042724609375e+01
2.170000000000000000e+08,-5.669200134277343750e+01
2.185000000000000000e+08,-5.679399871826171875e+01
2.200000000000000000e+08,-5.782300186157226562e+01
2.215000000000000000e+08,-5.844900131225585938e+01
2.230000000000000000e+08,-5.730899810791015625e+01
2.245000000000000000e+08,-5.841999816894531250e+01
2.260000000000000000e+08,-5.778200149536132812e+01
2.275000000000000000e+08,-5.134600067138671875e+01
2.290000000000000000e+08,-4.135699844360351562e+01
2.305000000000000000e+08,-3.735900115966796875e+01
2.320000000000000000e+08,-3.717100143432617188e+01
2.335000000000000000e+08,-4.042200088500976562e+01
2.350000000000000000e+08,-4.710699844360351562e+01
2.365000000000000000e+08,-5.663100051879882812e+01
2.380000000000000000e+08,-5.722200012207031250e+01
2.395000000000000000e+08,-5.801900100708007812e+01
2.410000000000000000e+08,-5.842699813842773438e+01
2.425000000000000000e+08,-5.852600097656250000e+01
2.440000000000000000e+08,-5.813499832153320312e+01
2.455000000000000000e+08,-5.888899993896484375e+01
2.470000000000000000e+08,-5.849399948120117188e+01
2.485000000000000000e+08,-5.824399948120117188e+01
2.500000000000000000e+08,-5.751200103759765625e+01
2.515000000000000000e+08,-5.834299850463867188e+01
2.530000000000000000e+08,-5.833200073242187500e+01
2.545000000000000000e+08,-5.816999816894531250e+01
2.560000000000000000e+08,-5.774499893188476562e+01
2.575000000000000000e+08,-5.856800079345703125e+01
2.590000000000000000e+08,-5.870399856567382812e+01
2.605000000000000000e+08,-5.797499847412109375e+01
2.620000000000000000e+08,-5.823500061035156250e+01
2.635000000000000000e+08,-5.817300033569335938e+01
2.650000000000000000e+08,-5.855899810791015625e+01
2.665000000000000000e+08,-5.854000091552734375e+01
2.680000000000000000e+08,-5.836700057983398438e+01
2.695000000000000000e+08,-5.767499923706054688e+01
2.710000000000000000e+08,-5.788399887084960938e+01
2.725000000000000000e+08,-5.909099960327148438e+01
2.740000000000000000e+08,-5.786299896240234375e+01
2.755000000000000000e+08,-5.865900039672851562e+01
2.770000000000000000e+08,-5.829000091552734375e+01
2.785000000000000000e+08,-5.827799987792968750e+01
2.800000000000000000e+08,-5.838999938964843750e+01
2.815000000000000000e+08,-5.671599960327148438e+01
2.830000000000000000e+08,-5.838199996948242188e+01
2.845000000000000000e+08,-5.828799819946289062e+01
2.860000000000000000e+08,-5.827700042724609375e+01
2.875000000000000000e+08,-5.724399948120117188e+01
2.890000000000000000e+08,-5.705400085449218750e+01
2.905000000000000000e+08,-5.895000076293945312e+01
2.920000000000000000e+08,-5.890299987792968750e+01
2.935000000000000000e+08,-5.729600143432617188e+01
2.950000000000000000e+08,-5.762900161743164062e+01
2.965000000000000000e+08,-5.801699829101562500e+01
2.980000000000000000e+08,-5.863299942016601562e+01
2.995000000000000000e+08,-5.738299942016601562e+01
3.010000000000000000e+08,-5.874800109863281250e+01
3.025000000000000000e+08,-5.789199829101562500e+01
3.040000000000000000e+08,-5.793500137329101562e+01
3.055000000000000000e+08,-5.835100173950195312e+01
3.070000000000000000e+08,-5.844800186157226562e+01
3.085000000000000000e+08,-5.668999862670898438e+01
3.100000000000000000e+08,-5.763299942016601562e+01
3.115000000000000000e+08,-5.891999816894531250e+01
3.130000000000000000e+08,-5.848099899291992188e+01
3.145000000000000000e+08,-5.799499893188476562e+01
3.160000000000000000e+08,-5.884099960327148438e+01
3.175000000000000000e+08,-5.680699920654296875e+01
3.190000000000000000e+08,-5.846300125122070312e+01
3.205000000000000000e+08,-5.800500106811523438e+01
3.220000000000000000e+08,-5.732799911499023438e+01
3.235000000000000000e+08,-5.788999938964843750e+01
3.250000000000000000e+08,-5.848799896240234375e+01
3.265000000000000000e+08,-5.815599822998046875e+01
3.280000000000000000e+08,-5.826800155639648438e+01
3.295000000000000000e+08,-5.820999908447265625e+01
3.310000000000000000e+08,-5.867399978637695312e+01
3.325000000000000000e+08,-5.803900146484375000e+01
3.340000000000000000e+08,-5.822900009155273438e+01
3.355000000000000000e+08,-5.774599838256835938e+01
3.370000000000000000e+08,-5.797800064086914062e+01
3.385000000000000000e+08,-5.846500015258789062e+01
3.400000000000000000e+08,-5.825699996948242188e+01
3.415000000000000000e+08,-5.814799880981445312e+01
3.430000000000000000e+08,-5.673699951171875000e+01
3.445000000000000000e+08,-5.883399963378906250e+01
3.460000000000000000e+08,-5.805799865722656250e+01
3.475000000000000000e+08,-5.831499862670898438e+01
3.490000000000000000e+08,-5.710800170898437500e+01
3.505000000000000000e+08,-5.804000091552734375e+01
3.520000000000000000e+08,-5.788999938964843750e+01
3.535000000000000000e+08,-5.890999984741210938e+01
3.550000000000000000e+08,-5.874000167846679688e+01
3.565000000000000000e+08,-5.825799942016601562e+01
3.580000000000000000e+08,-5.667399978637695312e+01
3.595000000000000000e+08,-5.862599945068359375e+01
3.610000000000000000e+08,-5.791999816894531250e+01
3.625000000000000000e+08,-5.842300033569335938e+01
3.640000000000000000e+08,-5.826800155639648438e+01
3.655000000000000000e+08,-5.778200149536132812e+01
3.670000000000000000e+08,-5.684700012207031250e+01
3.685000000000000000e+08,-5.879399871826171875e+01
3.700000000000000000e+08,-5.860200119018554688e+01
3.715000000000000000e+08,-5.718700027465820312e+01
3.730000000000000000e+08,-5.836000061035156250e+01
3.745000000000000000e+08,-5.657600021362304688e+01
3.760000000000000000e+08,-5.800299835205078125e+01
3.775000000000000000e+08,-5.855300140380859375e+01
3.790000000000000000e+08,-5.829199981689453125e+01
3.805000000000000000e+08,-5.794800186157226562e+01
3.820000000000000000e+08,-5.729800033569335938e+01
3.835000000000000000e+08,-5.719200134277343750e+01
3.850000000000000000e+08,-5.815499877929687500e+01
3.865000000000000000e+08,-5.829100036621093750e+01
3.880000000000000000e+08,-5.777899932861328125e+01
3.895000000000000000e+08,-5.667100143432617188e+01
3.910000000000000000e+08,-5.673099899291992188e+01
3.925000000000000000e+08,-5.782699966430664062e+01
3.940000000000000000e+08,-5.783000183105468750e+01
3.955000000000000000e+08,-5.806000137329101562e+01
3.970000000000000000e+08,-5.853200149536132812e+01
3.985000000000000000e+08,-5.665000152587890625e+01
4.000000000000000000e+08,-5.815900039672851562e+01
4.015000000000000000e+08,-5.863399887084960938e+01
4.030000000000000000e+08,-5.782500076293945312e+01
4.045000000000000000e+08,-5.820000076293945312e+01
4.060000000000000000e+08,-5.820299911499023438e+01
4.075000000000000000e+08,-5.838999938964843750e+01
4.090000000000000000e+08,-5.749599838256835938e+01
4.105000000000000000e+08,-5.778200149536132812e+01
4.120000000000000000e+08,-5.806200027465820312e+01
4.135000000000000000e+08,-5.731700134277343750e+01
4.150000000000000000e+08,-5.782400131225585938e+01
4.165000000000000000e+08,-5.750000000000000000e+01
4.180000000000000000e+08,-5.735699844360351562e+01
4.195000000000000000e+08,-5.872200012207031250e+01
4.210000000000000000e+08,-5.763000106811523438e+01
4.225000000000000000e+08,-5.873199844360351562e+01
4.240000000000000000e+08,-5.749399948120117188e+01
4.255000000000000000e+08,-5.706299972534179688e+01
4.270000000000000000e+08,-5.910499954223632812e+01
4.285000000000000000e+08,-5.840399932861328125e+01
4.300000000000000000e+08,-5.827899932861328125e+01
4.315000000000000000e+08,-5.799499893188476562e+01
4.330000000000000000e+08,-5.715999984741210938e+01
4.345000000000000000e+08,-5.759700012207031250e+01
4.360000000000000000e+08,-5.797499847412109375e+01
4.375000000000000000e+08,-5.713499832153320312e+01
4.390000000000000000e+08,-5.874100112915039062e+01
4.405000000000000000e+08,-5.804000091552734375e+01
4.420000000000000000e+08,-5.596200180053710938e+01
4.435000000000000000e+08,-5.852899932861328125e+01
