frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-2.171999931335449219e+01
-7.875000000000000000e+07,-1.651499938964843750e+01
-7.750000000000000000e+07,-8.178999900817871094e+00
-7.625000000000000000e+07,-8.694999694824218750e+00
-7.500000000000000000e+07,-1.524199962615966797e+01
-7.375000000000000000e+07,-2.188199996948242188e+01
-7.250000000000000000e+07,-1.589299964904785156e+01
-7.125000000000000000e+07,-8.685000419616699219e+00
-7.000000000000000000e+07,-8.772999763488769531e+00
-6.875000000000000000e+07,-1.451399993896484375e+01
-6.750000000000000000e+07,-2.231100082397460938e+01
-6.625000000000000000e+07,-1.897400093078613281e+01
-6.500000000000000000e+07,-1.020199966430664062e+01
-6.375000000000000000e+07,-9.154999732971191406e+00
-6.250000000000000000e+07,-1.438899993896484375e+01
-6.125000000000000000e+07,-2.318700027465820312e+01
-6.000000000000000000e+07,-2.083600044250488281e+01
-5.875000000000000000e+07,-1.204599952697753906e+01
-5.750000000000000000e+07,-1.052600002288818359e+01
-5.625000000000000000e+07,-1.564599990844726562e+01
-5.500000000000000000e+07,-2.443899917602539062e+01
-5.375000000000000000e+07,-2.486599922180175781e+01
-5.250000000000000000e+07,-1.464799976348876953e+01
-5.125000000000000000e+07,-1.303999996185302734e+01
-5.000000000000000000e+07,-1.838299942016601562e+01
-4.875000000000000000e+07,-2.695499992370605469e+01
-4.750000000000000000e+07,-2.852599906921386719e+01
-4.625000000000000000e+07,-1.920800018310546875e+01
-4.500000000000000000e+07,-1.724500083923339844e+01
-4.375000000000000000e+07,-2.331100082397460938e+01
-4.250000000000000000e+07,-3.182999992370605469e+01
-4.125000000000000000e+07,-3.493999862670898438e+01
-4.000000000000000000e+07,-2.816500091552734375e+01
-3.875000000000000000e+07,-2.515500068664550781e+01
-3.750000000000000000e+07,-3.376599884033203125e+01
-3.625000000000000000e+07,-3.211700057983398438e+01
-3.500000000000000000e+07,-3.002899932861328125e+01
-3.375000000000000000e+07,-3.740800094604492188e+01
-3.250000000000000000e+07,-3.945000076293945312e+01
-3.125000000000000000e+07,-3.641099929809570312e+01
-3.000000000000000000e+07,-2.805100059509277344e+01
-2.875000000000000000e+07,-3.287799835205078125e+01
-2.750000000000000000e+07,-3.552500152587890625e+01
-2.625000000000000000e+07,-3.097999954223632812e+01
-2.500000000000000000e+07,-3.800999832153320312e+01
-2.375000000000000000e+07,-3.698899841308593750e+01
-2.250000000000000000e+07,-3.835100173950195312e+01
-2.125000000000000000e+07,-2.771899986267089844e+01
-2.000000000000000000e+07,-2.329899978637695312e+01
-1.875000000000000000e+07,-2.866099929809570312e+01
-1.750000000000000000e+07,-3.596599960327148438e+01
-1.625000000000000000e+07,-3.458000183105468750e+01
-1.500000000000000000e+07,-2.502000045776367188e+01
-1.375000000000000000e+07,-2.115299987792968750e+01
-1.250000000000000000e+07,-2.621599960327148438e+01
-1.125000000000000000e+07,-3.466999816894531250e+01
-1.000000000000000000e+07,-3.520899963378906250e+01
-8.750000000000000000e+06,-2.503800010681152344e+01
-7.500000000000000000e+06,-2.247400093078613281e+01
