frequency_hz,amplitude_dbm
4.700000000000000000e+07,-9.669999694824218750e+01
4.715000000000000000e+07,-1.009840011596679688e+02
4.730000000000000000e+07,-9.733599853515625000e+01
4.745000000000000000e+07,-9.470600128173828125e+01
4.760000000000000000e+07,-1.013170013427734375e+02
4.775000000000000000e+07,-9.734200286865234375e+01
4.790000000000000000e+07,-9.801799774169921875e+01
4.805000000000000000e+07,-1.036559982299804688e+02
4.820000000000000000e+07,-9.932700347900390625e+01
4.835000000000000000e+07,-9.501599884033203125e+01
4.850000000000000000e+07,-9.636100006103515625e+01
4.865000000000000000e+07,-1.082839965820312500e+02
4.880000000000000000e+07,-1.003300018310546875e+02
4.895000000000000000e+07,-9.766400146484375000e+01
4.910000000000000000e+07,-9.534899902343750000e+01
4.925000000000000000e+07,-9.932299804687500000e+01
4.940000000000000000e+07,-9.998000335693359375e+01
4.955000000000000000e+07,-9.799700164794921875e+01
4.970000000000000000e+07,-9.867900085449218750e+01
4.985000000000000000e+07,-1.013099975585937500e+02
5.000000000000000000e+07,-9.765499877929687500e+01
5.015000000000000000e+07,-9.900399780273437500e+01
5.030000000000000000e+07,-1.023180007934570312e+02
5.045000000000000000e+07,-9.767099761962890625e+01
5.060000000000000000e+07,-9.833799743652343750e+01
5.075000000000000000e+07,-9.767099761962890625e+01
5.090000000000000000e+07,-1.026549987792968750e+02
5.105000000000000000e+07,-9.632299804687500000e+01
5.120000000000000000e+07,-1.036320037841796875e+02
5.135000000000000000e+07,-1.006360015869140625e+02
5.150000000000000000e+07,-9.733300018310546875e+01
5.165000000000000000e+07,-9.964099884033203125e+01
5.180000000000000000e+07,-1.036500015258789062e+02
5.195000000000000000e+07,-1.016429977416992188e+02
5.210000000000000000e+07,-9.798899841308593750e+01
5.225000000000000000e+07,-1.039589996337890625e+02
5.240000000000000000e+07,-9.999500274658203125e+01
5.255000000000000000e+07,-9.601300048828125000e+01
5.270000000000000000e+07,-9.832499694824218750e+01
5.285000000000000000e+07,-1.006589965820312500e+02
5.300000000000000000e+07,-9.930400085449218750e+01
5.315000000000000000e+07,-9.866200256347656250e+01
5.330000000000000000e+07,-9.599099731445312500e+01
5.345000000000000000e+07,-1.046309967041015625e+02
5.360000000000000000e+07,-9.333899688720703125e+01
5.375000000000000000e+07,-1.019860000610351562e+02
5.390000000000000000e+07,-1.046370010375976562e+02
5.405000000000000000e+07,-1.042819976806640625e+02
5.420000000000000000e+07,-9.998799896240234375e+01
5.435000000000000000e+07,-9.567400360107421875e+01
5.450000000000000000e+07,-1.046320037841796875e+02
5.465000000000000000e+07,-1.019649963378906250e+02
5.480000000000000000e+07,-1.013180007934570312e+02
5.495000000000000000e+07,-1.003150024414062500e+02
5.510000000000000000e+07,-9.763700103759765625e+01
5.525000000000000000e+07,-9.797100067138671875e+01
5.540000000000000000e+07,-9.764199829101562500e+01
5.555000000000000000e+07,-9.931500244140625000e+01
5.570000000000000000e+07,-9.730599975585937500e+01
5.585000000000000000e+07,-1.029520034790039062e+02
5.600000000000000000e+07,-9.764399719238281250e+01
5.615000000000000000e+07,-9.698400115966796875e+01
5.630000000000000000e+07,-9.563899993896484375e+01
5.645000000000000000e+07,-9.863600158691406250e+01
5.660000000000000000e+07,-9.530899810791015625e+01
5.675000000000000000e+07,-9.929000091552734375e+01
5.690000000000000000e+07,-9.599700164794921875e+01
5.705000000000000000e+07,-1.002870025634765625e+02
5.720000000000000000e+07,-9.498300170898437500e+01
5.735000000000000000e+07,-9.697100067138671875e+01
5.750000000000000000e+07,-1.056119995117187500e+02
5.765000000000000000e+07,-9.863899993896484375e+01
5.780000000000000000e+07,-1.016149978637695312e+02
5.795000000000000000e+07,-9.597899627685546875e+01
5.810000000000000000e+07,-1.019469985961914062e+02
5.825000000000000000e+07,-1.029499969482421875e+02
5.840000000000000000e+07,-1.026110000610351562e+02
5.855000000000000000e+07,-9.433100128173828125e+01
5.870000000000000000e+07,-9.829299926757812500e+01
5.885000000000000000e+07,-9.598300170898437500e+01
5.900000000000000000e+07,-1.009530029296875000e+02
5.915000000000000000e+07,-1.012939987182617188e+02
5.930000000000000000e+07,-9.762300109863281250e+01
5.945000000000000000e+07,-1.022819976806640625e+02
5.960000000000000000e+07,-9.762999725341796875e+01
5.975000000000000000e+07,-9.663600158691406250e+01
5.990000000000000000e+07,-9.863800048828125000e+01
6.005000000000000000e+07,-9.430999755859375000e+01
6.020000000000000000e+07,-1.052740020751953125e+02
6.035000000000000000e+07,-9.696499633789062500e+01
6.050000000000000000e+07,-9.598100280761718750e+01
