frequency_hz,amplitude_dbm
2.700000000000000000e+07,-9.303500366210937500e+01
2.725000000000000000e+07,-9.337799835205078125e+01
2.750000000000000000e+07,-9.402400207519531250e+01
2.775000000000000000e+07,-8.805599975585937500e+01
2.800000000000000000e+07,-8.704599761962890625e+01
2.825000000000000000e+07,-8.804299926757812500e+01
2.850000000000000000e+07,-8.706999969482421875e+01
2.875000000000000000e+07,-9.335900115966796875e+01
2.900000000000000000e+07,-8.804900360107421875e+01
2.925000000000000000e+07,-9.169699859619140625e+01
2.950000000000000000e+07,-9.401799774169921875e+01
2.975000000000000000e+07,-8.803399658203125000e+01
3.000000000000000000e+07,-9.301499938964843750e+01
3.025000000000000000e+07,-9.403600311279296875e+01
3.050000000000000000e+07,-9.369499969482421875e+01
3.075000000000000000e+07,-9.169400024414062500e+01
3.100000000000000000e+07,-9.601200103759765625e+01
3.125000000000000000e+07,-9.270300292968750000e+01
3.150000000000000000e+07,-9.136000061035156250e+01
3.175000000000000000e+07,-9.668699645996093750e+01
3.200000000000000000e+07,-9.832099914550781250e+01
3.225000000000000000e+07,-9.068199920654296875e+01
3.250000000000000000e+07,-9.932399749755859375e+01
3.275000000000000000e+07,-8.537899780273437500e+01
3.300000000000000000e+07,-9.001899719238281250e+01
3.325000000000000000e+07,-8.904399871826171875e+01
3.350000000000000000e+07,-8.404499816894531250e+01
3.375000000000000000e+07,-8.405999755859375000e+01
3.400000000000000000e+07,-9.169400024414062500e+01
3.425000000000000000e+07,-9.466799926757812500e+01
3.450000000000000000e+07,-8.936699676513671875e+01
3.475000000000000000e+07,-9.066999816894531250e+01
3.500000000000000000e+07,-8.735299682617187500e+01
3.525000000000000000e+07,-9.467800140380859375e+01
3.550000000000000000e+07,-8.869000244140625000e+01
3.575000000000000000e+07,-8.967299652099609375e+01
3.600000000000000000e+07,-9.166799926757812500e+01
3.625000000000000000e+07,-9.532099914550781250e+01
3.650000000000000000e+07,-8.867900085449218750e+01
