frequency_hz,amplitude_dbm
4.700000000000000000e+07,-4.281800079345703125e+01
4.715000000000000000e+07,-4.355599975585937500e+01
4.730000000000000000e+07,-4.914199829101562500e+01
4.745000000000000000e+07,-5.352799987792968750e+01
4.760000000000000000e+07,-4.636600112915039062e+01
4.775000000000000000e+07,-3.966699981689453125e+01
4.790000000000000000e+07,-3.563000106811523438e+01
4.805000000000000000e+07,-3.540299987792968750e+01
4.820000000000000000e+07,-3.771400070190429688e+01
4.835000000000000000e+07,-4.400299835205078125e+01
4.850000000000000000e+07,-4.792800140380859375e+01
4.865000000000000000e+07,-4.113399887084960938e+01
4.880000000000000000e+07,-3.464699935913085938e+01
4.895000000000000000e+07,-3.138500022888183594e+01
4.910000000000000000e+07,-3.142200088500976562e+01
4.925000000000000000e+07,-3.482899856567382812e+01
4.940000000000000000e+07,-4.150899887084960938e+01
4.955000000000000000e+07,-4.369900131225585938e+01
4.970000000000000000e+07,-3.685300064086914062e+01
4.985000000000000000e+07,-3.092399978637695312e+01
5.000000000000000000e+07,-2.899200057983398438e+01
5.015000000000000000e+07,-2.947599983215332031e+01
5.030000000000000000e+07,-3.446500015258789062e+01
5.045000000000000000e+07,-4.145199966430664062e+01
5.060000000000000000e+07,-4.025899887084960938e+01
5.075000000000000000e+07,-3.345199966430664062e+01
5.090000000000000000e+07,-2.846999931335449219e+01
5.105000000000000000e+07,-2.764399909973144531e+01
5.120000000000000000e+07,-2.926899909973144531e+01
5.135000000000000000e+07,-3.550199890136718750e+01
5.150000000000000000e+07,-4.222499847412109375e+01
5.165000000000000000e+07,-3.754600143432617188e+01
5.180000000000000000e+07,-3.090299987792968750e+01
5.195000000000000000e+07,-2.727199935913085938e+01
5.210000000000000000e+07,-2.720299911499023438e+01
5.225000000000000000e+07,-3.047800064086914062e+01
5.240000000000000000e+07,-3.745399856567382812e+01
5.255000000000000000e+07,-4.217599868774414062e+01
5.270000000000000000e+07,-3.560499954223632812e+01
5.285000000000000000e+07,-2.963299942016601562e+01
5.300000000000000000e+07,-2.755100059509277344e+01
5.315000000000000000e+07,-2.801300048828125000e+01
5.330000000000000000e+07,-3.301399993896484375e+01
5.345000000000000000e+07,-4.013899993896484375e+01
5.360000000000000000e+07,-4.128900146484375000e+01
5.375000000000000000e+07,-3.465399932861328125e+01
5.390000000000000000e+07,-2.968799972534179688e+01
5.405000000000000000e+07,-2.893600082397460938e+01
5.420000000000000000e+07,-3.050000000000000000e+01
5.435000000000000000e+07,-3.678699874877929688e+01
5.450000000000000000e+07,-4.361800003051757812e+01
5.465000000000000000e+07,-4.177299880981445312e+01
5.480000000000000000e+07,-3.531299972534179688e+01
5.495000000000000000e+07,-3.178700065612792969e+01
5.510000000000000000e+07,-3.164299964904785156e+01
5.525000000000000000e+07,-3.501900100708007812e+01
5.540000000000000000e+07,-4.207500076293945312e+01
5.555000000000000000e+07,-4.863600158691406250e+01
5.570000000000000000e+07,-4.544400024414062500e+01
5.585000000000000000e+07,-3.968500137329101562e+01
5.600000000000000000e+07,-3.767900085449218750e+01
5.615000000000000000e+07,-3.821400070190429688e+01
5.630000000000000000e+07,-4.311899948120117188e+01
5.645000000000000000e+07,-5.027199935913085938e+01
5.660000000000000000e+07,-5.568899917602539062e+01
5.675000000000000000e+07,-4.946799850463867188e+01
5.690000000000000000e+07,-4.447900009155273438e+01
5.705000000000000000e+07,-4.377500152587890625e+01
5.720000000000000000e+07,-4.532400131225585938e+01
5.735000000000000000e+07,-5.123899841308593750e+01
5.750000000000000000e+07,-5.063199996948242188e+01
5.765000000000000000e+07,-4.320500183105468750e+01
5.780000000000000000e+07,-3.673899841308593750e+01
5.795000000000000000e+07,-3.321799850463867188e+01
5.810000000000000000e+07,-3.321099853515625000e+01
5.825000000000000000e+07,-3.657099914550781250e+01
5.840000000000000000e+07,-4.320299911499023438e+01
5.855000000000000000e+07,-4.303300094604492188e+01
5.870000000000000000e+07,-3.601599884033203125e+01
5.885000000000000000e+07,-3.013500022888183594e+01
5.900000000000000000e+07,-2.828100013732910156e+01
5.915000000000000000e+07,-2.879000091552734375e+01
5.930000000000000000e+07,-3.387500000000000000e+01
5.945000000000000000e+07,-4.068899917602539062e+01
5.960000000000000000e+07,-3.779100036621093750e+01
5.975000000000000000e+07,-3.098900032043457031e+01
5.990000000000000000e+07,-2.606200027465820312e+01
6.005000000000000000e+07,-2.539599990844726562e+01
6.020000000000000000e+07,-2.710899925231933594e+01
6.035000000000000000e+07,-3.350500106811523438e+01
6.050000000000000000e+07,-3.998199844360351562e+01
6.065000000000000000e+07,-3.382199859619140625e+01
6.080000000000000000e+07,-2.723100090026855469e+01
6.095000000000000000e+07,-2.376899909973144531e+01
6.110000000000000000e+07,-2.377300071716308594e+01
6.125000000000000000e+07,-2.724200057983398438e+01
6.140000000000000000e+07,-3.427500152587890625e+01
6.155000000000000000e+07,-3.738000106811523438e+01
6.170000000000000000e+07,-3.065200042724609375e+01
6.185000000000000000e+07,-2.473900032043457031e+01
6.200000000000000000e+07,-2.289100074768066406e+01
6.215000000000000000e+07,-2.341699981689453125e+01
6.230000000000000000e+07,-2.868400001525878906e+01
6.245000000000000000e+07,-3.569499969482421875e+01
6.260000000000000000e+07,-3.520399856567382812e+01
6.275000000000000000e+07,-2.838500022888183594e+01
6.290000000000000000e+07,-2.351000022888183594e+01
6.305000000000000000e+07,-2.290500068664550781e+01
6.320000000000000000e+07,-2.466099929809570312e+01
6.335000000000000000e+07,-3.106900024414062500e+01
6.350000000000000000e+07,-3.788800048828125000e+01
6.365000000000000000e+07,-3.378599929809570312e+01
6.380000000000000000e+07,-2.728199958801269531e+01
6.395000000000000000e+07,-2.387199974060058594e+01
6.410000000000000000e+07,-2.384099960327148438e+01
6.425000000000000000e+07,-2.741799926757812500e+01
6.440000000000000000e+07,-3.446300125122070312e+01
6.455000000000000000e+07,-4.025999832153320312e+01
6.470000000000000000e+07,-3.374599838256835938e+01
6.485000000000000000e+07,-2.783699989318847656e+01
6.500000000000000000e+07,-2.605999946594238281e+01
6.515000000000000000e+07,-2.666900062561035156e+01
6.530000000000000000e+07,-3.191799926757812500e+01
6.545000000000000000e+07,-3.919100189208984375e+01
6.560000000000000000e+07,-4.316199874877929688e+01
6.575000000000000000e+07,-3.670800018310546875e+01
6.590000000000000000e+07,-3.195999908447265625e+01
6.605000000000000000e+07,-3.139999961853027344e+01
6.620000000000000000e+07,-3.317100143432617188e+01
6.635000000000000000e+07,-3.954499816894531250e+01
6.650000000000000000e+07,-4.699399948120117188e+01
