frequency_hz,amplitude_dbm
7.650000000000000000e+07,-3.663499832153320312e+01
7.650250000000000000e+07,-3.673699951171875000e+01
7.650500000000000000e+07,-3.666899871826171875e+01
7.650750000000000000e+07,-3.670600128173828125e+01
7.651000000000000000e+07,-3.663800048828125000e+01
7.651250000000000000e+07,-3.656600189208984375e+01
7.651500000000000000e+07,-3.654299926757812500e+01
7.651750000000000000e+07,-3.639699935913085938e+01
7.652000000000000000e+07,-3.638399887084960938e+01
7.652250000000000000e+07,-3.631499862670898438e+01
7.652500000000000000e+07,-3.623099899291992188e+01
7.652750000000000000e+07,-3.615100097656250000e+01
7.653000000000000000e+07,-3.619800186157226562e+01
7.653250000000000000e+07,-3.622200012207031250e+01
7.653500000000000000e+07,-3.598699951171875000e+01
7.653750000000000000e+07,-3.602999877929687500e+01
7.654000000000000000e+07,-3.604299926757812500e+01
7.654250000000000000e+07,-3.591799926757812500e+01
7.654500000000000000e+07,-3.593299865722656250e+01
7.654750000000000000e+07,-3.586500167846679688e+01
7.655000000000000000e+07,-3.577999877929687500e+01
7.655250000000000000e+07,-3.576300048828125000e+01
7.655500000000000000e+07,-3.560900115966796875e+01
7.655750000000000000e+07,-3.566699981689453125e+01
7.656000000000000000e+07,-3.557099914550781250e+01
7.656250000000000000e+07,-3.555300140380859375e+01
7.656500000000000000e+07,-3.553099822998046875e+01
7.656750000000000000e+07,-3.544900131225585938e+01
7.657000000000000000e+07,-3.536899948120117188e+01
7.657250000000000000e+07,-3.541999816894531250e+01
7.657500000000000000e+07,-3.534700012207031250e+01
7.657750000000000000e+07,-3.523300170898437500e+01
7.658000000000000000e+07,-3.516899871826171875e+01
7.658250000000000000e+07,-3.519100189208984375e+01
7.658500000000000000e+07,-3.519800186157226562e+01
7.658750000000000000e+07,-3.515999984741210938e+01
7.659000000000000000e+07,-3.502500152587890625e+01
7.659250000000000000e+07,-3.490999984741210938e+01
7.659500000000000000e+07,-3.493299865722656250e+01
7.659750000000000000e+07,-3.481100082397460938e+01
7.660000000000000000e+07,-3.478799819946289062e+01
7.660250000000000000e+07,-3.472999954223632812e+01
7.660500000000000000e+07,-3.465299987792968750e+01
7.660750000000000000e+07,-3.452000045776367188e+01
7.661000000000000000e+07,-3.457400131225585938e+01
7.661250000000000000e+07,-3.458900070190429688e+01
7.661500000000000000e+07,-3.455099868774414062e+01
7.661750000000000000e+07,-3.448099899291992188e+01
7.662000000000000000e+07,-3.438000106811523438e+01
7.662250000000000000e+07,-3.433499908447265625e+01
7.662500000000000000e+07,-3.420000076293945312e+01
7.662750000000000000e+07,-3.420700073242187500e+01
7.663000000000000000e+07,-3.409500122070312500e+01
7.663250000000000000e+07,-3.413600158691406250e+01
7.663500000000000000e+07,-3.407799911499023438e+01
7.663750000000000000e+07,-3.397999954223632812e+01
7.664000000000000000e+07,-3.392499923706054688e+01
7.664250000000000000e+07,-3.391699981689453125e+01
7.664500000000000000e+07,-3.369200134277343750e+01
7.664750000000000000e+07,-3.375799942016601562e+01
7.665000000000000000e+07,-3.370899963378906250e+01
7.665250000000000000e+07,-3.358800125122070312e+01
7.665500000000000000e+07,-3.353499984741210938e+01
7.665750000000000000e+07,-3.350199890136718750e+01
7.666000000000000000e+07,-3.349200057983398438e+01
7.666250000000000000e+07,-3.331399917602539062e+01
7.666500000000000000e+07,-3.337300109863281250e+01
7.666750000000000000e+07,-3.323099899291992188e+01
7.667000000000000000e+07,-3.318299865722656250e+01
7.667250000000000000e+07,-3.319900131225585938e+01
7.667500000000000000e+07,-3.302899932861328125e+01
7.667750000000000000e+07,-3.300699996948242188e+01
7.668000000000000000e+07,-3.291699981689453125e+01
7.668250000000000000e+07,-3.291799926757812500e+01
7.668500000000000000e+07,-3.281200027465820312e+01
7.668750000000000000e+07,-3.280500030517578125e+01
7.669000000000000000e+07,-3.264099884033203125e+01
7.669250000000000000e+07,-3.258599853515625000e+01
7.669500000000000000e+07,-3.256499862670898438e+01
7.669750000000000000e+07,-3.239799880981445312e+01
7.670000000000000000e+07,-3.241099929809570312e+01
7.670250000000000000e+07,-3.232799911499023438e+01
7.670500000000000000e+07,-3.225000000000000000e+01
7.670750000000000000e+07,-3.215399932861328125e+01
7.671000000000000000e+07,-3.214300155639648438e+01
7.671250000000000000e+07,-3.209299850463867188e+01
7.671500000000000000e+07,-3.197900009155273438e+01
7.671750000000000000e+07,-3.200999832153320312e+01
7.672000000000000000e+07,-3.183499908447265625e+01
7.672250000000000000e+07,-3.175900077819824219e+01
7.672500000000000000e+07,-3.168499946594238281e+01
7.672750000000000000e+07,-3.161199951171875000e+01
7.673000000000000000e+07,-3.158699989318847656e+01
7.673250000000000000e+07,-3.149799919128417969e+01
7.673500000000000000e+07,-3.137100028991699219e+01
7.673750000000000000e+07,-3.121500015258789062e+01
7.674000000000000000e+07,-3.116300010681152344e+01
7.674250000000000000e+07,-3.109900093078613281e+01
7.674500000000000000e+07,-3.102599906921386719e+01
7.674750000000000000e+07,-3.089299964904785156e+01
7.675000000000000000e+07,-3.077400016784667969e+01
7.675250000000000000e+07,-3.076499938964843750e+01
7.675500000000000000e+07,-3.062100028991699219e+01
7.675750000000000000e+07,-3.054599952697753906e+01
7.676000000000000000e+07,-3.047800064086914062e+01
7.676250000000000000e+07,-3.029800033569335938e+01
7.676500000000000000e+07,-3.029700088500976562e+01
7.676750000000000000e+07,-3.019700050354003906e+01
7.677000000000000000e+07,-3.004500007629394531e+01
7.677250000000000000e+07,-2.996999931335449219e+01
7.677500000000000000e+07,-2.986599922180175781e+01
7.677750000000000000e+07,-2.985799980163574219e+01
7.678000000000000000e+07,-2.969300079345703125e+01
7.678250000000000000e+07,-2.970400047302246094e+01
7.678500000000000000e+07,-2.951600074768066406e+01
7.678750000000000000e+07,-2.942799949645996094e+01
7.679000000000000000e+07,-2.927099990844726562e+01
7.679250000000000000e+07,-2.923399925231933594e+01
7.679500000000000000e+07,-2.902099990844726562e+01
7.679750000000000000e+07,-2.898600006103515625e+01
7.680000000000000000e+07,-2.886499977111816406e+01
7.680250000000000000e+07,-2.873600006103515625e+01
7.680500000000000000e+07,-2.861400032043457031e+01
7.680750000000000000e+07,-2.851300048828125000e+01
7.681000000000000000e+07,-2.838899993896484375e+01
7.681250000000000000e+07,-2.823500061035156250e+01
7.681500000000000000e+07,-2.816399955749511719e+01
