frequency_hz,amplitude_dbm
4.700000000000000000e+07,-2.897900009155273438e+01
4.715000000000000000e+07,-2.955100059509277344e+01
4.730000000000000000e+07,-3.542499923706054688e+01
4.745000000000000000e+07,-4.281000137329101562e+01
4.760000000000000000e+07,-4.045299911499023438e+01
4.775000000000000000e+07,-3.370399856567382812e+01
4.790000000000000000e+07,-2.979999923706054688e+01
4.805000000000000000e+07,-2.959600067138671875e+01
4.820000000000000000e+07,-3.189800071716308594e+01
4.835000000000000000e+07,-3.848699951171875000e+01
4.850000000000000000e+07,-4.565700149536132812e+01
4.865000000000000000e+07,-3.953099822998046875e+01
4.880000000000000000e+07,-3.317499923706054688e+01
4.895000000000000000e+07,-2.993000030517578125e+01
4.910000000000000000e+07,-2.990399932861328125e+01
4.925000000000000000e+07,-3.329199981689453125e+01
4.940000000000000000e+07,-4.013299942016601562e+01
4.955000000000000000e+07,-4.355099868774414062e+01
4.970000000000000000e+07,-3.665900039672851562e+01
4.985000000000000000e+07,-3.071400070190429688e+01
5.000000000000000000e+07,-2.888299942016601562e+01
5.015000000000000000e+07,-2.931100082397460938e+01
5.030000000000000000e+07,-3.425400161743164062e+01
5.045000000000000000e+07,-4.124100112915039062e+01
5.060000000000000000e+07,-4.012200164794921875e+01
5.075000000000000000e+07,-3.331000137329101562e+01
5.090000000000000000e+07,-2.838199996948242188e+01
5.105000000000000000e+07,-2.760899925231933594e+01
5.120000000000000000e+07,-2.921400070190429688e+01
5.135000000000000000e+07,-3.521200180053710938e+01
5.150000000000000000e+07,-4.200600051879882812e+01
5.165000000000000000e+07,-3.736199951171875000e+01
5.180000000000000000e+07,-3.084099960327148438e+01
5.195000000000000000e+07,-2.724099922180175781e+01
5.210000000000000000e+07,-2.718000030517578125e+01
5.225000000000000000e+07,-3.040800094604492188e+01
5.240000000000000000e+07,-3.731399917602539062e+01
5.255000000000000000e+07,-4.206399917602539062e+01
5.270000000000000000e+07,-3.540800094604492188e+01
5.285000000000000000e+07,-2.955200004577636719e+01
5.300000000000000000e+07,-2.752400016784667969e+01
5.315000000000000000e+07,-2.795400047302246094e+01
5.330000000000000000e+07,-3.295500183105468750e+01
5.345000000000000000e+07,-3.996599960327148438e+01
5.360000000000000000e+07,-4.006399917602539062e+01
5.375000000000000000e+07,-3.297299957275390625e+01
5.390000000000000000e+07,-2.808499908447265625e+01
5.405000000000000000e+07,-2.733699989318847656e+01
5.420000000000000000e+07,-2.891500091552734375e+01
5.435000000000000000e+07,-3.525099945068359375e+01
5.450000000000000000e+07,-4.259400177001953125e+01
5.465000000000000000e+07,-3.656299972534179688e+01
5.480000000000000000e+07,-2.997400093078613281e+01
5.495000000000000000e+07,-2.641300010681152344e+01
5.510000000000000000e+07,-2.635400009155273438e+01
5.525000000000000000e+07,-2.972500038146972656e+01
5.540000000000000000e+07,-3.663000106811523438e+01
5.555000000000000000e+07,-4.162200164794921875e+01
5.570000000000000000e+07,-3.434700012207031250e+01
5.585000000000000000e+07,-2.840600013732910156e+01
5.600000000000000000e+07,-2.650300025939941406e+01
5.615000000000000000e+07,-2.696400070190429688e+01
5.630000000000000000e+07,-3.208000183105468750e+01
5.645000000000000000e+07,-3.959999847412109375e+01
5.660000000000000000e+07,-3.869599914550781250e+01
5.675000000000000000e+07,-3.159199905395507812e+01
5.690000000000000000e+07,-2.674200057983398438e+01
5.705000000000000000e+07,-2.607600021362304688e+01
5.720000000000000000e+07,-2.770700073242187500e+01
5.735000000000000000e+07,-3.415200042724609375e+01
5.750000000000000000e+07,-4.093600082397460938e+01
5.765000000000000000e+07,-3.576300048828125000e+01
5.780000000000000000e+07,-2.912299919128417969e+01
5.795000000000000000e+07,-2.563699913024902344e+01
5.810000000000000000e+07,-2.561199951171875000e+01
5.825000000000000000e+07,-2.907900047302246094e+01
5.840000000000000000e+07,-3.623500061035156250e+01
5.855000000000000000e+07,-3.928799819946289062e+01
5.870000000000000000e+07,-3.235699844360351562e+01
5.885000000000000000e+07,-2.643000030517578125e+01
5.900000000000000000e+07,-2.458799934387207031e+01
5.915000000000000000e+07,-2.510899925231933594e+01
5.930000000000000000e+07,-3.022800064086914062e+01
5.945000000000000000e+07,-3.733800125122070312e+01
5.960000000000000000e+07,-3.658499908447265625e+01
5.975000000000000000e+07,-2.960899925231933594e+01
5.990000000000000000e+07,-2.470800018310546875e+01
6.005000000000000000e+07,-2.408300018310546875e+01
6.020000000000000000e+07,-2.577799987792968750e+01
6.035000000000000000e+07,-3.223400115966796875e+01
6.050000000000000000e+07,-3.948099899291992188e+01
6.065000000000000000e+07,-3.368299865722656250e+01
6.080000000000000000e+07,-2.718400001525878906e+01
6.095000000000000000e+07,-2.376399993896484375e+01
6.110000000000000000e+07,-2.372900009155273438e+01
6.125000000000000000e+07,-2.721899986267089844e+01
6.140000000000000000e+07,-3.412900161743164062e+01
6.155000000000000000e+07,-3.730099868774414062e+01
6.170000000000000000e+07,-3.054400062561035156e+01
6.185000000000000000e+07,-2.468499946594238281e+01
6.200000000000000000e+07,-2.287000083923339844e+01
6.215000000000000000e+07,-2.341699981689453125e+01
6.230000000000000000e+07,-2.862100028991699219e+01
6.245000000000000000e+07,-3.565499877929687500e+01
6.260000000000000000e+07,-3.476599884033203125e+01
6.275000000000000000e+07,-2.782600021362304688e+01
6.290000000000000000e+07,-2.304100036621093750e+01
6.305000000000000000e+07,-2.244499969482421875e+01
6.320000000000000000e+07,-2.417399978637695312e+01
