frequency_hz,amplitude_dbm
0.000000000000000000e+00,-1.780800056457519531e+01
2.500000000000000000e+05,-1.822999954223632812e+01
5.000000000000000000e+05,-2.007500076293945312e+01
7.500000000000000000e+05,-2.300300025939941406e+01
1.000000000000000000e+06,-2.636899948120117188e+01
1.250000000000000000e+06,-2.988899993896484375e+01
1.500000000000000000e+06,-3.331000137329101562e+01
1.750000000000000000e+06,-3.652199935913085938e+01
2.000000000000000000e+06,-3.966099929809570312e+01
2.250000000000000000e+06,-4.215100097656250000e+01
2.500000000000000000e+06,-4.536199951171875000e+01
2.750000000000000000e+06,-4.774100112915039062e+01
3.000000000000000000e+06,-5.051499938964843750e+01
3.250000000000000000e+06,-5.272800064086914062e+01
3.500000000000000000e+06,-5.494900131225585938e+01
3.750000000000000000e+06,-5.752299880981445312e+01
4.000000000000000000e+06,-5.926300048828125000e+01
4.250000000000000000e+06,-6.182099914550781250e+01
4.500000000000000000e+06,-6.413700103759765625e+01
4.750000000000000000e+06,-6.378200149536132812e+01
5.000000000000000000e+06,-6.450599670410156250e+01
5.250000000000000000e+06,-6.551999664306640625e+01
5.500000000000000000e+06,-6.550299835205078125e+01
5.750000000000000000e+06,-6.508899688720703125e+01
6.000000000000000000e+06,-6.663099670410156250e+01
6.250000000000000000e+06,-6.441400146484375000e+01
6.500000000000000000e+06,-6.510099792480468750e+01
6.750000000000000000e+06,-6.799199676513671875e+01
7.000000000000000000e+06,-6.680899810791015625e+01
7.250000000000000000e+06,-6.612200164794921875e+01
7.500000000000000000e+06,-6.711000061035156250e+01
7.750000000000000000e+06,-6.537599945068359375e+01
8.000000000000000000e+06,-6.594699859619140625e+01
8.250000000000000000e+06,-6.377199935913085938e+01
8.500000000000000000e+06,-6.559100341796875000e+01
8.750000000000000000e+06,-6.523000335693359375e+01
9.000000000000000000e+06,-6.727899932861328125e+01
9.250000000000000000e+06,-6.702500152587890625e+01
9.500000000000000000e+06,-6.725399780273437500e+01
9.750000000000000000e+06,-6.608599853515625000e+01
1.000000000000000000e+07,-6.487300109863281250e+01
1.025000000000000000e+07,-6.395500183105468750e+01
1.050000000000000000e+07,-6.481999969482421875e+01
1.075000000000000000e+07,-6.588300323486328125e+01
1.100000000000000000e+07,-6.728800201416015625e+01
1.125000000000000000e+07,-6.493699645996093750e+01
1.150000000000000000e+07,-6.675499725341796875e+01
1.175000000000000000e+07,-6.640599822998046875e+01
1.200000000000000000e+07,-6.708699798583984375e+01
1.225000000000000000e+07,-6.691100311279296875e+01
1.250000000000000000e+07,-6.643299865722656250e+01
1.275000000000000000e+07,-6.745200347900390625e+01
1.300000000000000000e+07,-6.725700378417968750e+01
1.325000000000000000e+07,-6.462999725341796875e+01
1.350000000000000000e+07,-6.553399658203125000e+01
1.375000000000000000e+07,-6.688700103759765625e+01
1.400000000000000000e+07,-6.530400085449218750e+01
1.425000000000000000e+07,-6.687799835205078125e+01
1.450000000000000000e+07,-6.446199798583984375e+01
1.475000000000000000e+07,-6.515799713134765625e+01
1.500000000000000000e+07,-6.561699676513671875e+01
1.525000000000000000e+07,-6.363100051879882812e+01
1.550000000000000000e+07,-6.597100067138671875e+01
1.575000000000000000e+07,-6.812699890136718750e+01
1.600000000000000000e+07,-6.542299652099609375e+01
1.625000000000000000e+07,-6.302700042724609375e+01
1.650000000000000000e+07,-6.472599792480468750e+01
1.675000000000000000e+07,-6.628500366210937500e+01
1.700000000000000000e+07,-6.674099731445312500e+01
1.725000000000000000e+07,-6.477999877929687500e+01
1.750000000000000000e+07,-6.382699966430664062e+01
1.775000000000000000e+07,-6.706600189208984375e+01
1.800000000000000000e+07,-6.702899932861328125e+01
1.825000000000000000e+07,-6.675700378417968750e+01
1.850000000000000000e+07,-6.542099761962890625e+01
1.875000000000000000e+07,-6.636000061035156250e+01
1.900000000000000000e+07,-6.550000000000000000e+01
1.925000000000000000e+07,-6.412400054931640625e+01
1.950000000000000000e+07,-6.591799926757812500e+01
1.975000000000000000e+07,-6.554100036621093750e+01
2.000000000000000000e+07,-6.591200256347656250e+01
2.025000000000000000e+07,-6.726899719238281250e+01
2.050000000000000000e+07,-6.667099761962890625e+01
2.075000000000000000e+07,-6.526599884033203125e+01
2.100000000000000000e+07,-6.742199707031250000e+01
2.125000000000000000e+07,-6.490100097656250000e+01
2.150000000000000000e+07,-6.288800048828125000e+01
2.175000000000000000e+07,-6.476599884033203125e+01
2.200000000000000000e+07,-6.534300231933593750e+01
2.225000000000000000e+07,-6.691799926757812500e+01
2.250000000000000000e+07,-6.340200042724609375e+01
2.275000000000000000e+07,-6.263000106811523438e+01
2.300000000000000000e+07,-6.760299682617187500e+01
2.325000000000000000e+07,-6.605500030517578125e+01
2.350000000000000000e+07,-6.606999969482421875e+01
2.375000000000000000e+07,-6.364199829101562500e+01
2.400000000000000000e+07,-6.475199890136718750e+01
2.425000000000000000e+07,-6.530300140380859375e+01
2.450000000000000000e+07,-6.594400024414062500e+01
2.475000000000000000e+07,-6.609500122070312500e+01
2.500000000000000000e+07,-6.464399719238281250e+01
2.525000000000000000e+07,-6.460399627685546875e+01
2.550000000000000000e+07,-6.669300079345703125e+01
2.575000000000000000e+07,-6.575599670410156250e+01
2.600000000000000000e+07,-6.536599731445312500e+01
2.625000000000000000e+07,-6.636799621582031250e+01
2.650000000000000000e+07,-6.601300048828125000e+01
2.675000000000000000e+07,-6.459300231933593750e+01
2.700000000000000000e+07,-6.640699768066406250e+01
2.725000000000000000e+07,-6.565599822998046875e+01
2.750000000000000000e+07,-6.410900115966796875e+01
2.775000000000000000e+07,-6.447799682617187500e+01
2.800000000000000000e+07,-6.702799987792968750e+01
2.825000000000000000e+07,-6.559200286865234375e+01
2.850000000000000000e+07,-6.546199798583984375e+01
2.875000000000000000e+07,-6.585900115966796875e+01
2.900000000000000000e+07,-6.667400360107421875e+01
2.925000000000000000e+07,-6.523000335693359375e+01
2.950000000000000000e+07,-6.681600189208984375e+01
2.975000000000000000e+07,-6.469200134277343750e+01
3.000000000000000000e+07,-6.426999664306640625e+01
