frequency_hz,amplitude_dbm
2.795000000000000000e+09,-7.420700073242187500e+01
2.795025000000000000e+09,-7.408899688720703125e+01
2.795050000000000000e+09,-7.525099945068359375e+01
2.795075000000000000e+09,-7.399700164794921875e+01
2.795100000000000000e+09,-7.654499816894531250e+01
2.795125000000000000e+09,-7.880000305175781250e+01
2.795150000000000000e+09,-7.537100219726562500e+01
2.795175000000000000e+09,-7.761699676513671875e+01
2.795200000000000000e+09,-7.548999786376953125e+01
2.795225000000000000e+09,-7.516400146484375000e+01
2.795250000000000000e+09,-7.862699890136718750e+01
2.795275000000000000e+09,-7.877999877929687500e+01
2.795300000000000000e+09,-7.462500000000000000e+01
2.795325000000000000e+09,-7.712000274658203125e+01
2.795350000000000000e+09,-7.408899688720703125e+01
2.795375000000000000e+09,-7.629399871826171875e+01
2.795400000000000000e+09,-7.503299713134765625e+01
2.795425000000000000e+09,-7.524500274658203125e+01
2.795450000000000000e+09,-7.471700286865234375e+01
2.795475000000000000e+09,-7.494499969482421875e+01
2.795500000000000000e+09,-7.571299743652343750e+01
2.795525000000000000e+09,-7.709999847412109375e+01
2.795550000000000000e+09,-7.428700256347656250e+01
2.795575000000000000e+09,-7.627400207519531250e+01
2.795600000000000000e+09,-7.710199737548828125e+01
2.795625000000000000e+09,-7.460099792480468750e+01
2.795650000000000000e+09,-7.582900238037109375e+01
2.795675000000000000e+09,-8.107099914550781250e+01
2.795700000000000000e+09,-7.618000030517578125e+01
2.795725000000000000e+09,-7.898200225830078125e+01
2.795750000000000000e+09,-7.653800201416015625e+01
2.795775000000000000e+09,-7.473500061035156250e+01
2.795800000000000000e+09,-7.460399627685546875e+01
2.795825000000000000e+09,-7.862799835205078125e+01
2.795850000000000000e+09,-7.419300079345703125e+01
2.795875000000000000e+09,-7.514700317382812500e+01
2.795900000000000000e+09,-8.106099700927734375e+01
2.795925000000000000e+09,-7.593299865722656250e+01
2.795950000000000000e+09,-7.605599975585937500e+01
2.795975000000000000e+09,-7.803299713134765625e+01
2.796000000000000000e+09,-7.557700347900390625e+01
2.796025000000000000e+09,-7.668800354003906250e+01
2.796050000000000000e+09,-7.389700317382812500e+01
2.796075000000000000e+09,-7.823100280761718750e+01
2.796100000000000000e+09,-7.558000183105468750e+01
2.796125000000000000e+09,-7.336100006103515625e+01
2.796150000000000000e+09,-7.710700225830078125e+01
2.796175000000000000e+09,-7.627200317382812500e+01
2.796200000000000000e+09,-7.639299774169921875e+01
2.796225000000000000e+09,-7.738300323486328125e+01
2.796250000000000000e+09,-7.594000244140625000e+01
2.796275000000000000e+09,-7.958399963378906250e+01
2.796300000000000000e+09,-7.860299682617187500e+01
2.796325000000000000e+09,-7.283699798583984375e+01
2.796350000000000000e+09,-7.356700134277343750e+01
2.796375000000000000e+09,-7.328700256347656250e+01
2.796400000000000000e+09,-7.205699920654296875e+01
2.796425000000000000e+09,-7.514099884033203125e+01
2.796450000000000000e+09,-7.462999725341796875e+01
2.796475000000000000e+09,-7.627999877929687500e+01
2.796500000000000000e+09,-7.536599731445312500e+01
2.796525000000000000e+09,-7.639700317382812500e+01
2.796550000000000000e+09,-7.604399871826171875e+01
2.796575000000000000e+09,-7.473600006103515625e+01
2.796600000000000000e+09,-7.654399871826171875e+01
2.796625000000000000e+09,-7.696600341796875000e+01
2.796650000000000000e+09,-7.593900299072265625e+01
2.796675000000000000e+09,-7.418399810791015625e+01
2.796700000000000000e+09,-7.616100311279296875e+01
2.796725000000000000e+09,-7.548699951171875000e+01
2.796750000000000000e+09,-7.932499694824218750e+01
2.796775000000000000e+09,-7.761599731445312500e+01
2.796800000000000000e+09,-7.760700225830078125e+01
2.796825000000000000e+09,-8.031800079345703125e+01
2.796850000000000000e+09,-7.592400360107421875e+01
2.796875000000000000e+09,-7.626399993896484375e+01
2.796900000000000000e+09,-7.738800048828125000e+01
2.796925000000000000e+09,-7.655000305175781250e+01
2.796950000000000000e+09,-7.357599639892578125e+01
2.796975000000000000e+09,-7.712100219726562500e+01
2.797000000000000000e+09,-7.617299652099609375e+01
2.797025000000000000e+09,-8.305599975585937500e+01
2.797050000000000000e+09,-8.055599975585937500e+01
2.797075000000000000e+09,-7.759899902343750000e+01
2.797100000000000000e+09,-7.387500000000000000e+01
2.797125000000000000e+09,-7.559999847412109375e+01
2.797150000000000000e+09,-7.515100097656250000e+01
2.797175000000000000e+09,-8.108200073242187500e+01
2.797200000000000000e+09,-7.604100036621093750e+01
2.797225000000000000e+09,-7.617500305175781250e+01
2.797250000000000000e+09,-7.470800018310546875e+01
2.797275000000000000e+09,-7.725399780273437500e+01
2.797300000000000000e+09,-7.667400360107421875e+01
2.797325000000000000e+09,-7.558499908447265625e+01
2.797350000000000000e+09,-7.525299835205078125e+01
2.797375000000000000e+09,-7.710700225830078125e+01
2.797400000000000000e+09,-7.593900299072265625e+01
