frequency_hz,amplitude_dbm
2.550000000000000000e+09,-6.256800079345703125e+01
2.551250000000000000e+09,-6.177099990844726562e+01
2.552500000000000000e+09,-6.168099975585937500e+01
2.553750000000000000e+09,-6.002500152587890625e+01
2.555000000000000000e+09,-6.064500045776367188e+01
2.556250000000000000e+09,-6.130500030517578125e+01
2.557500000000000000e+09,-6.114799880981445312e+01
2.558750000000000000e+09,-6.135300064086914062e+01
2.560000000000000000e+09,-6.031600189208984375e+01
2.561250000000000000e+09,-6.240100097656250000e+01
2.562500000000000000e+09,-6.145299911499023438e+01
2.563750000000000000e+09,-6.091600036621093750e+01
2.565000000000000000e+09,-6.184899902343750000e+01
2.566250000000000000e+09,-6.088299942016601562e+01
2.567500000000000000e+09,-6.194900131225585938e+01
2.568750000000000000e+09,-6.172200012207031250e+01
2.570000000000000000e+09,-6.201399993896484375e+01
2.571250000000000000e+09,-6.108100128173828125e+01
2.572500000000000000e+09,-6.231399917602539062e+01
2.573750000000000000e+09,-6.149200057983398438e+01
2.575000000000000000e+09,-6.094499969482421875e+01
2.576250000000000000e+09,-5.984199905395507812e+01
2.577500000000000000e+09,-6.263899993896484375e+01
2.578750000000000000e+09,-6.169800186157226562e+01
2.580000000000000000e+09,-6.153099822998046875e+01
2.581250000000000000e+09,-6.184000015258789062e+01
2.582500000000000000e+09,-6.212699890136718750e+01
2.583750000000000000e+09,-6.315800094604492188e+01
2.585000000000000000e+09,-6.136800003051757812e+01
2.586250000000000000e+09,-6.120100021362304688e+01
2.587500000000000000e+09,-6.109799957275390625e+01
2.588750000000000000e+09,-6.090499877929687500e+01
2.590000000000000000e+09,-6.225099945068359375e+01
2.591250000000000000e+09,-6.214400100708007812e+01
2.592500000000000000e+09,-6.207600021362304688e+01
2.593750000000000000e+09,-6.186800003051757812e+01
2.595000000000000000e+09,-6.151300048828125000e+01
2.596250000000000000e+09,-6.224599838256835938e+01
2.597500000000000000e+09,-6.117900085449218750e+01
2.598750000000000000e+09,-6.151499938964843750e+01
2.600000000000000000e+09,-6.149399948120117188e+01
2.601250000000000000e+09,-6.100999832153320312e+01
2.602500000000000000e+09,-6.184700012207031250e+01
2.603750000000000000e+09,-6.078400039672851562e+01
2.605000000000000000e+09,-6.118399810791015625e+01
2.606250000000000000e+09,-6.291999816894531250e+01
2.607500000000000000e+09,-6.177099990844726562e+01
2.608750000000000000e+09,-6.030899810791015625e+01
2.610000000000000000e+09,-6.172700119018554688e+01
2.611250000000000000e+09,-5.926100158691406250e+01
2.612500000000000000e+09,-6.227299880981445312e+01
2.613750000000000000e+09,-6.205400085449218750e+01
2.615000000000000000e+09,-6.390700149536132812e+01
2.616250000000000000e+09,-6.034299850463867188e+01
2.617500000000000000e+09,-5.918500137329101562e+01
2.618750000000000000e+09,-5.908300018310546875e+01
2.620000000000000000e+09,-6.203099822998046875e+01
2.621250000000000000e+09,-6.241699981689453125e+01
2.622500000000000000e+09,-6.134899902343750000e+01
2.623750000000000000e+09,-6.396900177001953125e+01
2.625000000000000000e+09,-6.156700134277343750e+01
2.626250000000000000e+09,-6.052299880981445312e+01
2.627500000000000000e+09,-6.062400054931640625e+01
2.628750000000000000e+09,-6.273400115966796875e+01
2.630000000000000000e+09,-6.235599899291992188e+01
2.631250000000000000e+09,-6.042100143432617188e+01
2.632500000000000000e+09,-6.195700073242187500e+01
2.633750000000000000e+09,-5.954899978637695312e+01
2.635000000000000000e+09,-6.130899810791015625e+01
2.636250000000000000e+09,-6.065599822998046875e+01
2.637500000000000000e+09,-6.148099899291992188e+01
2.638750000000000000e+09,-6.050899887084960938e+01
2.640000000000000000e+09,-6.267699813842773438e+01
2.641250000000000000e+09,-6.231200027465820312e+01
2.642500000000000000e+09,-6.286199951171875000e+01
2.643750000000000000e+09,-6.158100128173828125e+01
2.645000000000000000e+09,-6.167499923706054688e+01
2.646250000000000000e+09,-5.888800048828125000e+01
2.647500000000000000e+09,-5.944800186157226562e+01
2.648750000000000000e+09,-6.230599975585937500e+01
2.650000000000000000e+09,-5.990900039672851562e+01
2.651250000000000000e+09,-6.196500015258789062e+01
2.652500000000000000e+09,-6.201100158691406250e+01
2.653750000000000000e+09,-6.051599884033203125e+01
2.655000000000000000e+09,-6.120299911499023438e+01
2.656250000000000000e+09,-6.233100128173828125e+01
2.657500000000000000e+09,-6.062500000000000000e+01
2.658750000000000000e+09,-5.955400085449218750e+01
2.660000000000000000e+09,-6.175999832153320312e+01
2.661250000000000000e+09,-6.208900070190429688e+01
2.662500000000000000e+09,-6.148799896240234375e+01
2.663750000000000000e+09,-6.273799896240234375e+01
2.665000000000000000e+09,-6.009099960327148438e+01
2.666250000000000000e+09,-6.195399856567382812e+01
2.667500000000000000e+09,-6.150199890136718750e+01
2.668750000000000000e+09,-5.994100189208984375e+01
2.670000000000000000e+09,-5.934799957275390625e+01
2.671250000000000000e+09,-6.159899902343750000e+01
2.672500000000000000e+09,-6.163199996948242188e+01
2.673750000000000000e+09,-5.928699874877929688e+01
2.675000000000000000e+09,-6.183800125122070312e+01
2.676250000000000000e+09,-6.076100158691406250e+01
2.677500000000000000e+09,-6.003900146484375000e+01
2.678750000000000000e+09,-6.213700103759765625e+01
2.680000000000000000e+09,-6.148300170898437500e+01
2.681250000000000000e+09,-6.218700027465820312e+01
2.682500000000000000e+09,-6.328300094604492188e+01
2.683750000000000000e+09,-6.163800048828125000e+01
2.685000000000000000e+09,-6.123500061035156250e+01
2.686250000000000000e+09,-6.036000061035156250e+01
2.687500000000000000e+09,-6.175000000000000000e+01
2.688750000000000000e+09,-6.108200073242187500e+01
2.690000000000000000e+09,-6.222399902343750000e+01
2.691250000000000000e+09,-6.164400100708007812e+01
2.692500000000000000e+09,-6.229100036621093750e+01
2.693750000000000000e+09,-6.234199905395507812e+01
2.695000000000000000e+09,-6.074900054931640625e+01
2.696250000000000000e+09,-5.887300109863281250e+01
2.697500000000000000e+09,-6.009999847412109375e+01
2.698750000000000000e+09,-6.040100097656250000e+01
2.700000000000000000e+09,-6.146300125122070312e+01
2.701250000000000000e+09,-6.160800170898437500e+01
2.702500000000000000e+09,-6.273899841308593750e+01
2.703750000000000000e+09,-6.188999938964843750e+01
2.705000000000000000e+09,-5.994300079345703125e+01
2.706250000000000000e+09,-5.977600097656250000e+01
2.707500000000000000e+09,-6.025299835205078125e+01
2.708750000000000000e+09,-6.187900161743164062e+01
2.710000000000000000e+09,-6.096500015258789062e+01
2.711250000000000000e+09,-6.087300109863281250e+01
2.712500000000000000e+09,-5.987799835205078125e+01
2.713750000000000000e+09,-6.243799972534179688e+01
2.715000000000000000e+09,-6.188899993896484375e+01
2.716250000000000000e+09,-6.039500045776367188e+01
2.717500000000000000e+09,-6.068299865722656250e+01
2.718750000000000000e+09,-5.985400009155273438e+01
2.720000000000000000e+09,-6.359700012207031250e+01
2.721250000000000000e+09,-6.021500015258789062e+01
2.722500000000000000e+09,-6.245100021362304688e+01
2.723750000000000000e+09,-6.319100189208984375e+01
2.725000000000000000e+09,-5.909899902343750000e+01
2.726250000000000000e+09,-6.108700180053710938e+01
2.727500000000000000e+09,-6.128400039672851562e+01
2.728750000000000000e+09,-6.011399841308593750e+01
2.730000000000000000e+09,-6.055099868774414062e+01
2.731250000000000000e+09,-6.151800155639648438e+01
2.732500000000000000e+09,-6.082600021362304688e+01
2.733750000000000000e+09,-6.213600158691406250e+01
2.735000000000000000e+09,-5.972200012207031250e+01
2.736250000000000000e+09,-5.987599945068359375e+01
2.737500000000000000e+09,-6.062300109863281250e+01
2.738750000000000000e+09,-6.130899810791015625e+01
2.740000000000000000e+09,-6.128799819946289062e+01
2.741250000000000000e+09,-6.094300079345703125e+01
2.742500000000000000e+09,-6.071300125122070312e+01
2.743750000000000000e+09,-6.156600189208984375e+01
2.745000000000000000e+09,-6.236999893188476562e+01
2.746250000000000000e+09,-6.102700042724609375e+01
2.747500000000000000e+09,-6.145299911499023438e+01
2.748750000000000000e+09,-6.183300018310546875e+01
2.750000000000000000e+09,-6.163999938964843750e+01
2.751250000000000000e+09,-5.957500076293945312e+01
2.752500000000000000e+09,-6.081100082397460938e+01
2.753750000000000000e+09,-6.026300048828125000e+01
2.755000000000000000e+09,-6.065299987792968750e+01
2.756250000000000000e+09,-6.097100067138671875e+01
2.757500000000000000e+09,-6.008100128173828125e+01
2.758750000000000000e+09,-6.145899963378906250e+01
2.760000000000000000e+09,-6.060100173950195312e+01
2.761250000000000000e+09,-6.039300155639648438e+01
2.762500000000000000e+09,-6.144499969482421875e+01
2.763750000000000000e+09,-6.158499908447265625e+01
2.765000000000000000e+09,-6.065999984741210938e+01
2.766250000000000000e+09,-6.065399932861328125e+01
2.767500000000000000e+09,-5.956600189208984375e+01
2.768750000000000000e+09,-5.965100097656250000e+01
2.770000000000000000e+09,-6.024800109863281250e+01
2.771250000000000000e+09,-5.931100082397460938e+01
2.772500000000000000e+09,-6.061500167846679688e+01
2.773750000000000000e+09,-6.109400177001953125e+01
2.775000000000000000e+09,-6.040800094604492188e+01
2.776250000000000000e+09,-6.077099990844726562e+01
2.777500000000000000e+09,-6.183000183105468750e+01
2.778750000000000000e+09,-6.198600006103515625e+01
2.780000000000000000e+09,-6.070199966430664062e+01
2.781250000000000000e+09,-5.961800003051757812e+01
2.782500000000000000e+09,-6.081700134277343750e+01
2.783750000000000000e+09,-6.091999816894531250e+01
2.785000000000000000e+09,-6.145299911499023438e+01
2.786250000000000000e+09,-6.068899917602539062e+01
2.787500000000000000e+09,-5.981299972534179688e+01
2.788750000000000000e+09,-6.133000183105468750e+01
2.790000000000000000e+09,-6.099200057983398438e+01
2.791250000000000000e+09,-6.188199996948242188e+01
2.792500000000000000e+09,-5.950400161743164062e+01
2.793750000000000000e+09,-5.831200027465820312e+01
2.795000000000000000e+09,-6.004000091552734375e+01
2.796250000000000000e+09,-6.049000167846679688e+01
2.797500000000000000e+09,-6.141899871826171875e+01
2.798750000000000000e+09,-6.092300033569335938e+01
2.800000000000000000e+09,-6.088600158691406250e+01
2.801250000000000000e+09,-6.067900085449218750e+01
2.802500000000000000e+09,-6.180599975585937500e+01
2.803750000000000000e+09,-6.101200103759765625e+01
2.805000000000000000e+09,-6.134400177001953125e+01
2.806250000000000000e+09,-6.055199813842773438e+01
2.807500000000000000e+09,-5.894300079345703125e+01
2.808750000000000000e+09,-6.125299835205078125e+01
2.810000000000000000e+09,-6.149900054931640625e+01
2.811250000000000000e+09,-5.995500183105468750e+01
2.812500000000000000e+09,-6.123899841308593750e+01
2.813750000000000000e+09,-5.901399993896484375e+01
2.815000000000000000e+09,-6.005400085449218750e+01
2.816250000000000000e+09,-5.986600112915039062e+01
2.817500000000000000e+09,-6.050299835205078125e+01
2.818750000000000000e+09,-6.187699890136718750e+01
2.820000000000000000e+09,-6.029299926757812500e+01
2.821250000000000000e+09,-6.124300003051757812e+01
2.822500000000000000e+09,-6.099100112915039062e+01
2.823750000000000000e+09,-6.144599914550781250e+01
2.825000000000000000e+09,-6.119800186157226562e+01
2.826250000000000000e+09,-5.857400131225585938e+01
2.827500000000000000e+09,-6.059500122070312500e+01
2.828750000000000000e+09,-6.059500122070312500e+01
2.830000000000000000e+09,-6.303799819946289062e+01
2.831250000000000000e+09,-6.047700119018554688e+01
2.832500000000000000e+09,-6.238999938964843750e+01
2.833750000000000000e+09,-5.960300064086914062e+01
2.835000000000000000e+09,-6.046200180053710938e+01
2.836250000000000000e+09,-6.184700012207031250e+01
2.837500000000000000e+09,-6.218299865722656250e+01
2.838750000000000000e+09,-6.051900100708007812e+01
2.840000000000000000e+09,-6.114099884033203125e+01
2.841250000000000000e+09,-5.928599929809570312e+01
2.842500000000000000e+09,-6.145700073242187500e+01
2.843750000000000000e+09,-5.903599929809570312e+01
2.845000000000000000e+09,-6.034400177001953125e+01
2.846250000000000000e+09,-6.089899826049804688e+01
2.847500000000000000e+09,-6.112500000000000000e+01
2.848750000000000000e+09,-6.063399887084960938e+01
2.850000000000000000e+09,-5.959600067138671875e+01
2.851250000000000000e+09,-5.917900085449218750e+01
2.852500000000000000e+09,-6.019300079345703125e+01
2.853750000000000000e+09,-6.057699966430664062e+01
2.855000000000000000e+09,-6.092800140380859375e+01
2.856250000000000000e+09,-6.027700042724609375e+01
2.857500000000000000e+09,-6.131700134277343750e+01
2.858750000000000000e+09,-5.831499862670898438e+01
2.860000000000000000e+09,-6.134700012207031250e+01
2.861250000000000000e+09,-6.145299911499023438e+01
2.862500000000000000e+09,-6.188499832153320312e+01
2.863750000000000000e+09,-5.991500091552734375e+01
2.865000000000000000e+09,-6.020700073242187500e+01
2.866250000000000000e+09,-6.066699981689453125e+01
2.867500000000000000e+09,-6.005099868774414062e+01
2.868750000000000000e+09,-6.118700027465820312e+01
2.870000000000000000e+09,-6.078599929809570312e+01
2.871250000000000000e+09,-6.113100051879882812e+01
2.872500000000000000e+09,-6.064099884033203125e+01
2.873750000000000000e+09,-6.102700042724609375e+01
2.875000000000000000e+09,-5.973600006103515625e+01
2.876250000000000000e+09,-6.053200149536132812e+01
2.877500000000000000e+09,-6.046200180053710938e+01
2.878750000000000000e+09,-6.093600082397460938e+01
2.880000000000000000e+09,-6.035800170898437500e+01
2.881250000000000000e+09,-6.029600143432617188e+01
2.882500000000000000e+09,-5.893099975585937500e+01
2.883750000000000000e+09,-6.069200134277343750e+01
2.885000000000000000e+09,-6.120999908447265625e+01
2.886250000000000000e+09,-5.993099975585937500e+01
2.887500000000000000e+09,-6.046099853515625000e+01
2.888750000000000000e+09,-6.173799896240234375e+01
2.890000000000000000e+09,-6.028300094604492188e+01
2.891250000000000000e+09,-6.192200088500976562e+01
2.892500000000000000e+09,-6.190100097656250000e+01
2.893750000000000000e+09,-6.118500137329101562e+01
2.895000000000000000e+09,-6.019699859619140625e+01
2.896250000000000000e+09,-5.984400177001953125e+01
2.897500000000000000e+09,-6.050099945068359375e+01
2.898750000000000000e+09,-6.055699920654296875e+01
2.900000000000000000e+09,-5.975400161743164062e+01
2.901250000000000000e+09,-5.916099929809570312e+01
2.902500000000000000e+09,-6.111700057983398438e+01
2.903750000000000000e+09,-6.148300170898437500e+01
2.905000000000000000e+09,-6.013299942016601562e+01
2.906250000000000000e+09,-5.983100128173828125e+01
2.907500000000000000e+09,-6.161500167846679688e+01
2.908750000000000000e+09,-5.952099990844726562e+01
2.910000000000000000e+09,-5.834600067138671875e+01
2.911250000000000000e+09,-6.137400054931640625e+01
2.912500000000000000e+09,-5.970600128173828125e+01
2.913750000000000000e+09,-5.877799987792968750e+01
2.915000000000000000e+09,-5.981299972534179688e+01
2.916250000000000000e+09,-6.018500137329101562e+01
2.917500000000000000e+09,-5.936700057983398438e+01
2.918750000000000000e+09,-6.120500183105468750e+01
2.920000000000000000e+09,-5.926100158691406250e+01
2.921250000000000000e+09,-5.967100143432617188e+01
2.922500000000000000e+09,-5.991400146484375000e+01
2.923750000000000000e+09,-6.025000000000000000e+01
2.925000000000000000e+09,-6.096099853515625000e+01
2.926250000000000000e+09,-6.132300186157226562e+01
2.927500000000000000e+09,-6.053799819946289062e+01
2.928750000000000000e+09,-6.144400024414062500e+01
2.930000000000000000e+09,-5.973500061035156250e+01
2.931250000000000000e+09,-5.934600067138671875e+01
2.932500000000000000e+09,-5.995700073242187500e+01
2.933750000000000000e+09,-5.910499954223632812e+01
2.935000000000000000e+09,-6.096500015258789062e+01
2.936250000000000000e+09,-6.132899856567382812e+01
2.937500000000000000e+09,-5.902099990844726562e+01
2.938750000000000000e+09,-6.029800033569335938e+01
2.940000000000000000e+09,-6.238000106811523438e+01
2.941250000000000000e+09,-6.135200119018554688e+01
2.942500000000000000e+09,-6.075899887084960938e+01
2.943750000000000000e+09,-6.140499877929687500e+01
2.945000000000000000e+09,-6.081200027465820312e+01
2.946250000000000000e+09,-5.962500000000000000e+01
2.947500000000000000e+09,-6.135300064086914062e+01
2.948750000000000000e+09,-5.866699981689453125e+01
2.950000000000000000e+09,-6.026800155639648438e+01
2.951250000000000000e+09,-6.193899917602539062e+01
2.952500000000000000e+09,-6.150299835205078125e+01
2.953750000000000000e+09,-6.071300125122070312e+01
2.955000000000000000e+09,-5.874700164794921875e+01
2.956250000000000000e+09,-6.173199844360351562e+01
2.957500000000000000e+09,-6.011800003051757812e+01
2.958750000000000000e+09,-6.071699905395507812e+01
2.960000000000000000e+09,-6.111199951171875000e+01
2.961250000000000000e+09,-6.277500152587890625e+01
2.962500000000000000e+09,-6.029700088500976562e+01
