frequency_hz,amplitude_dbm
2.550000000000000000e+09,-6.104999923706054688e+01
2.551250000000000000e+09,-6.297700119018554688e+01
2.552500000000000000e+09,-6.070399856567382812e+01
2.553750000000000000e+09,-6.203699874877929688e+01
2.555000000000000000e+09,-6.258599853515625000e+01
2.556250000000000000e+09,-6.129199981689453125e+01
2.557500000000000000e+09,-6.104800033569335938e+01
2.558750000000000000e+09,-6.229899978637695312e+01
2.560000000000000000e+09,-6.195299911499023438e+01
2.561250000000000000e+09,-6.075299835205078125e+01
2.562500000000000000e+09,-6.130500030517578125e+01
2.563750000000000000e+09,-6.156200027465820312e+01
2.565000000000000000e+09,-6.131499862670898438e+01
2.566250000000000000e+09,-6.236000061035156250e+01
2.567500000000000000e+09,-6.235400009155273438e+01
2.568750000000000000e+09,-6.087699890136718750e+01
2.570000000000000000e+09,-6.128799819946289062e+01
2.571250000000000000e+09,-6.158499908447265625e+01
2.572500000000000000e+09,-6.082400131225585938e+01
2.573750000000000000e+09,-6.142800140380859375e+01
2.575000000000000000e+09,-6.228499984741210938e+01
2.576250000000000000e+09,-6.154100036621093750e+01
2.577500000000000000e+09,-6.049000167846679688e+01
2.578750000000000000e+09,-5.931499862670898438e+01
2.580000000000000000e+09,-6.372200012207031250e+01
2.581250000000000000e+09,-6.143299865722656250e+01
2.582500000000000000e+09,-6.141299819946289062e+01
2.583750000000000000e+09,-6.155799865722656250e+01
2.585000000000000000e+09,-6.220299911499023438e+01
2.586250000000000000e+09,-6.111199951171875000e+01
2.587500000000000000e+09,-6.150899887084960938e+01
2.588750000000000000e+09,-6.249900054931640625e+01
2.590000000000000000e+09,-6.224000167846679688e+01
2.591250000000000000e+09,-6.180099868774414062e+01
2.592500000000000000e+09,-5.970399856567382812e+01
2.593750000000000000e+09,-6.098400115966796875e+01
2.595000000000000000e+09,-6.293799972534179688e+01
2.596250000000000000e+09,-6.199700164794921875e+01
2.597500000000000000e+09,-6.033300018310546875e+01
2.598750000000000000e+09,-6.053900146484375000e+01
2.600000000000000000e+09,-6.080099868774414062e+01
2.601250000000000000e+09,-6.348500061035156250e+01
2.602500000000000000e+09,-6.037900161743164062e+01
2.603750000000000000e+09,-6.093299865722656250e+01
2.605000000000000000e+09,-6.060900115966796875e+01
2.606250000000000000e+09,-6.172000122070312500e+01
2.607500000000000000e+09,-6.188700103759765625e+01
2.608750000000000000e+09,-6.111700057983398438e+01
2.610000000000000000e+09,-6.313600158691406250e+01
2.611250000000000000e+09,-6.030099868774414062e+01
2.612500000000000000e+09,-6.081100082397460938e+01
2.613750000000000000e+09,-6.251599884033203125e+01
2.615000000000000000e+09,-6.258100128173828125e+01
2.616250000000000000e+09,-6.198500061035156250e+01
2.617500000000000000e+09,-6.199100112915039062e+01
2.618750000000000000e+09,-6.052199935913085938e+01
2.620000000000000000e+09,-6.239799880981445312e+01
2.621250000000000000e+09,-6.093399810791015625e+01
2.622500000000000000e+09,-6.182400131225585938e+01
2.623750000000000000e+09,-6.168099975585937500e+01
2.625000000000000000e+09,-6.055199813842773438e+01
