frequency_hz,amplitude_dbm
2.550000000000000000e+09,-4.979000091552734375e+01
2.551250000000000000e+09,-5.541199874877929688e+01
2.552500000000000000e+09,-6.031299972534179688e+01
2.553750000000000000e+09,-6.108700180053710938e+01
2.555000000000000000e+09,-5.684600067138671875e+01
2.556250000000000000e+09,-5.580500030517578125e+01
2.557500000000000000e+09,-5.515599822998046875e+01
2.558750000000000000e+09,-5.542800140380859375e+01
2.560000000000000000e+09,-5.923300170898437500e+01
2.561250000000000000e+09,-6.213700103759765625e+01
2.562500000000000000e+09,-6.177000045776367188e+01
2.563750000000000000e+09,-5.440100097656250000e+01
2.565000000000000000e+09,-4.978799819946289062e+01
2.566250000000000000e+09,-4.761600112915039062e+01
2.567500000000000000e+09,-4.873899841308593750e+01
2.568750000000000000e+09,-5.277999877929687500e+01
2.570000000000000000e+09,-5.865200042724609375e+01
2.571250000000000000e+09,-6.238100051879882812e+01
2.572500000000000000e+09,-6.250899887084960938e+01
2.573750000000000000e+09,-6.017399978637695312e+01
2.575000000000000000e+09,-5.770399856567382812e+01
2.576250000000000000e+09,-5.855400085449218750e+01
2.577500000000000000e+09,-6.021699905395507812e+01
2.578750000000000000e+09,-6.290900039672851562e+01
2.580000000000000000e+09,-6.159899902343750000e+01
2.581250000000000000e+09,-5.964300155639648438e+01
2.582500000000000000e+09,-5.205799865722656250e+01
2.583750000000000000e+09,-4.886199951171875000e+01
2.585000000000000000e+09,-4.850500106811523438e+01
2.586250000000000000e+09,-5.139899826049804688e+01
2.587500000000000000e+09,-5.694300079345703125e+01
2.588750000000000000e+09,-6.029199981689453125e+01
2.590000000000000000e+09,-6.264899826049804688e+01
2.591250000000000000e+09,-6.095399856567382812e+01
2.592500000000000000e+09,-6.211500167846679688e+01
2.593750000000000000e+09,-5.996200180053710938e+01
2.595000000000000000e+09,-5.959999847412109375e+01
2.596250000000000000e+09,-6.161000061035156250e+01
2.597500000000000000e+09,-6.254700088500976562e+01
2.598750000000000000e+09,-6.097800064086914062e+01
2.600000000000000000e+09,-5.752199935913085938e+01
2.601250000000000000e+09,-5.353200149536132812e+01
2.602500000000000000e+09,-5.330300140380859375e+01
2.603750000000000000e+09,-5.375999832153320312e+01
2.605000000000000000e+09,-5.636600112915039062e+01
2.606250000000000000e+09,-6.139500045776367188e+01
2.607500000000000000e+09,-6.143600082397460938e+01
2.608750000000000000e+09,-6.243000030517578125e+01
2.610000000000000000e+09,-6.006800079345703125e+01
2.611250000000000000e+09,-5.969900131225585938e+01
2.612500000000000000e+09,-6.010900115966796875e+01
2.613750000000000000e+09,-6.200799942016601562e+01
2.615000000000000000e+09,-6.180099868774414062e+01
2.616250000000000000e+09,-6.056800079345703125e+01
2.617500000000000000e+09,-5.999100112915039062e+01
2.618750000000000000e+09,-5.603699874877929688e+01
2.620000000000000000e+09,-5.296900177001953125e+01
2.621250000000000000e+09,-5.434799957275390625e+01
2.622500000000000000e+09,-5.650099945068359375e+01
2.623750000000000000e+09,-6.040499877929687500e+01
2.625000000000000000e+09,-5.991500091552734375e+01
2.626250000000000000e+09,-6.236199951171875000e+01
2.627500000000000000e+09,-6.072299957275390625e+01
2.628750000000000000e+09,-6.051300048828125000e+01
2.630000000000000000e+09,-6.051699829101562500e+01
2.631250000000000000e+09,-6.003400039672851562e+01
2.632500000000000000e+09,-6.195899963378906250e+01
2.633750000000000000e+09,-6.151100158691406250e+01
2.635000000000000000e+09,-5.821699905395507812e+01
2.636250000000000000e+09,-4.968700027465820312e+01
2.637500000000000000e+09,-4.577099990844726562e+01
2.638750000000000000e+09,-4.612900161743164062e+01
2.640000000000000000e+09,-4.732099914550781250e+01
2.641250000000000000e+09,-5.185900115966796875e+01
2.642500000000000000e+09,-5.888899993896484375e+01
2.643750000000000000e+09,-5.924700164794921875e+01
2.645000000000000000e+09,-6.135200119018554688e+01
2.646250000000000000e+09,-5.945399856567382812e+01
2.647500000000000000e+09,-5.915800094604492188e+01
2.648750000000000000e+09,-5.994300079345703125e+01
2.650000000000000000e+09,-6.228799819946289062e+01
2.651250000000000000e+09,-5.984999847412109375e+01
2.652500000000000000e+09,-5.890100097656250000e+01
2.653750000000000000e+09,-5.180400085449218750e+01
2.655000000000000000e+09,-4.613199996948242188e+01
2.656250000000000000e+09,-4.507300186157226562e+01
2.657500000000000000e+09,-4.617900085449218750e+01
2.658750000000000000e+09,-4.995199966430664062e+01
2.660000000000000000e+09,-5.531299972534179688e+01
2.661250000000000000e+09,-6.076699829101562500e+01
2.662500000000000000e+09,-6.201100158691406250e+01
2.663750000000000000e+09,-5.994599914550781250e+01
2.665000000000000000e+09,-5.770600128173828125e+01
2.666250000000000000e+09,-5.746699905395507812e+01
2.667500000000000000e+09,-6.199300003051757812e+01
2.668750000000000000e+09,-6.209400177001953125e+01
2.670000000000000000e+09,-6.148699951171875000e+01
2.671250000000000000e+09,-6.045999908447265625e+01
2.672500000000000000e+09,-5.382600021362304688e+01
2.673750000000000000e+09,-5.246300125122070312e+01
2.675000000000000000e+09,-5.363499832153320312e+01
2.676250000000000000e+09,-5.674700164794921875e+01
2.677500000000000000e+09,-5.973600006103515625e+01
2.678750000000000000e+09,-6.011700057983398438e+01
2.680000000000000000e+09,-6.159199905395507812e+01
2.681250000000000000e+09,-6.080500030517578125e+01
2.682500000000000000e+09,-5.673099899291992188e+01
2.683750000000000000e+09,-5.838100051879882812e+01
2.685000000000000000e+09,-5.761399841308593750e+01
2.686250000000000000e+09,-6.114099884033203125e+01
2.687500000000000000e+09,-5.899200057983398438e+01
2.688750000000000000e+09,-5.184600067138671875e+01
2.690000000000000000e+09,-4.317699813842773438e+01
2.691250000000000000e+09,-3.925799942016601562e+01
2.692500000000000000e+09,-3.883200073242187500e+01
2.693750000000000000e+09,-4.019200134277343750e+01
2.695000000000000000e+09,-4.465700149536132812e+01
2.696250000000000000e+09,-5.062699890136718750e+01
2.697500000000000000e+09,-5.720500183105468750e+01
2.698750000000000000e+09,-6.004600143432617188e+01
2.700000000000000000e+09,-5.723799896240234375e+01
2.701250000000000000e+09,-5.534199905395507812e+01
2.702500000000000000e+09,-5.683300018310546875e+01
2.703750000000000000e+09,-5.964199829101562500e+01
2.705000000000000000e+09,-5.973600006103515625e+01
2.706250000000000000e+09,-5.285800170898437500e+01
2.707500000000000000e+09,-4.346099853515625000e+01
2.708750000000000000e+09,-3.750600051879882812e+01
2.710000000000000000e+09,-3.597399902343750000e+01
2.711250000000000000e+09,-3.636999893188476562e+01
2.712500000000000000e+09,-4.006999969482421875e+01
2.713750000000000000e+09,-4.511299896240234375e+01
2.715000000000000000e+09,-5.168199920654296875e+01
2.716250000000000000e+09,-5.656200027465820312e+01
2.717500000000000000e+09,-5.769200134277343750e+01
2.718750000000000000e+09,-5.451100158691406250e+01
2.720000000000000000e+09,-5.584099960327148438e+01
2.721250000000000000e+09,-5.705500030517578125e+01
2.722500000000000000e+09,-5.926100158691406250e+01
2.723750000000000000e+09,-5.945100021362304688e+01
2.725000000000000000e+09,-4.880699920654296875e+01
2.726250000000000000e+09,-4.159000015258789062e+01
2.727500000000000000e+09,-3.830899810791015625e+01
2.728750000000000000e+09,-3.801800155639648438e+01
2.730000000000000000e+09,-4.018199920654296875e+01
2.731250000000000000e+09,-4.452799987792968750e+01
2.732500000000000000e+09,-5.062200164794921875e+01
2.733750000000000000e+09,-5.703599929809570312e+01
2.735000000000000000e+09,-5.557899856567382812e+01
2.736250000000000000e+09,-5.196300125122070312e+01
2.737500000000000000e+09,-5.166500091552734375e+01
2.738750000000000000e+09,-5.200500106811523438e+01
2.740000000000000000e+09,-5.658700180053710938e+01
