frequency_hz,amplitude_dbm
2.550000000000000000e+09,-6.276499938964843750e+01
2.551250000000000000e+09,-6.143399810791015625e+01
2.552500000000000000e+09,-6.227099990844726562e+01
2.553750000000000000e+09,-6.050400161743164062e+01
2.555000000000000000e+09,-6.151200103759765625e+01
2.556250000000000000e+09,-6.232899856567382812e+01
2.557500000000000000e+09,-6.217800140380859375e+01
2.558750000000000000e+09,-6.208800125122070312e+01
2.560000000000000000e+09,-6.041500091552734375e+01
2.561250000000000000e+09,-6.251399993896484375e+01
2.562500000000000000e+09,-5.996900177001953125e+01
2.563750000000000000e+09,-5.984199905395507812e+01
2.565000000000000000e+09,-6.120100021362304688e+01
2.566250000000000000e+09,-6.101100158691406250e+01
2.567500000000000000e+09,-6.121099853515625000e+01
2.568750000000000000e+09,-6.155799865722656250e+01
2.570000000000000000e+09,-6.141899871826171875e+01
2.571250000000000000e+09,-6.100299835205078125e+01
2.572500000000000000e+09,-6.221200180053710938e+01
2.573750000000000000e+09,-6.229800033569335938e+01
2.575000000000000000e+09,-6.349599838256835938e+01
2.576250000000000000e+09,-6.019900131225585938e+01
2.577500000000000000e+09,-6.081200027465820312e+01
2.578750000000000000e+09,-5.972800064086914062e+01
2.580000000000000000e+09,-6.021699905395507812e+01
2.581250000000000000e+09,-6.097499847412109375e+01
2.582500000000000000e+09,-6.000099945068359375e+01
2.583750000000000000e+09,-6.001399993896484375e+01
2.585000000000000000e+09,-6.188600158691406250e+01
2.586250000000000000e+09,-6.122499847412109375e+01
2.587500000000000000e+09,-6.263899993896484375e+01
2.588750000000000000e+09,-6.213499832153320312e+01
2.590000000000000000e+09,-6.177999877929687500e+01
2.591250000000000000e+09,-6.197600173950195312e+01
2.592500000000000000e+09,-6.145700073242187500e+01
2.593750000000000000e+09,-6.312400054931640625e+01
2.595000000000000000e+09,-6.226900100708007812e+01
2.596250000000000000e+09,-6.154199981689453125e+01
2.597500000000000000e+09,-6.187699890136718750e+01
2.598750000000000000e+09,-6.213899993896484375e+01
2.600000000000000000e+09,-6.092900085449218750e+01
2.601250000000000000e+09,-6.005500030517578125e+01
2.602500000000000000e+09,-6.074800109863281250e+01
2.603750000000000000e+09,-6.197299957275390625e+01
2.605000000000000000e+09,-6.005400085449218750e+01
2.606250000000000000e+09,-6.076800155639648438e+01
2.607500000000000000e+09,-6.085599899291992188e+01
2.608750000000000000e+09,-6.265299987792968750e+01
2.610000000000000000e+09,-5.929499816894531250e+01
2.611250000000000000e+09,-6.297399902343750000e+01
2.612500000000000000e+09,-6.247600173950195312e+01
2.613750000000000000e+09,-6.080199813842773438e+01
2.615000000000000000e+09,-6.157300186157226562e+01
2.616250000000000000e+09,-5.896300125122070312e+01
2.617500000000000000e+09,-6.232699966430664062e+01
2.618750000000000000e+09,-6.121400070190429688e+01
2.620000000000000000e+09,-6.242699813842773438e+01
2.621250000000000000e+09,-6.112200164794921875e+01
2.622500000000000000e+09,-6.097000122070312500e+01
2.623750000000000000e+09,-6.042800140380859375e+01
2.625000000000000000e+09,-6.175400161743164062e+01
2.626250000000000000e+09,-6.252799987792968750e+01
2.627500000000000000e+09,-6.229199981689453125e+01
2.628750000000000000e+09,-5.796599960327148438e+01
2.630000000000000000e+09,-6.060400009155273438e+01
2.631250000000000000e+09,-6.275400161743164062e+01
2.632500000000000000e+09,-6.236600112915039062e+01
2.633750000000000000e+09,-6.168299865722656250e+01
2.635000000000000000e+09,-6.231299972534179688e+01
2.636250000000000000e+09,-6.327099990844726562e+01
2.637500000000000000e+09,-6.270100021362304688e+01
2.638750000000000000e+09,-6.003699874877929688e+01
2.640000000000000000e+09,-6.184400177001953125e+01
2.641250000000000000e+09,-6.096099853515625000e+01
2.642500000000000000e+09,-6.190599822998046875e+01
2.643750000000000000e+09,-6.032300186157226562e+01
2.645000000000000000e+09,-6.119900131225585938e+01
2.646250000000000000e+09,-6.168700027465820312e+01
2.647500000000000000e+09,-6.056000137329101562e+01
2.648750000000000000e+09,-6.055199813842773438e+01
2.650000000000000000e+09,-6.147700119018554688e+01
2.651250000000000000e+09,-6.056000137329101562e+01
2.652500000000000000e+09,-5.991999816894531250e+01
2.653750000000000000e+09,-6.064400100708007812e+01
2.655000000000000000e+09,-6.171799850463867188e+01
2.656250000000000000e+09,-6.240999984741210938e+01
2.657500000000000000e+09,-6.144699859619140625e+01
2.658750000000000000e+09,-6.079999923706054688e+01
2.660000000000000000e+09,-6.078499984741210938e+01
2.661250000000000000e+09,-6.222399902343750000e+01
2.662500000000000000e+09,-5.995800018310546875e+01
2.663750000000000000e+09,-6.265200042724609375e+01
2.665000000000000000e+09,-6.068099975585937500e+01
2.666250000000000000e+09,-6.079499816894531250e+01
2.667500000000000000e+09,-6.068199920654296875e+01
2.668750000000000000e+09,-6.177899932861328125e+01
2.670000000000000000e+09,-6.250999832153320312e+01
2.671250000000000000e+09,-6.099000167846679688e+01
2.672500000000000000e+09,-6.058200073242187500e+01
2.673750000000000000e+09,-6.159099960327148438e+01
2.675000000000000000e+09,-6.127099990844726562e+01
2.676250000000000000e+09,-6.148600006103515625e+01
2.677500000000000000e+09,-6.013999938964843750e+01
2.678750000000000000e+09,-6.245999908447265625e+01
2.680000000000000000e+09,-6.302700042724609375e+01
2.681250000000000000e+09,-6.118399810791015625e+01
2.682500000000000000e+09,-6.067599868774414062e+01
2.683750000000000000e+09,-6.251200103759765625e+01
2.685000000000000000e+09,-6.172800064086914062e+01
2.686250000000000000e+09,-6.145800018310546875e+01
2.687500000000000000e+09,-6.106800079345703125e+01
2.688750000000000000e+09,-6.113399887084960938e+01
2.690000000000000000e+09,-6.143199920654296875e+01
2.691250000000000000e+09,-6.063999938964843750e+01
2.692500000000000000e+09,-5.794900131225585938e+01
2.693750000000000000e+09,-6.299700164794921875e+01
2.695000000000000000e+09,-6.037300109863281250e+01
2.696250000000000000e+09,-6.097800064086914062e+01
2.697500000000000000e+09,-6.007799911499023438e+01
2.698750000000000000e+09,-6.129999923706054688e+01
2.700000000000000000e+09,-6.106200027465820312e+01
2.701250000000000000e+09,-6.185599899291992188e+01
2.702500000000000000e+09,-6.256000137329101562e+01
2.703750000000000000e+09,-6.191299819946289062e+01
2.705000000000000000e+09,-5.971200180053710938e+01
2.706250000000000000e+09,-6.250899887084960938e+01
2.707500000000000000e+09,-5.915700149536132812e+01
2.708750000000000000e+09,-6.036399841308593750e+01
2.710000000000000000e+09,-6.129899978637695312e+01
2.711250000000000000e+09,-6.090200042724609375e+01
2.712500000000000000e+09,-6.141299819946289062e+01
2.713750000000000000e+09,-5.999399948120117188e+01
2.715000000000000000e+09,-6.087799835205078125e+01
2.716250000000000000e+09,-6.145999908447265625e+01
2.717500000000000000e+09,-6.084400177001953125e+01
2.718750000000000000e+09,-6.153200149536132812e+01
2.720000000000000000e+09,-5.988999938964843750e+01
2.721250000000000000e+09,-6.239300155639648438e+01
2.722500000000000000e+09,-6.176399993896484375e+01
2.723750000000000000e+09,-6.194300079345703125e+01
