frequency_hz,amplitude_dbm
2.550000000000000000e+09,-6.163100051879882812e+01
2.551250000000000000e+09,-5.991899871826171875e+01
2.552500000000000000e+09,-6.105899810791015625e+01
2.553750000000000000e+09,-6.003400039672851562e+01
2.555000000000000000e+09,-6.075500106811523438e+01
2.556250000000000000e+09,-6.037799835205078125e+01
2.557500000000000000e+09,-6.029000091552734375e+01
2.558750000000000000e+09,-6.146799850463867188e+01
2.560000000000000000e+09,-6.325199890136718750e+01
2.561250000000000000e+09,-6.270899963378906250e+01
2.562500000000000000e+09,-6.022499847412109375e+01
2.563750000000000000e+09,-6.066600036621093750e+01
2.565000000000000000e+09,-6.053400039672851562e+01
2.566250000000000000e+09,-6.244300079345703125e+01
2.567500000000000000e+09,-6.269400024414062500e+01
2.568750000000000000e+09,-5.991999816894531250e+01
2.570000000000000000e+09,-6.104000091552734375e+01
2.571250000000000000e+09,-6.185900115966796875e+01
2.572500000000000000e+09,-6.216400146484375000e+01
2.573750000000000000e+09,-6.068899917602539062e+01
2.575000000000000000e+09,-6.143500137329101562e+01
2.576250000000000000e+09,-6.159400177001953125e+01
2.577500000000000000e+09,-6.118000030517578125e+01
2.578750000000000000e+09,-6.233599853515625000e+01
2.580000000000000000e+09,-6.159500122070312500e+01
2.581250000000000000e+09,-6.018999862670898438e+01
2.582500000000000000e+09,-6.071799850463867188e+01
2.583750000000000000e+09,-6.131399917602539062e+01
2.585000000000000000e+09,-6.179199981689453125e+01
2.586250000000000000e+09,-6.155500030517578125e+01
2.587500000000000000e+09,-6.075500106811523438e+01
2.588750000000000000e+09,-5.950299835205078125e+01
2.590000000000000000e+09,-6.068700027465820312e+01
2.591250000000000000e+09,-6.278699874877929688e+01
2.592500000000000000e+09,-6.024700164794921875e+01
2.593750000000000000e+09,-6.236899948120117188e+01
2.595000000000000000e+09,-6.052099990844726562e+01
2.596250000000000000e+09,-6.063499832153320312e+01
2.597500000000000000e+09,-5.946500015258789062e+01
2.598750000000000000e+09,-6.100199890136718750e+01
2.600000000000000000e+09,-6.135100173950195312e+01
2.601250000000000000e+09,-6.193899917602539062e+01
2.602500000000000000e+09,-5.949000167846679688e+01
2.603750000000000000e+09,-6.037300109863281250e+01
2.605000000000000000e+09,-6.287300109863281250e+01
2.606250000000000000e+09,-6.159400177001953125e+01
2.607500000000000000e+09,-6.163700103759765625e+01
2.608750000000000000e+09,-6.294900131225585938e+01
2.610000000000000000e+09,-6.097000122070312500e+01
2.611250000000000000e+09,-6.186999893188476562e+01
2.612500000000000000e+09,-6.135100173950195312e+01
2.613750000000000000e+09,-6.082199859619140625e+01
2.615000000000000000e+09,-6.091799926757812500e+01
2.616250000000000000e+09,-6.091799926757812500e+01
2.617500000000000000e+09,-6.067200088500976562e+01
2.618750000000000000e+09,-6.195600128173828125e+01
2.620000000000000000e+09,-6.104000091552734375e+01
2.621250000000000000e+09,-5.987200164794921875e+01
2.622500000000000000e+09,-6.118199920654296875e+01
2.623750000000000000e+09,-5.838700103759765625e+01
2.625000000000000000e+09,-6.069499969482421875e+01
2.626250000000000000e+09,-6.015399932861328125e+01
2.627500000000000000e+09,-6.246599960327148438e+01
2.628750000000000000e+09,-6.298099899291992188e+01
2.630000000000000000e+09,-6.029399871826171875e+01
2.631250000000000000e+09,-6.114400100708007812e+01
2.632500000000000000e+09,-6.277799987792968750e+01
2.633750000000000000e+09,-6.042100143432617188e+01
2.635000000000000000e+09,-6.173199844360351562e+01
2.636250000000000000e+09,-6.060699844360351562e+01
2.637500000000000000e+09,-6.362500000000000000e+01
2.638750000000000000e+09,-6.266999816894531250e+01
2.640000000000000000e+09,-6.079100036621093750e+01
2.641250000000000000e+09,-6.246200180053710938e+01
2.642500000000000000e+09,-6.132899856567382812e+01
2.643750000000000000e+09,-5.937400054931640625e+01
2.645000000000000000e+09,-6.191999816894531250e+01
2.646250000000000000e+09,-6.273400115966796875e+01
2.647500000000000000e+09,-6.275299835205078125e+01
2.648750000000000000e+09,-6.149900054931640625e+01
2.650000000000000000e+09,-6.019699859619140625e+01
2.651250000000000000e+09,-6.062699890136718750e+01
2.652500000000000000e+09,-6.234000015258789062e+01
2.653750000000000000e+09,-6.204499816894531250e+01
2.655000000000000000e+09,-6.107500076293945312e+01
2.656250000000000000e+09,-6.042300033569335938e+01
2.657500000000000000e+09,-6.210100173950195312e+01
2.658750000000000000e+09,-5.950899887084960938e+01
2.660000000000000000e+09,-6.109400177001953125e+01
2.661250000000000000e+09,-5.998699951171875000e+01
2.662500000000000000e+09,-6.145700073242187500e+01
2.663750000000000000e+09,-6.160699844360351562e+01
2.665000000000000000e+09,-6.154199981689453125e+01
2.666250000000000000e+09,-6.240000152587890625e+01
2.667500000000000000e+09,-6.249300003051757812e+01
2.668750000000000000e+09,-6.023899841308593750e+01
2.670000000000000000e+09,-6.052199935913085938e+01
2.671250000000000000e+09,-6.131600189208984375e+01
2.672500000000000000e+09,-6.025999832153320312e+01
2.673750000000000000e+09,-6.197999954223632812e+01
2.675000000000000000e+09,-6.217900085449218750e+01
2.676250000000000000e+09,-6.285699844360351562e+01
