in s,C1 in V
-8.0000E-06,3.78418E-01
-7.9984E-06,3.39355E-01
-7.9968E-06,2.66113E-01
-7.9952E-06,1.92871E-01
-7.9936E-06,1.00098E-01
-7.9920E-06,1.22070E-02
-7.9904E-06,-8.05664E-02
-7.9888E-06,-1.73340E-01
-7.9872E-06,-2.61230E-01
-7.9856E-06,-3.34473E-01
-7.9840E-06,-3.83301E-01
-7.9824E-06,-4.02832E-01
-7.9808E-06,-4.02832E-01
-7.9792E-06,-3.97949E-01
-7.9776E-06,-3.68652E-01
-7.9760E-06,-2.95410E-01
-7.9744E-06,-2.31934E-01
-7.9728E-06,-1.58691E-01
-7.9712E-06,-8.05664E-02
-7.9696E-06,2.44141E-03
-7.9680E-06,1.09863E-01
-7.9664E-06,1.87988E-01
-7.9648E-06,2.70996E-01
-7.9632E-06,3.49121E-01
-7.9616E-06,3.83301E-01
-7.9600E-06,4.22363E-01
-7.9584E-06,4.17480E-01
-7.9568E-06,4.27246E-01
-7.9552E-06,3.83301E-01
-7.9536E-06,3.29590E-01
-7.9520E-06,2.70996E-01
-7.9504E-06,1.83105E-01
-7.9488E-06,1.09863E-01
-7.9472E-06,2.19727E-02
-7.9456E-06,-8.05664E-02
-7.9440E-06,-1.63574E-01
-7.9424E-06,-2.41699E-01
-7.9408E-06,-3.10059E-01
-7.9392E-06,-3.39355E-01
-7.9376E-06,-3.93066E-01
-7.9360E-06,-4.07715E-01
-7.9344E-06,-3.88184E-01
-7.9328E-06,-3.58887E-01
-7.9312E-06,-3.05176E-01
-7.9296E-06,-2.46582E-01
-7.9280E-06,-1.73340E-01
-7.9264E-06,-8.54492E-02
-7.9248E-06,1.22070E-02
-7.9232E-06,9.03320E-02
-7.9216E-06,1.78223E-01
-7.9200E-06,2.66113E-01
-7.9184E-06,3.29590E-01
-7.9168E-06,3.78418E-01
-7.9152E-06,4.07715E-01
-7.9136E-06,4.27246E-01
-7.9120E-06,4.12598E-01
-7.9104E-06,3.97949E-01
-7.9088E-06,3.39355E-01
-7.9072E-06,2.75879E-01
-7.9056E-06,1.97754E-01
-7.9040E-06,1.24512E-01
-7.9024E-06,2.68555E-02
-7.9008E-06,-5.12695E-02
-7.8992E-06,-1.53809E-01
