frequency_hz,power_dbm
2.000000000000000000e+09,-2.300300000000000011e+01
2.005000000000000000e+09,-2.284700000000000131e+01
2.010000000000000000e+09,-2.294399999999999906e+01
2.015000000000000000e+09,-2.289499999999999957e+01
2.020000000000000000e+09,-2.290299999999999869e+01
2.025000000000000000e+09,-2.289300000000000068e+01
2.030000000000000000e+09,-2.282400000000000162e+01
2.035000000000000000e+09,-2.291000000000000014e+01
2.040000000000000000e+09,-2.294399999999999906e+01
2.045000000000000000e+09,-2.294000000000000128e+01
2.050000000000000000e+09,-2.442599999999999838e+01
2.055000000000000000e+09,-2.299599999999999866e+01
2.060000000000000000e+09,-2.298900000000000077e+01
2.065000000000000000e+09,-2.303699999999999903e+01
2.070000000000000000e+09,-2.303399999999999892e+01
2.075000000000000000e+09,-2.313100000000000023e+01
2.080000000000000000e+09,-2.319600000000000151e+01
2.085000000000000000e+09,-2.319000000000000128e+01
2.090000000000000000e+09,-2.319800000000000040e+01
2.095000000000000000e+09,-2.321600000000000108e+01
2.100000000000000000e+09,-3.109900000000000020e+01
2.105000000000000000e+09,-2.319900000000000162e+01
2.110000000000000000e+09,-2.325000000000000000e+01
2.115000000000000000e+09,-2.332600000000000051e+01
2.120000000000000000e+09,-2.338700000000000045e+01
2.125000000000000000e+09,-2.343499999999999872e+01
2.130000000000000000e+09,-2.335600000000000165e+01
2.135000000000000000e+09,-2.338500000000000156e+01
2.140000000000000000e+09,-2.332600000000000051e+01
2.145000000000000000e+09,-2.330099999999999838e+01
2.150000000000000000e+09,-2.326099999999999923e+01
2.155000000000000000e+09,-2.331800000000000139e+01
2.160000000000000000e+09,-2.345799999999999841e+01
2.165000000000000000e+09,-2.352199999999999847e+01
2.170000000000000000e+09,-2.348799999999999955e+01
2.175000000000000000e+09,-2.341799999999999926e+01
2.180000000000000000e+09,-2.338299999999999912e+01
2.185000000000000000e+09,-2.326999999999999957e+01
2.190000000000000000e+09,-2.338100000000000023e+01
2.195000000000000000e+09,-2.347400000000000020e+01
2.200000000000000000e+09,-2.353600000000000136e+01
2.205000000000000000e+09,-2.354500000000000171e+01
2.210000000000000000e+09,-2.349099999999999966e+01
2.215000000000000000e+09,-2.341100000000000136e+01
2.220000000000000000e+09,-2.348000000000000043e+01
2.225000000000000000e+09,-2.347599999999999909e+01
2.230000000000000000e+09,-2.339900000000000091e+01
2.235000000000000000e+09,-2.348400000000000176e+01
2.240000000000000000e+09,-2.360500000000000043e+01
2.245000000000000000e+09,-2.360800000000000054e+01
2.250000000000000000e+09,-2.369600000000000151e+01
2.255000000000000000e+09,-2.363400000000000034e+01
2.260000000000000000e+09,-2.362800000000000011e+01
2.265000000000000000e+09,-2.358399999999999963e+01
2.270000000000000000e+09,-2.357900000000000063e+01
2.275000000000000000e+09,-2.361599999999999966e+01
2.280000000000000000e+09,-2.372599999999999909e+01
2.285000000000000000e+09,-2.374699999999999989e+01
2.290000000000000000e+09,-2.379100000000000037e+01
2.295000000000000000e+09,-2.378699999999999903e+01
2.300000000000000000e+09,-3.642000000000000171e+01
2.305000000000000000e+09,-2.366700000000000159e+01
2.310000000000000000e+09,-2.367299999999999827e+01
2.315000000000000000e+09,-2.372100000000000009e+01
2.320000000000000000e+09,-2.374399999999999977e+01
2.325000000000000000e+09,-2.373499999999999943e+01
2.330000000000000000e+09,-2.377400000000000091e+01
2.335000000000000000e+09,-2.380000000000000071e+01
2.340000000000000000e+09,-2.373999999999999844e+01
2.345000000000000000e+09,-2.370499999999999829e+01
2.350000000000000000e+09,-2.369600000000000151e+01
2.355000000000000000e+09,-2.371399999999999864e+01
2.360000000000000000e+09,-2.375400000000000134e+01
2.365000000000000000e+09,-2.371499999999999986e+01
2.370000000000000000e+09,-2.386899999999999977e+01
2.375000000000000000e+09,-2.390500000000000114e+01
2.380000000000000000e+09,-2.392399999999999949e+01
2.385000000000000000e+09,-2.386599999999999966e+01
2.390000000000000000e+09,-2.375600000000000023e+01
2.395000000000000000e+09,-2.386599999999999966e+01
2.400000000000000000e+09,-2.383599999999999852e+01
2.405000000000000000e+09,-2.376999999999999957e+01
2.410000000000000000e+09,-2.380799999999999983e+01
2.415000000000000000e+09,-2.389600000000000080e+01
2.420000000000000000e+09,-2.384799999999999898e+01
2.425000000000000000e+09,-2.392899999999999849e+01
2.430000000000000000e+09,-2.389099999999999824e+01
2.435000000000000000e+09,-2.385399999999999920e+01
2.440000000000000000e+09,-2.390299999999999869e+01
2.445000000000000000e+09,-2.387099999999999866e+01
2.450000000000000000e+09,-2.389099999999999824e+01
2.455000000000000000e+09,-2.391900000000000048e+01
2.460000000000000000e+09,-2.405600000000000094e+01
2.465000000000000000e+09,-2.399699999999999989e+01
2.470000000000000000e+09,-2.400499999999999901e+01
2.475000000000000000e+09,-2.395499999999999829e+01
2.480000000000000000e+09,-2.395400000000000063e+01
2.485000000000000000e+09,-2.399099999999999966e+01
2.490000000000000000e+09,-2.402100000000000080e+01
2.495000000000000000e+09,-2.414300000000000068e+01
2.500000000000000000e+09,-2.401999999999999957e+01
2.505000000000000000e+09,-2.415099999999999980e+01
2.510000000000000000e+09,-2.418299999999999983e+01
2.515000000000000000e+09,-2.418700000000000117e+01
2.520000000000000000e+09,-2.418599999999999994e+01
2.525000000000000000e+09,-2.407000000000000028e+01
2.530000000000000000e+09,-2.403699999999999903e+01
2.535000000000000000e+09,-2.403000000000000114e+01
2.540000000000000000e+09,-2.404599999999999937e+01
2.545000000000000000e+09,-2.410099999999999909e+01
2.550000000000000000e+09,-2.416000000000000014e+01
2.555000000000000000e+09,-2.432400000000000162e+01
2.560000000000000000e+09,-2.421999999999999886e+01
2.565000000000000000e+09,-2.418299999999999983e+01
2.570000000000000000e+09,-2.412199999999999989e+01
2.575000000000000000e+09,-2.407799999999999940e+01
2.580000000000000000e+09,-2.405999999999999872e+01
2.585000000000000000e+09,-2.402299999999999969e+01
2.590000000000000000e+09,-2.425100000000000122e+01
2.595000000000000000e+09,-2.427400000000000091e+01
2.600000000000000000e+09,-2.432600000000000051e+01
2.605000000000000000e+09,-2.411599999999999966e+01
2.610000000000000000e+09,-2.415599999999999881e+01
2.615000000000000000e+09,-2.419800000000000040e+01
2.620000000000000000e+09,-2.422299999999999898e+01
2.625000000000000000e+09,-2.425300000000000011e+01
2.630000000000000000e+09,-2.436499999999999844e+01
2.635000000000000000e+09,-2.440200000000000102e+01
2.640000000000000000e+09,-2.448199999999999932e+01
2.645000000000000000e+09,-2.437699999999999889e+01
2.650000000000000000e+09,-2.429700000000000060e+01
2.655000000000000000e+09,-2.432900000000000063e+01
2.660000000000000000e+09,-2.432300000000000040e+01
2.665000000000000000e+09,-2.443400000000000105e+01
2.670000000000000000e+09,-2.452599999999999980e+01
2.675000000000000000e+09,-2.468100000000000094e+01
2.680000000000000000e+09,-2.463800000000000168e+01
2.685000000000000000e+09,-2.450900000000000034e+01
2.690000000000000000e+09,-2.448900000000000077e+01
