frequency_hz,coupled_power_dbm,estimated_output_dbm,estimated_gain_db
2.000000000000000000e+09,4.437999999999999723e+00,2.443799999999999883e+01,2.443799999999999883e+01
2.020000000000000000e+09,2.843999999999999861e+00,2.284400000000000119e+01,2.284400000000000119e+01
2.040000000000000000e+09,7.339999999999999858e-01,2.073400000000000176e+01,2.073400000000000176e+01
2.060000000000000000e+09,9.759999999999999787e-01,2.097599999999999909e+01,2.097599999999999909e+01
2.080000000000000000e+09,2.665000000000000036e+00,2.266499999999999915e+01,2.266499999999999915e+01
2.100000000000000000e+09,4.733999999999999986e+00,2.473400000000000176e+01,2.473400000000000176e+01
2.120000000000000000e+09,5.650000000000000355e+00,2.564999999999999858e+01,2.564999999999999858e+01
2.140000000000000000e+09,6.737000000000000099e+00,2.673700000000000188e+01,2.673700000000000188e+01
2.160000000000000000e+09,6.988999999999999879e+00,2.698900000000000077e+01,2.698900000000000077e+01
2.180000000000000000e+09,7.219000000000000306e+00,2.721900000000000119e+01,2.721900000000000119e+01
2.200000000000000000e+09,7.418000000000000149e+00,2.741799999999999926e+01,2.741799999999999926e+01
2.220000000000000000e+09,7.443999999999999950e+00,2.744399999999999906e+01,2.744399999999999906e+01
2.240000000000000000e+09,7.222000000000000419e+00,2.722200000000000131e+01,2.722200000000000131e+01
2.260000000000000000e+09,7.225999999999999979e+00,2.722599999999999909e+01,2.722599999999999909e+01
2.280000000000000000e+09,7.017999999999999794e+00,2.701800000000000068e+01,2.701800000000000068e+01
2.300000000000000000e+09,7.030999999999999694e+00,2.703099999999999881e+01,2.703099999999999881e+01
2.320000000000000000e+09,7.078000000000000291e+00,2.707799999999999940e+01,2.707799999999999940e+01
2.340000000000000000e+09,6.873000000000000220e+00,2.687300000000000111e+01,2.687300000000000111e+01
2.360000000000000000e+09,7.089000000000000412e+00,2.708899999999999864e+01,2.708899999999999864e+01
2.380000000000000000e+09,6.631000000000000227e+00,2.663100000000000023e+01,2.663100000000000023e+01
2.400000000000000000e+09,6.886000000000000121e+00,2.688599999999999923e+01,2.688599999999999923e+01
2.420000000000000000e+09,6.581000000000000405e+00,2.658099999999999952e+01,2.658099999999999952e+01
2.440000000000000000e+09,6.705000000000000071e+00,2.670499999999999829e+01,2.670499999999999829e+01
2.460000000000000000e+09,6.506000000000000227e+00,2.650600000000000023e+01,2.650600000000000023e+01
2.480000000000000000e+09,6.373000000000000220e+00,2.637300000000000111e+01,2.637300000000000111e+01
2.500000000000000000e+09,6.064000000000000057e+00,2.606400000000000006e+01,2.606400000000000006e+01
2.520000000000000000e+09,5.690000000000000391e+00,2.569000000000000128e+01,2.569000000000000128e+01
2.540000000000000000e+09,6.089999999999999858e+00,2.608999999999999986e+01,2.608999999999999986e+01
2.560000000000000000e+09,5.639000000000000234e+00,2.563899999999999935e+01,2.563899999999999935e+01
2.580000000000000000e+09,6.192999999999999616e+00,2.619299999999999784e+01,2.619299999999999784e+01
2.600000000000000000e+09,5.716999999999999638e+00,2.571699999999999875e+01,2.571699999999999875e+01
2.620000000000000000e+09,5.934999999999999609e+00,2.593499999999999872e+01,2.593499999999999872e+01
2.640000000000000000e+09,5.419999999999999929e+00,2.542000000000000171e+01,2.542000000000000171e+01
2.660000000000000000e+09,5.722999999999999865e+00,2.572299999999999898e+01,2.572299999999999898e+01
2.680000000000000000e+09,5.323999999999999844e+00,2.532399999999999807e+01,2.532399999999999807e+01
2.700000000000000000e+09,5.620000000000000107e+00,2.562000000000000099e+01,2.562000000000000099e+01
2.720000000000000000e+09,5.605999999999999872e+00,2.560600000000000165e+01,2.560600000000000165e+01
2.740000000000000000e+09,5.533999999999999808e+00,2.553399999999999892e+01,2.553399999999999892e+01
2.760000000000000000e+09,5.599999999999999645e+00,2.560000000000000142e+01,2.560000000000000142e+01
2.780000000000000000e+09,5.134000000000000341e+00,2.513400000000000034e+01,2.513400000000000034e+01
2.800000000000000000e+09,5.174999999999999822e+00,2.517500000000000071e+01,2.517500000000000071e+01
2.820000000000000000e+09,4.834999999999999964e+00,2.483500000000000085e+01,2.483500000000000085e+01
2.840000000000000000e+09,5.376999999999999780e+00,2.537699999999999889e+01,2.537699999999999889e+01
2.860000000000000000e+09,5.009000000000000341e+00,2.500900000000000034e+01,2.500900000000000034e+01
2.880000000000000000e+09,5.352999999999999758e+00,2.535300000000000153e+01,2.535300000000000153e+01
2.900000000000000000e+09,5.128999999999999559e+00,2.512899999999999778e+01,2.512899999999999778e+01
2.920000000000000000e+09,5.121999999999999886e+00,2.512199999999999989e+01,2.512199999999999989e+01
2.940000000000000000e+09,4.788000000000000256e+00,2.478800000000000026e+01,2.478800000000000026e+01
2.960000000000000000e+09,5.169999999999999929e+00,2.517000000000000171e+01,2.517000000000000171e+01
2.980000000000000000e+09,4.657000000000000028e+00,2.465700000000000003e+01,2.465700000000000003e+01
3.000000000000000000e+09,5.129999999999999893e+00,2.512999999999999901e+01,2.512999999999999901e+01
