frequency_hz,power_dbm
2.090500000000000000e+09,-1.737699999999999889e+01
2.090550000000000000e+09,-1.974800000000000111e+01
2.090600000000000000e+09,-2.014099999999999824e+01
2.090650000000000000e+09,-1.948300000000000054e+01
2.090700000000000000e+09,-1.845499999999999829e+01
2.090750000000000000e+09,-1.751300000000000168e+01
2.090800000000000000e+09,-1.696000000000000085e+01
2.090850000000000000e+09,-1.664900000000000091e+01
2.090900000000000000e+09,-1.660200000000000031e+01
2.090950000000000000e+09,-1.657900000000000063e+01
2.091000000000000000e+09,-1.657700000000000173e+01
2.091050000000000000e+09,-1.655499999999999972e+01
2.091100000000000000e+09,-1.655600000000000094e+01
2.091150000000000000e+09,-1.653800000000000026e+01
2.091200000000000000e+09,-1.653600000000000136e+01
2.091250000000000000e+09,-1.651500000000000057e+01
2.091300000000000000e+09,-1.651099999999999923e+01
2.091350000000000000e+09,-1.652199999999999847e+01
2.091400000000000000e+09,-1.650400000000000134e+01
2.091450000000000000e+09,-1.649299999999999855e+01
2.091500000000000000e+09,-1.650000000000000000e+01
2.091550000000000000e+09,-1.649699999999999989e+01
2.091600000000000000e+09,-1.648400000000000176e+01
2.091650000000000000e+09,-1.647899999999999920e+01
2.091700000000000000e+09,-1.647899999999999920e+01
2.091750000000000000e+09,-1.648100000000000165e+01
2.091800000000000000e+09,-1.646699999999999875e+01
2.091850000000000000e+09,-1.645499999999999829e+01
2.091900000000000000e+09,-1.644999999999999929e+01
2.091950000000000000e+09,-1.645499999999999829e+01
2.092000000000000000e+09,-1.644900000000000162e+01
2.092050000000000000e+09,-1.645299999999999940e+01
2.092100000000000000e+09,-1.643499999999999872e+01
2.092150000000000000e+09,-1.644000000000000128e+01
2.092200000000000000e+09,-1.643100000000000094e+01
2.092250000000000000e+09,-1.642899999999999849e+01
2.092300000000000000e+09,-1.641199999999999903e+01
2.092350000000000000e+09,-1.641000000000000014e+01
2.092400000000000000e+09,-1.640899999999999892e+01
2.092450000000000000e+09,-1.638100000000000023e+01
2.092500000000000000e+09,-1.640099999999999980e+01
2.092550000000000000e+09,-1.638299999999999912e+01
2.092600000000000000e+09,-1.638299999999999912e+01
2.092650000000000000e+09,-1.638700000000000045e+01
2.092700000000000000e+09,-1.638299999999999912e+01
2.092750000000000000e+09,-1.638500000000000156e+01
2.092800000000000000e+09,-1.637999999999999901e+01
2.092850000000000000e+09,-1.636299999999999955e+01
2.092900000000000000e+09,-1.635999999999999943e+01
2.092950000000000000e+09,-1.636899999999999977e+01
2.093000000000000000e+09,-1.634199999999999875e+01
2.093050000000000000e+09,-1.636199999999999832e+01
2.093100000000000000e+09,-1.634199999999999875e+01
2.093150000000000000e+09,-1.633899999999999864e+01
2.093200000000000000e+09,-1.633899999999999864e+01
2.093250000000000000e+09,-1.632400000000000162e+01
2.093300000000000000e+09,-1.632900000000000063e+01
2.093350000000000000e+09,-1.632199999999999918e+01
2.093400000000000000e+09,-1.632199999999999918e+01
2.093450000000000000e+09,-1.631400000000000006e+01
2.093500000000000000e+09,-1.632199999999999918e+01
2.093550000000000000e+09,-1.631500000000000128e+01
2.093600000000000000e+09,-1.631299999999999883e+01
2.093650000000000000e+09,-1.629500000000000171e+01
2.093700000000000000e+09,-1.629400000000000048e+01
2.093750000000000000e+09,-1.629400000000000048e+01
2.093800000000000000e+09,-1.629299999999999926e+01
2.093850000000000000e+09,-1.628500000000000014e+01
2.093900000000000000e+09,-1.629299999999999926e+01
2.093950000000000000e+09,-1.628500000000000014e+01
2.094000000000000000e+09,-1.627599999999999980e+01
2.094050000000000000e+09,-1.626899999999999835e+01
2.094100000000000000e+09,-1.626200000000000045e+01
2.094150000000000000e+09,-1.626099999999999923e+01
2.094200000000000000e+09,-1.626500000000000057e+01
2.094250000000000000e+09,-1.625600000000000023e+01
2.094300000000000000e+09,-1.625199999999999889e+01
2.094350000000000000e+09,-1.623600000000000065e+01
2.094400000000000000e+09,-1.623699999999999832e+01
2.094450000000000000e+09,-1.623600000000000065e+01
2.094500000000000000e+09,-1.623400000000000176e+01
2.094550000000000000e+09,-1.622800000000000153e+01
2.094600000000000000e+09,-1.623499999999999943e+01
2.094650000000000000e+09,-1.621099999999999852e+01
2.094700000000000000e+09,-1.621699999999999875e+01
2.094750000000000000e+09,-1.621199999999999974e+01
2.094800000000000000e+09,-1.620599999999999952e+01
2.094850000000000000e+09,-1.620700000000000074e+01
2.094900000000000000e+09,-1.620799999999999841e+01
2.094950000000000000e+09,-1.619200000000000017e+01
2.095000000000000000e+09,-1.618700000000000117e+01
2.095050000000000000e+09,-1.618400000000000105e+01
2.095100000000000000e+09,-1.618599999999999994e+01
2.095150000000000000e+09,-1.617099999999999937e+01
2.095200000000000000e+09,-1.616100000000000136e+01
2.095250000000000000e+09,-1.617200000000000060e+01
2.095300000000000000e+09,-1.616700000000000159e+01
2.095350000000000000e+09,-1.615899999999999892e+01
2.095400000000000000e+09,-1.615200000000000102e+01
2.095450000000000000e+09,-1.614300000000000068e+01
2.095500000000000000e+09,-1.614199999999999946e+01
2.095550000000000000e+09,-1.612399999999999878e+01
2.095600000000000000e+09,-1.614499999999999957e+01
2.095650000000000000e+09,-1.611799999999999855e+01
2.095700000000000000e+09,-1.612099999999999866e+01
2.095750000000000000e+09,-1.611599999999999966e+01
2.095800000000000000e+09,-1.611599999999999966e+01
2.095850000000000000e+09,-1.611199999999999832e+01
2.095900000000000000e+09,-1.612300000000000111e+01
2.095950000000000000e+09,-1.610500000000000043e+01
2.096000000000000000e+09,-1.610699999999999932e+01
2.096050000000000000e+09,-1.610500000000000043e+01
2.096100000000000000e+09,-1.610500000000000043e+01
2.096150000000000000e+09,-1.608899999999999864e+01
2.096200000000000000e+09,-1.608800000000000097e+01
2.096250000000000000e+09,-1.607900000000000063e+01
2.096300000000000000e+09,-1.607300000000000040e+01
2.096350000000000000e+09,-1.607799999999999940e+01
2.096400000000000000e+09,-1.607900000000000063e+01
2.096450000000000000e+09,-1.606500000000000128e+01
2.096500000000000000e+09,-1.605799999999999983e+01
2.096550000000000000e+09,-1.607400000000000162e+01
2.096600000000000000e+09,-1.605600000000000094e+01
2.096650000000000000e+09,-1.605199999999999960e+01
2.096700000000000000e+09,-1.604799999999999827e+01
2.096750000000000000e+09,-1.603900000000000148e+01
2.096800000000000000e+09,-1.604599999999999937e+01
2.096850000000000000e+09,-1.603300000000000125e+01
2.096900000000000000e+09,-1.603399999999999892e+01
2.096950000000000000e+09,-1.603300000000000125e+01
2.097000000000000000e+09,-1.601899999999999835e+01
2.097050000000000000e+09,-1.602499999999999858e+01
2.097100000000000000e+09,-1.601399999999999935e+01
2.097150000000000000e+09,-1.602299999999999969e+01
2.097200000000000000e+09,-1.601500000000000057e+01
2.097250000000000000e+09,-1.600000000000000000e+01
2.097300000000000000e+09,-1.600400000000000134e+01
2.097350000000000000e+09,-1.599000000000000021e+01
2.097400000000000000e+09,-1.599000000000000021e+01
2.097450000000000000e+09,-1.599300000000000033e+01
2.097500000000000000e+09,-1.598199999999999932e+01
2.097550000000000000e+09,-1.599099999999999966e+01
2.097600000000000000e+09,-1.598199999999999932e+01
2.097650000000000000e+09,-1.599499999999999922e+01
2.097700000000000000e+09,-1.599000000000000021e+01
2.097750000000000000e+09,-1.597000000000000064e+01
2.097800000000000000e+09,-1.598499999999999943e+01
2.097850000000000000e+09,-1.596899999999999942e+01
2.097900000000000000e+09,-1.597600000000000087e+01
2.097950000000000000e+09,-1.597000000000000064e+01
2.098000000000000000e+09,-1.597000000000000064e+01
2.098050000000000000e+09,-1.595500000000000007e+01
2.098100000000000000e+09,-1.594200000000000017e+01
