"$R [mm]","$s [mm]","$tracewidth [mm]","Freq [GHz]","dB(S(1,1)) []"
8,2.5,0.3,2.3,-1.11524954630773
8,2.5,0.3,2.31010101010101,-1.13133403456288
8,2.5,0.3,2.32020202020202,-1.14805767232046
8,2.5,0.3,2.33030303030303,-1.16545309764688
8,2.5,0.3,2.34040404040404,-1.18355539317079
8,2.5,0.3,2.35050505050505,-1.20240239641521
8,2.5,0.3,2.36060606060606,-1.22203504636903
8,2.5,0.3,2.37070707070707,-1.24249777100929
8,2.5,0.3,2.38080808080808,-1.26383892118204
8,2.5,0.3,2.39090909090909,-1.28611125705267
8,2.5,0.3,2.4010101010101,-1.30937249426236
8,2.5,0.3,2.41111111111111,-1.33368591799287
8,2.5,0.3,2.42121212121212,-1.35912107436821
8,2.5,0.3,2.43131313131313,-1.38575455003018
8,2.5,0.3,2.44141414141414,-1.41367085233816
8,2.5,0.3,2.45151515151515,-1.44296340448768
8,2.5,0.3,2.46161616161616,-1.47373567193895
8,2.5,0.3,2.47171717171717,-1.50610243891892
8,2.5,0.3,2.48181818181818,-1.54019125642234
8,2.5,0.3,2.49191919191919,-1.57614408609402
8,2.5,0.3,2.5020202020202,-1.61411916761022
8,2.5,0.3,2.51212121212121,-1.65429314064569
8,2.5,0.3,2.52222222222222,-1.69686345611829
8,2.5,0.3,2.53232323232323,-1.74205111497257
8,2.5,0.3,2.54242424242424,-1.79010377600853
8,2.5,0.3,2.55252525252525,-1.84129927671777
8,2.5,0.3,2.56262626262626,-1.89594961203488
8,2.5,0.3,2.57272727272727,-1.95440541423733
8,2.5,0.3,2.58282828282828,-2.01706097126524
8,2.5,0.3,2.59292929292929,-2.08435980798864
8,2.5,0.3,2.6030303030303,-2.15680083173937
8,2.5,0.3,2.61313131313131,-2.23494500433853
8,2.5,0.3,2.62323232323232,-2.31942244000937
8,2.5,0.3,2.63333333333333,-2.41093973057562
8,2.5,0.3,2.64343434343434,-2.5102871498664
8,2.5,0.3,2.65353535353535,-2.61834516507626
8,2.5,0.3,2.66363636363636,-2.73608935142465
8,2.5,0.3,2.67373737373737,-2.86459232297175
8,2.5,0.3,2.68383838383838,-3.00502059655619
8,2.5,0.3,2.69393939393939,-3.15862331937427
8,2.5,0.3,2.7040404040404,-3.32670841855141
8,2.5,0.3,2.71414141414141,-3.51059987013647
8,2.5,0.3,2.72424242424242,-3.7115673524721
8,2.5,0.3,2.73434343434343,-3.93071654981017
8,2.5,0.3,2.74444444444444,-4.16882504325708
8,2.5,0.3,2.75454545454545,-4.42610581887781
8,2.5,0.3,2.76464646464646,-4.70187970755506
8,2.5,0.3,2.77474747474747,-4.99414313087108
8,2.5,0.3,2.78484848484849,-5.2990347202473
8,2.5,0.3,2.79494949494949,-5.61024322268762
8,2.5,0.3,2.80505050505051,-5.91846986215419
8,2.5,0.3,2.81515151515151,-6.21116226364483
8,2.5,0.3,2.82525252525253,-6.47284482102364
8,2.5,0.3,2.83535353535354,-6.68639497539529
8,2.5,0.3,2.84545454545455,-6.83541816881093
8,2.5,0.3,2.85555555555556,-6.90737569570718
8,2.5,0.3,2.86565656565657,-6.89649821956903
8,2.5,0.3,2.87575757575758,-6.80526254787711
8,2.5,0.3,2.88585858585859,-6.64372249506782
8,2.5,0.3,2.8959595959596,-6.427024968825
8,2.5,0.3,2.90606060606061,-6.17223000601284
8,2.5,0.3,2.91616161616162,-5.89557363698756
8,2.5,0.3,2.92626262626263,-5.61076593399919
8,2.5,0.3,2.93636363636364,-5.32833040863557
8,2.5,0.3,2.94646464646465,-5.05567828649159
8,2.5,0.3,2.95656565656566,-4.79756762686961
8,2.5,0.3,2.96666666666667,-4.55668680946028
8,2.5,0.3,2.97676767676768,-4.33421314432422
8,2.5,0.3,2.98686868686869,-4.13028151050688
8,2.5,0.3,2.9969696969697,-3.94434777193907
8,2.5,0.3,3.00707070707071,-3.77545581339699
8,2.5,0.3,3.01717171717172,-3.62242574767763
8,2.5,0.3,3.02727272727273,-3.48398176359516
8,2.5,0.3,3.03737373737374,-3.35883573518835
8,2.5,0.3,3.04747474747475,-3.24573943760595
8,2.5,0.3,3.05757575757576,-3.14351507121339
8,2.5,0.3,3.06767676767677,-3.05107116638591
8,2.5,0.3,3.07777777777778,-2.96740889457948
8,2.5,0.3,3.08787878787879,-2.89162228493113
8,2.5,0.3,3.0979797979798,-2.82289473958907
8,2.5,0.3,3.10808080808081,-2.7604934557962
8,2.5,0.3,3.11818181818182,-2.70376281419337
8,2.5,0.3,3.12828282828283,-2.65211741471652
8,2.5,0.3,3.13838383838384,-2.60503518414579
8,2.5,0.3,3.14848484848485,-2.5620508065253
8,2.5,0.3,3.15858585858586,-2.52274961330613
8,2.5,0.3,3.16868686868687,-2.48676199578822
8,2.5,0.3,3.17878787878788,-2.4537583553921
8,2.5,0.3,3.18888888888889,-2.42344457855925
8,2.5,0.3,3.1989898989899,-2.3955580065177
8,2.5,0.3,3.20909090909091,-2.36986386155717
8,2.5,0.3,3.21919191919192,-2.34615208798065
8,2.5,0.3,3.22929292929293,-2.32423456561635
8,2.5,0.3,3.23939393939394,-2.30394265540048
8,2.5,0.3,3.24949494949495,-2.28512503923249
8,2.5,0.3,3.25959595959596,-2.26764581951018
8,2.5,0.3,3.26969696969697,-2.25138284712422
8,2.5,0.3,3.27979797979798,-2.23622625001606
8,2.5,0.3,3.28989898989899,-2.22207713755489
8,2.5,0.3,3.3,-2.20884645890201
