"$R [mm]","$s [mm]","$tracewidth [mm]","Freq [GHz]","dB(S(1,1)) []"
8,2.5,0.3,2,-0.838324809039755
8,2.5,0.3,2.01515151515152,-0.845806636414017
8,2.5,0.3,2.03030303030303,-0.853772661703102
8,2.5,0.3,2.04545454545455,-0.862251916811065
8,2.5,0.3,2.06060606060606,-0.871274438399957
8,2.5,0.3,2.07575757575758,-0.880871325674716
8,2.5,0.3,2.09090909090909,-0.891074819536467
8,2.5,0.3,2.10606060606061,-0.901918406674493
8,2.5,0.3,2.12121212121212,-0.913436952652068
8,2.5,0.3,2.13636363636364,-0.925666868611369
8,2.5,0.3,2.15151515151515,-0.938646316897157
8,2.5,0.3,2.16666666666667,-0.952415461701628
8,2.5,0.3,2.18181818181818,-0.967016771793103
8,2.5,0.3,2.1969696969697,-0.982495383545317
8,2.5,0.3,2.21212121212121,-0.998899533876675
8,2.5,0.3,2.22727272727273,-1.01628107439532
8,2.5,0.3,2.24242424242424,-1.03469608009455
8,2.5,0.3,2.25757575757576,-1.0542055684393
8,2.5,0.3,2.27272727272727,-1.07487634773359
8,2.5,0.3,2.28787878787879,-1.09678201739213
8,2.5,0.3,2.3030303030303,-1.12000414732122
8,2.5,0.3,2.31818181818182,-1.14463366924876
8,2.5,0.3,2.33333333333333,-1.17077251978539
8,2.5,0.3,2.34848484848485,-1.19853558356731
8,2.5,0.3,2.36363636363636,-1.22805299542241
8,2.5,0.3,2.37878787878788,-1.25947287360687
8,2.5,0.3,2.39393939393939,-1.29296457238773
8,2.5,0.3,2.40909090909091,-1.32872256234367
8,2.5,0.3,2.42424242424242,-1.36697107162199
8,2.5,0.3,2.43939393939394,-1.40796965209693
8,2.5,0.3,2.45454545454545,-1.45201987215226
8,2.5,0.3,2.46969696969697,-1.49947338400557
8,2.5,0.3,2.48484848484848,-1.55074166942983
8,2.5,0.3,2.5,-1.60630783443989
8,2.5,0.3,2.51515151515152,-1.66674090117175
8,2.5,0.3,2.53030303030303,-1.73271313204043
8,2.5,0.3,2.54545454545455,-1.80502101169148
8,2.5,0.3,2.56060606060606,-1.88461059320323
8,2.5,0.3,2.57575757575758,-1.97260795964458
8,2.5,0.3,2.59090909090909,-2.07035550871577
8,2.5,0.3,2.60606060606061,-2.17945454061415
8,2.5,0.3,2.62121212121212,-2.30181404303722
8,2.5,0.3,2.63636363636364,-2.4397043119561
8,2.5,0.3,2.65151515151515,-2.59581157946849
8,2.5,0.3,2.66666666666667,-2.77328520836274
8,2.5,0.3,2.68181818181818,-2.97576069494104
8,2.5,0.3,2.6969696969697,-3.20732717554569
8,2.5,0.3,2.71212121212121,-3.47238354141067
8,2.5,0.3,2.72727272727273,-3.77528756566224
8,2.5,0.3,2.74242424242424,-4.119643026749
8,2.5,0.3,2.75757575757576,-4.5069934656024
8,2.5,0.3,2.77272727272727,-4.93462889301152
8,2.5,0.3,2.78787878787879,-5.39227248940255
8,2.5,0.3,2.8030303030303,-5.85786963764198
8,2.5,0.3,2.81818181818182,-6.29400186350263
8,2.5,0.3,2.83333333333333,-6.64871455123714
8,2.5,0.3,2.84848484848485,-6.86587895297186
8,2.5,0.3,2.86363636363636,-6.90564153783371
8,2.5,0.3,2.87878787878788,-6.76384667916645
8,2.5,0.3,2.89393939393939,-6.47417091732137
8,2.5,0.3,2.90909090909091,-6.09098151352269
8,2.5,0.3,2.92424242424242,-5.66789504034961
8,2.5,0.3,2.93939393939394,-5.24525502227039
8,2.5,0.3,2.95454545454545,-4.84783650946182
8,2.5,0.3,2.96969696969697,-4.4879179095288
8,2.5,0.3,2.98484848484848,-4.16950565754635
8,2.5,0.3,3,-3.89182619642046
8,2.5,0.3,3.01515151515152,-3.65169797204416
8,2.5,0.3,3.03030303030303,-3.44497073483399
8,2.5,0.3,3.04545454545455,-3.26732634879036
8,2.5,0.3,3.06060606060606,-3.11468438434523
8,2.5,0.3,3.07575757575758,-2.98337890885886
8,2.5,0.3,3.09090909090909,-2.87021032646367
8,2.5,0.3,3.10606060606061,-2.77243354041044
8,2.5,0.3,3.12121212121212,-2.6877170736245
8,2.5,0.3,3.13636363636364,-2.61409191644156
8,2.5,0.3,3.15151515151515,-2.54989973846989
8,2.5,0.3,3.16666666666667,-2.49374499965754
8,2.5,0.3,3.18181818181818,-2.44445273652686
8,2.5,0.3,3.1969696969697,-2.40103237155444
8,2.5,0.3,3.21212121212121,-2.36264720551223
8,2.5,0.3,3.22727272727273,-2.3285889649554
8,2.5,0.3,3.24242424242424,-2.29825669838182
8,2.5,0.3,3.25757575757576,-2.2711393385984
8,2.5,0.3,3.27272727272727,-2.24680131779896
8,2.5,0.3,3.28787878787879,-2.22487070543906
8,2.5,0.3,3.3030303030303,-2.2050294220318
8,2.5,0.3,3.31818181818182,-2.18700515760563
8,2.5,0.3,3.33333333333333,-2.17056468927216
8,2.5,0.3,3.34848484848485,-2.15550834787821
8,2.5,0.3,3.36363636363636,-2.14166542983222
8,2.5,0.3,3.37878787878788,-2.12889038806971
8,2.5,0.3,3.39393939393939,-2.11705966701301
8,2.5,0.3,3.40909090909091,-2.10606907146155
8,2.5,0.3,3.42424242424242,-2.09583157966325
8,2.5,0.3,3.43939393939394,-2.08627552724817
8,2.5,0.3,3.45454545454545,-2.07734310198817
8,2.5,0.3,3.46969696969697,-2.06898910008433
8,2.5,0.3,3.48484848484848,-2.06117990336493
8,2.5,0.3,3.5,-2.05389264379503
