"$R [mm]","$s [mm]","$tracewidth [mm]","Freq [GHz]","dB(S(1,1)) []"
8,2.5,0.3,2,-0.91570531138584
8,2.5,0.3,2.01515151515152,-0.924532950283983
8,2.5,0.3,2.03030303030303,-0.933737197763521
8,2.5,0.3,2.04545454545455,-0.943340487726857
8,2.5,0.3,2.06060606060606,-0.953366073629087
8,2.5,0.3,2.07575757575758,-0.963838047988788
8,2.5,0.3,2.09090909090909,-0.974781384524672
8,2.5,0.3,2.10606060606061,-0.986222006943108
8,2.5,0.3,2.12121212121212,-0.998186888825035
8,2.5,0.3,2.13636363636364,-1.01070418954878
8,2.5,0.3,2.15151515151515,-1.02380343175674
8,2.5,0.3,2.16666666666667,-1.03751572655381
8,2.5,0.3,2.18181818181818,-1.05187405344309
8,2.5,0.3,2.1969696969697,-1.06691360299931
8,2.5,0.3,2.21212121212121,-1.08267219149722
8,2.5,0.3,2.22727272727273,-1.0991907582104
8,2.5,0.3,2.24242424242424,-1.11651395794598
8,2.5,0.3,2.25757575757576,-1.13469086367101
8,2.5,0.3,2.27272727272727,-1.1537757969266
8,2.5,0.3,2.28787878787879,-1.17382930725336
8,2.5,0.3,2.3030303030303,-1.1949193262352
8,2.5,0.3,2.31818181818182,-1.21712252722391
8,2.5,0.3,2.33333333333333,-1.24052592860081
8,2.5,0.3,2.34848484848485,-1.26522878690331
8,2.5,0.3,2.36363636363636,-1.29134483671958
8,2.5,0.3,2.37878787878788,-1.31900494747247
8,2.5,0.3,2.39393939393939,-1.34836028375366
8,2.5,0.3,2.40909090909091,-1.37958607658571
8,2.5,0.3,2.42424242424242,-1.41288613895417
8,2.5,0.3,2.43939393939394,-1.44849829149634
8,2.5,0.3,2.45454545454545,-1.48670090499036
8,2.5,0.3,2.46969696969697,-1.52782081722374
8,2.5,0.3,2.48484848484848,-1.57224294522174
8,2.5,0.3,2.5,-1.6204219921987
8,2.5,0.3,2.51515151515152,-1.67289674443646
8,2.5,0.3,2.53030303030303,-1.73030756842901
8,2.5,0.3,2.54545454545455,-1.79341785300767
8,2.5,0.3,2.56060606060606,-1.86314029041641
8,2.5,0.3,2.57575757575758,-1.94056904117596
8,2.5,0.3,2.59090909090909,-2.02701894937353
8,2.5,0.3,2.60606060606061,-2.1240730040608
8,2.5,0.3,2.62121212121212,-2.23363905389955
8,2.5,0.3,2.63636363636364,-2.35801613973948
8,2.5,0.3,2.65151515151515,-2.49996927683002
8,2.5,0.3,2.66666666666667,-2.66280830402176
8,2.5,0.3,2.68181818181818,-2.85046011704917
8,2.5,0.3,2.6969696969697,-3.06751178138098
8,2.5,0.3,2.71212121212121,-3.31918059984659
8,2.5,0.3,2.72727272727273,-3.61112976192933
8,2.5,0.3,2.74242424242424,-3.94898574794543
8,2.5,0.3,2.75757575757576,-4.33731729557742
8,2.5,0.3,2.77272727272727,-4.77770918136374
8,2.5,0.3,2.78787878787879,-5.26546486161538
8,2.5,0.3,2.8030303030303,-5.78461719715672
8,2.5,0.3,2.81818181818182,-6.3018721422034
8,2.5,0.3,2.83333333333333,-6.76270865007391
8,2.5,0.3,2.84848484848485,-7.09676111868506
8,2.5,0.3,2.86363636363636,-7.23935951614488
8,2.5,0.3,2.87878787878788,-7.16265748436668
8,2.5,0.3,2.89393939393939,-6.89161465482567
8,2.5,0.3,2.90909090909091,-6.48872086876117
8,2.5,0.3,2.92424242424242,-6.02314440922563
8,2.5,0.3,2.93939393939394,-5.54908042413857
8,2.5,0.3,2.95454545454545,-5.10011837215554
8,2.5,0.3,2.96969696969697,-4.6928965531799
8,2.5,0.3,2.98484848484848,-4.33295909029041
8,2.5,0.3,3,-4.01960121434825
8,2.5,0.3,3.01515151515152,-3.74907604258635
8,2.5,0.3,3.03030303030303,-3.5164741705523
8,2.5,0.3,3.04545454545455,-3.31672913567458
8,2.5,0.3,3.06060606060606,-3.14510331917238
8,2.5,0.3,3.07575757575758,-2.99738518907569
8,2.5,0.3,3.09090909090909,-2.86993563376504
8,2.5,0.3,3.10606060606061,-2.75966128476888
8,2.5,0.3,3.12121212121212,-2.66395705738216
8,2.5,0.3,3.13636363636364,-2.58063979219834
8,2.5,0.3,3.15151515151515,-2.50788363949233
8,2.5,0.3,3.16666666666667,-2.44416180022191
8,2.5,0.3,3.18181818181818,-2.38819612012769
8,2.5,0.3,3.1969696969697,-2.33891450722695
8,2.5,0.3,3.21212121212121,-2.29541546659462
8,2.5,0.3,3.22727272727273,-2.25693880990286
8,2.5,0.3,3.24242424242424,-2.22284157775053
8,2.5,0.3,3.25757575757576,-2.19257829132299
8,2.5,0.3,3.27272727272727,-2.16568476457076
8,2.5,0.3,3.28787878787879,-2.14176482817566
8,2.5,0.3,3.3030303030303,-2.12047942800334
8,2.5,0.3,3.31818181818182,-2.10153765810262
8,2.5,0.3,3.33333333333333,-2.08468937052529
8,2.5,0.3,3.34848484848485,-2.06971907223657
8,2.5,0.3,3.36363636363636,-2.05644087490398
8,2.5,0.3,3.37878787878788,-2.04469430831555
8,2.5,0.3,3.39393939393939,-2.03434084441588
8,2.5,0.3,3.40909090909091,-2.02526100807207
8,2.5,0.3,3.42424242424242,-2.01735197405699
8,2.5,0.3,3.43939393939394,-2.01052556849141
8,2.5,0.3,3.45454545454545,-2.00470660803775
8,2.5,0.3,3.46969696969697,-1.99983152222362
8,2.5,0.3,3.48484848484848,-1.99584721398412
8,2.5,0.3,3.5,-1.99271012131958
