"$R [mm]","$s [mm]","$tracewidth [mm]","Freq [GHz]","dB(S(1,1)) []"
8,2.5,0.3,2,-0.915793391800413
8,2.5,0.3,2.02040816326531,-0.92744760511484
8,2.5,0.3,2.04081632653061,-0.940009476783298
8,2.5,0.3,2.06122448979592,-0.953464236526921
8,2.5,0.3,2.08163265306122,-0.967812286405914
8,2.5,0.3,2.10204081632653,-0.98306875802527
8,2.5,0.3,2.12244897959184,-0.999263075921323
8,2.5,0.3,2.14285714285714,-1.01643858047887
8,2.5,0.3,2.16326530612245,-1.03465227268828
8,2.5,0.3,2.18367346938776,-1.05397475313042
8,2.5,0.3,2.20408163265306,-1.07449043918107
8,2.5,0.3,2.22448979591837,-1.09629815817226
8,2.5,0.3,2.24489795918367,-1.11951223103426
8,2.5,0.3,2.26530612244898,-1.14426418204532
8,2.5,0.3,2.28571428571429,-1.17070523751374
8,2.5,0.3,2.30612244897959,-1.19900981195619
8,2.5,0.3,2.3265306122449,-1.22938022796175
8,2.5,0.3,2.3469387755102,-1.2620529800015
8,2.5,0.3,2.36734693877551,-1.29730693916681
8,2.5,0.3,2.38775510204082,-1.33547401365203
8,2.5,0.3,2.40816326530612,-1.37695294025648
8,2.5,0.3,2.42857142857143,-1.42222710091211
8,2.5,0.3,2.44897959183673,-1.47188755634741
8,2.5,0.3,2.46938775510204,-1.52666289451702
8,2.5,0.3,2.48979591836735,-1.58745804055812
8,2.5,0.3,2.51020408163265,-1.65540491196081
8,2.5,0.3,2.53061224489796,-1.73192877513124
8,2.5,0.3,2.55102040816327,-1.81883540375511
8,2.5,0.3,2.57142857142857,-1.91842563894609
8,2.5,0.3,2.59183673469388,-2.03364553695057
8,2.5,0.3,2.61224489795918,-2.16828140716822
8,2.5,0.3,2.63265306122449,-2.32720822407619
8,2.5,0.3,2.6530612244898,-2.51669359909927
8,2.5,0.3,2.6734693877551,-2.74473959777618
8,2.5,0.3,2.69387755102041,-3.02139324633884
8,2.5,0.3,2.71428571428571,-3.35883558871729
8,2.5,0.3,2.73469387755102,-3.77079313627352
8,2.5,0.3,2.75510204081633,-4.27027363858462
8,2.5,0.3,2.77551020408163,-4.8636646866776
8,2.5,0.3,2.79591836734694,-5.53806644867949
8,2.5,0.3,2.81632653061224,-6.23955462479204
8,2.5,0.3,2.83673469387755,-6.85067200780863
8,2.5,0.3,2.85714285714286,-7.20422880227181
8,2.5,0.3,2.87755102040816,-7.17678362606611
8,2.5,0.3,2.89795918367347,-6.79475533710702
8,2.5,0.3,2.91836734693878,-6.20730821715327
8,2.5,0.3,2.93877551020408,-5.56797946787275
8,2.5,0.3,2.95918367346939,-4.97022618749136
8,2.5,0.3,2.97959183673469,-4.45200319126676
8,2.5,0.3,3,-4.01953207215177
