frequency_hz,power_dbm
2.000000000000000000e+09,-4.302400000000000091e+01
2.001000000000000000e+09,-4.342600000000000193e+01
2.002000000000000000e+09,-4.297699999999999676e+01
2.003000000000000000e+09,-4.424799999999999756e+01
2.004000000000000000e+09,-4.295199999999999818e+01
2.005000000000000000e+09,-4.295600000000000307e+01
2.006000000000000000e+09,-4.399199999999999733e+01
2.007000000000000000e+09,-4.337899999999999778e+01
2.008000000000000000e+09,-4.277400000000000091e+01
2.009000000000000000e+09,-4.366599999999999682e+01
2.010000000000000000e+09,-4.284100000000000108e+01
2.011000000000000000e+09,-4.409499999999999886e+01
2.012000000000000000e+09,-4.375000000000000000e+01
2.013000000000000000e+09,-4.405799999999999983e+01
2.014000000000000000e+09,-4.282699999999999818e+01
2.015000000000000000e+09,-4.235000000000000142e+01
2.016000000000000000e+09,-4.344700000000000273e+01
2.017000000000000000e+09,-4.361899999999999977e+01
2.018000000000000000e+09,-4.361299999999999955e+01
2.019000000000000000e+09,-4.369400000000000261e+01
2.020000000000000000e+09,-4.282200000000000273e+01
2.021000000000000000e+09,-4.279200000000000159e+01
2.022000000000000000e+09,-4.341799999999999926e+01
2.023000000000000000e+09,-4.220400000000000063e+01
2.024000000000000000e+09,-4.200099999999999767e+01
2.025000000000000000e+09,-4.391299999999999670e+01
2.026000000000000000e+09,-4.315899999999999892e+01
2.027000000000000000e+09,-4.096999999999999886e+01
2.028000000000000000e+09,-4.338000000000000256e+01
2.029000000000000000e+09,-4.388799999999999812e+01
2.030000000000000000e+09,-4.350699999999999790e+01
2.031000000000000000e+09,-4.386899999999999977e+01
2.032000000000000000e+09,-4.346000000000000085e+01
2.033000000000000000e+09,-4.106799999999999784e+01
2.034000000000000000e+09,-4.242199999999999704e+01
2.035000000000000000e+09,-4.284700000000000131e+01
2.036000000000000000e+09,-4.330799999999999983e+01
2.037000000000000000e+09,-4.272500000000000142e+01
2.038000000000000000e+09,-4.245000000000000284e+01
2.039000000000000000e+09,-4.415599999999999881e+01
2.040000000000000000e+09,-4.169299999999999784e+01
2.041000000000000000e+09,-4.372599999999999909e+01
2.042000000000000000e+09,-4.179399999999999693e+01
2.043000000000000000e+09,-4.309899999999999665e+01
2.044000000000000000e+09,-4.240699999999999648e+01
2.045000000000000000e+09,-4.089999999999999858e+01
2.046000000000000000e+09,-4.403099999999999881e+01
2.047000000000000000e+09,-4.226500000000000057e+01
2.048000000000000000e+09,-4.230899999999999750e+01
