frequency_hz,power_dbm
2.000000000000000000e+09,-4.968800000000000239e+01
2.001000000000000000e+09,-4.820400000000000063e+01
2.002000000000000000e+09,-4.978999999999999915e+01
2.003000000000000000e+09,-5.099300000000000210e+01
2.004000000000000000e+09,-4.997800000000000153e+01
2.005000000000000000e+09,-4.921900000000000119e+01
2.006000000000000000e+09,-5.005799999999999983e+01
2.007000000000000000e+09,-4.879500000000000171e+01
2.008000000000000000e+09,-4.720799999999999841e+01
2.009000000000000000e+09,-4.596399999999999864e+01
2.010000000000000000e+09,-4.878900000000000148e+01
2.011000000000000000e+09,-4.789600000000000080e+01
2.012000000000000000e+09,-4.968099999999999739e+01
2.013000000000000000e+09,-5.051200000000000045e+01
2.014000000000000000e+09,-4.817600000000000193e+01
2.015000000000000000e+09,-5.045600000000000307e+01
2.016000000000000000e+09,-4.851500000000000057e+01
2.017000000000000000e+09,-4.863100000000000023e+01
2.018000000000000000e+09,-4.829699999999999704e+01
2.019000000000000000e+09,-4.804299999999999926e+01
2.020000000000000000e+09,-4.777700000000000102e+01
2.021000000000000000e+09,-4.979899999999999949e+01
2.022000000000000000e+09,-4.872200000000000131e+01
2.023000000000000000e+09,-4.761899999999999977e+01
2.024000000000000000e+09,-5.024000000000000199e+01
2.025000000000000000e+09,-5.098599999999999710e+01
2.026000000000000000e+09,-4.904800000000000182e+01
2.027000000000000000e+09,-4.829500000000000171e+01
2.028000000000000000e+09,-4.668999999999999773e+01
2.029000000000000000e+09,-4.804299999999999926e+01
2.030000000000000000e+09,-4.674799999999999756e+01
2.031000000000000000e+09,-4.926800000000000068e+01
2.032000000000000000e+09,-4.853499999999999659e+01
2.033000000000000000e+09,-4.789699999999999847e+01
2.034000000000000000e+09,-4.846200000000000330e+01
2.035000000000000000e+09,-4.733700000000000330e+01
2.036000000000000000e+09,-4.870400000000000063e+01
2.037000000000000000e+09,-5.004899999999999949e+01
2.038000000000000000e+09,-4.909100000000000108e+01
2.039000000000000000e+09,-4.919299999999999784e+01
2.040000000000000000e+09,-5.147800000000000153e+01
2.041000000000000000e+09,-5.071300000000000097e+01
2.042000000000000000e+09,-4.975099999999999767e+01
2.043000000000000000e+09,-5.132300000000000040e+01
2.044000000000000000e+09,-4.742600000000000193e+01
2.045000000000000000e+09,-4.908400000000000318e+01
2.046000000000000000e+09,-4.926400000000000290e+01
2.047000000000000000e+09,-5.035300000000000153e+01
2.048000000000000000e+09,-5.101100000000000279e+01
2.049000000000000000e+09,-4.750600000000000023e+01
2.050000000000000000e+09,-4.824399999999999977e+01
2.051000000000000000e+09,-4.850500000000000256e+01
2.052000000000000000e+09,-5.030499999999999972e+01
2.053000000000000000e+09,-5.041899999999999693e+01
2.054000000000000000e+09,-4.835999999999999943e+01
2.055000000000000000e+09,-4.981199999999999761e+01
2.056000000000000000e+09,-4.828699999999999903e+01
2.057000000000000000e+09,-4.967000000000000171e+01
2.058000000000000000e+09,-5.037700000000000244e+01
2.059000000000000000e+09,-5.040100000000000335e+01
2.060000000000000000e+09,-4.945400000000000063e+01
2.061000000000000000e+09,-4.981400000000000006e+01
2.062000000000000000e+09,-4.904299999999999926e+01
2.063000000000000000e+09,-4.712400000000000233e+01
2.064000000000000000e+09,-4.740200000000000102e+01
2.065000000000000000e+09,-4.911999999999999744e+01
2.066000000000000000e+09,-4.920700000000000074e+01
2.067000000000000000e+09,-4.907800000000000296e+01
2.068000000000000000e+09,-4.900399999999999778e+01
2.069000000000000000e+09,-4.806199999999999761e+01
2.070000000000000000e+09,-4.813000000000000256e+01
2.071000000000000000e+09,-4.722099999999999653e+01
2.072000000000000000e+09,-4.866700000000000159e+01
2.073000000000000000e+09,-5.048799999999999955e+01
