frequency_hz,power_dbm
2.000000000000000000e+09,-4.901100000000000279e+01
2.001000000000000000e+09,-4.913600000000000279e+01
2.002000000000000000e+09,-4.782099999999999795e+01
2.003000000000000000e+09,-4.936399999999999721e+01
2.004000000000000000e+09,-4.742699999999999960e+01
2.005000000000000000e+09,-4.835300000000000153e+01
2.006000000000000000e+09,-4.920900000000000318e+01
2.007000000000000000e+09,-4.638700000000000045e+01
2.008000000000000000e+09,-4.963199999999999790e+01
2.009000000000000000e+09,-4.705199999999999960e+01
2.010000000000000000e+09,-4.900300000000000011e+01
2.011000000000000000e+09,-4.908100000000000307e+01
2.012000000000000000e+09,-4.929999999999999716e+01
2.013000000000000000e+09,-4.838400000000000034e+01
2.014000000000000000e+09,-4.892199999999999704e+01
2.015000000000000000e+09,-4.848599999999999710e+01
2.016000000000000000e+09,-4.764300000000000068e+01
2.017000000000000000e+09,-4.725800000000000267e+01
2.018000000000000000e+09,-4.648899999999999721e+01
2.019000000000000000e+09,-4.936500000000000199e+01
2.020000000000000000e+09,-4.883100000000000307e+01
2.021000000000000000e+09,-5.094400000000000261e+01
2.022000000000000000e+09,-4.904899999999999949e+01
2.023000000000000000e+09,-4.847399999999999665e+01
2.024000000000000000e+09,-4.967799999999999727e+01
2.025000000000000000e+09,-4.628199999999999648e+01
2.026000000000000000e+09,-5.001299999999999812e+01
2.027000000000000000e+09,-4.735699999999999932e+01
2.028000000000000000e+09,-4.841199999999999903e+01
2.029000000000000000e+09,-4.872200000000000131e+01
2.030000000000000000e+09,-4.776500000000000057e+01
2.031000000000000000e+09,-5.075000000000000000e+01
2.032000000000000000e+09,-5.089300000000000068e+01
2.033000000000000000e+09,-5.039999999999999858e+01
2.034000000000000000e+09,-4.700000000000000000e+01
2.035000000000000000e+09,-4.847999999999999687e+01
2.036000000000000000e+09,-4.882099999999999795e+01
2.037000000000000000e+09,-4.964300000000000068e+01
2.038000000000000000e+09,-4.835099999999999909e+01
2.039000000000000000e+09,-4.817699999999999960e+01
2.040000000000000000e+09,-4.968800000000000239e+01
2.041000000000000000e+09,-4.872599999999999909e+01
2.042000000000000000e+09,-4.752499999999999858e+01
2.043000000000000000e+09,-4.868999999999999773e+01
2.044000000000000000e+09,-4.996000000000000085e+01
2.045000000000000000e+09,-4.906400000000000006e+01
2.046000000000000000e+09,-5.056400000000000006e+01
2.047000000000000000e+09,-4.834400000000000119e+01
2.048000000000000000e+09,-4.810799999999999699e+01
2.049000000000000000e+09,-4.848799999999999955e+01
2.050000000000000000e+09,-4.906700000000000017e+01
2.051000000000000000e+09,-4.992099999999999937e+01
2.052000000000000000e+09,-4.803999999999999915e+01
2.053000000000000000e+09,-4.854200000000000159e+01
2.054000000000000000e+09,-4.997099999999999653e+01
2.055000000000000000e+09,-4.789500000000000313e+01
2.056000000000000000e+09,-4.689699999999999847e+01
2.057000000000000000e+09,-5.022099999999999653e+01
2.058000000000000000e+09,-4.811500000000000199e+01
2.059000000000000000e+09,-4.629899999999999949e+01
2.060000000000000000e+09,-4.915200000000000102e+01
2.061000000000000000e+09,-5.027100000000000080e+01
2.062000000000000000e+09,-4.722699999999999676e+01
2.063000000000000000e+09,-5.003900000000000148e+01
2.064000000000000000e+09,-4.917399999999999949e+01
2.065000000000000000e+09,-4.885099999999999909e+01
2.066000000000000000e+09,-4.739399999999999835e+01
2.067000000000000000e+09,-4.767000000000000171e+01
2.068000000000000000e+09,-4.788499999999999801e+01
2.069000000000000000e+09,-4.943999999999999773e+01
2.070000000000000000e+09,-4.971699999999999875e+01
2.071000000000000000e+09,-5.027000000000000313e+01
2.072000000000000000e+09,-5.019899999999999807e+01
2.073000000000000000e+09,-4.776899999999999835e+01
2.074000000000000000e+09,-4.896200000000000330e+01
2.075000000000000000e+09,-5.020000000000000284e+01
2.076000000000000000e+09,-4.858700000000000330e+01
2.077000000000000000e+09,-4.879999999999999716e+01
2.078000000000000000e+09,-4.986899999999999977e+01
2.079000000000000000e+09,-4.916799999999999926e+01
2.080000000000000000e+09,-4.724699999999999989e+01
2.081000000000000000e+09,-4.771800000000000352e+01
2.082000000000000000e+09,-4.959199999999999875e+01
2.083000000000000000e+09,-4.892699999999999960e+01
2.084000000000000000e+09,-4.601200000000000045e+01
2.085000000000000000e+09,-4.861500000000000199e+01
2.086000000000000000e+09,-5.102100000000000080e+01
2.087000000000000000e+09,-4.760999999999999943e+01
2.088000000000000000e+09,-5.004500000000000171e+01
2.089000000000000000e+09,-4.877499999999999858e+01
2.090000000000000000e+09,-4.850300000000000011e+01
2.091000000000000000e+09,-4.768399999999999750e+01
2.092000000000000000e+09,-4.999399999999999977e+01
2.093000000000000000e+09,-4.854599999999999937e+01
2.094000000000000000e+09,-4.780100000000000193e+01
2.095000000000000000e+09,-4.782600000000000051e+01
2.096000000000000000e+09,-4.888199999999999790e+01
2.097000000000000000e+09,-4.871399999999999864e+01
2.098000000000000000e+09,-4.772899999999999920e+01
2.099000000000000000e+09,-4.913700000000000045e+01
2.100000000000000000e+09,-4.953699999999999903e+01
2.101000000000000000e+09,-4.906600000000000250e+01
2.102000000000000000e+09,-4.987199999999999989e+01
2.103000000000000000e+09,-4.971099999999999852e+01
2.104000000000000000e+09,-4.823799999999999955e+01
2.105000000000000000e+09,-4.838799999999999812e+01
2.106000000000000000e+09,-4.944700000000000273e+01
2.107000000000000000e+09,-5.092900000000000205e+01
2.108000000000000000e+09,-5.107900000000000063e+01
2.109000000000000000e+09,-5.090599999999999881e+01
2.110000000000000000e+09,-4.799099999999999966e+01
2.111000000000000000e+09,-4.768699999999999761e+01
2.112000000000000000e+09,-5.042900000000000205e+01
2.113000000000000000e+09,-4.820600000000000307e+01
2.114000000000000000e+09,-4.780700000000000216e+01
2.115000000000000000e+09,-5.006600000000000250e+01
2.116000000000000000e+09,-4.950900000000000034e+01
2.117000000000000000e+09,-5.029500000000000171e+01
2.118000000000000000e+09,-5.003199999999999648e+01
2.119000000000000000e+09,-4.821399999999999864e+01
2.120000000000000000e+09,-4.860399999999999920e+01
2.121000000000000000e+09,-4.863199999999999790e+01
2.122000000000000000e+09,-4.972500000000000142e+01
2.123000000000000000e+09,-5.021500000000000341e+01
2.124000000000000000e+09,-4.643999999999999773e+01
2.125000000000000000e+09,-4.851299999999999812e+01
2.126000000000000000e+09,-4.796900000000000119e+01
2.127000000000000000e+09,-4.715200000000000102e+01
2.128000000000000000e+09,-4.622500000000000142e+01
2.129000000000000000e+09,-4.987400000000000233e+01
2.130000000000000000e+09,-4.886999999999999744e+01
2.131000000000000000e+09,-4.749099999999999966e+01
2.132000000000000000e+09,-5.123400000000000176e+01
2.133000000000000000e+09,-4.868299999999999983e+01
2.134000000000000000e+09,-4.913199999999999790e+01
2.135000000000000000e+09,-4.772299999999999898e+01
2.136000000000000000e+09,-4.865100000000000335e+01
2.137000000000000000e+09,-4.921200000000000330e+01
2.138000000000000000e+09,-4.902300000000000324e+01
2.139000000000000000e+09,-4.813199999999999790e+01
2.140000000000000000e+09,-4.878000000000000114e+01
2.141000000000000000e+09,-4.717099999999999937e+01
2.142000000000000000e+09,-5.131900000000000261e+01
2.143000000000000000e+09,-4.872500000000000142e+01
2.144000000000000000e+09,-4.807000000000000028e+01
2.145000000000000000e+09,-4.940599999999999881e+01
2.146000000000000000e+09,-4.679899999999999949e+01
2.147000000000000000e+09,-4.976400000000000290e+01
2.148000000000000000e+09,-4.777400000000000091e+01
2.149000000000000000e+09,-4.969599999999999795e+01
2.150000000000000000e+09,-4.628699999999999903e+01
2.151000000000000000e+09,-4.805700000000000216e+01
2.152000000000000000e+09,-5.038799999999999812e+01
2.153000000000000000e+09,-4.652499999999999858e+01
2.154000000000000000e+09,-4.558400000000000318e+01
2.155000000000000000e+09,-4.718200000000000216e+01
2.156000000000000000e+09,-4.945900000000000318e+01
2.157000000000000000e+09,-4.798599999999999710e+01
2.158000000000000000e+09,-4.755499999999999972e+01
2.159000000000000000e+09,-4.926899999999999835e+01
2.160000000000000000e+09,-4.748599999999999710e+01
2.161000000000000000e+09,-4.781499999999999773e+01
2.162000000000000000e+09,-4.696800000000000352e+01
2.163000000000000000e+09,-4.988900000000000290e+01
2.164000000000000000e+09,-4.905100000000000193e+01
2.165000000000000000e+09,-4.943999999999999773e+01
2.166000000000000000e+09,-5.070799999999999841e+01
2.167000000000000000e+09,-4.864099999999999824e+01
2.168000000000000000e+09,-4.681600000000000250e+01
2.169000000000000000e+09,-4.905199999999999960e+01
2.170000000000000000e+09,-4.828300000000000125e+01
2.171000000000000000e+09,-4.889000000000000057e+01
2.172000000000000000e+09,-4.893200000000000216e+01
2.173000000000000000e+09,-4.799900000000000233e+01
2.174000000000000000e+09,-4.778399999999999892e+01
2.175000000000000000e+09,-5.008800000000000097e+01
2.176000000000000000e+09,-4.833800000000000097e+01
2.177000000000000000e+09,-4.810499999999999687e+01
2.178000000000000000e+09,-4.764200000000000301e+01
2.179000000000000000e+09,-4.643299999999999983e+01
2.180000000000000000e+09,-4.937700000000000244e+01
2.181000000000000000e+09,-4.774099999999999966e+01
2.182000000000000000e+09,-4.560699999999999932e+01
