frequency_hz,power_dbm
2.500000000000000000e+09,-4.428999999999999915e+01
2.501000000000000000e+09,-4.404800000000000182e+01
2.502000000000000000e+09,-4.421399999999999864e+01
2.503000000000000000e+09,-4.422099999999999653e+01
2.504000000000000000e+09,-4.427000000000000313e+01
2.505000000000000000e+09,-4.399199999999999733e+01
2.506000000000000000e+09,-4.420000000000000284e+01
2.507000000000000000e+09,-4.456799999999999784e+01
2.508000000000000000e+09,-4.394899999999999807e+01
2.509000000000000000e+09,-4.392199999999999704e+01
2.510000000000000000e+09,-4.399399999999999977e+01
2.511000000000000000e+09,-4.389500000000000313e+01
2.512000000000000000e+09,-4.360799999999999699e+01
2.513000000000000000e+09,-4.382900000000000063e+01
2.514000000000000000e+09,-4.341700000000000159e+01
2.515000000000000000e+09,-4.329699999999999704e+01
2.516000000000000000e+09,-4.313600000000000279e+01
2.517000000000000000e+09,-4.362199999999999989e+01
2.518000000000000000e+09,-4.426100000000000279e+01
2.519000000000000000e+09,-4.317199999999999704e+01
2.520000000000000000e+09,-4.366599999999999682e+01
2.521000000000000000e+09,-4.334100000000000108e+01
2.522000000000000000e+09,-4.341100000000000136e+01
2.523000000000000000e+09,-4.377300000000000324e+01
2.524000000000000000e+09,-4.336299999999999955e+01
2.525000000000000000e+09,-4.335099999999999909e+01
2.526000000000000000e+09,-4.321200000000000330e+01
2.527000000000000000e+09,-4.356300000000000239e+01
2.528000000000000000e+09,-4.372500000000000142e+01
2.529000000000000000e+09,-4.379800000000000182e+01
2.530000000000000000e+09,-4.339699999999999847e+01
2.531000000000000000e+09,-4.377400000000000091e+01
2.532000000000000000e+09,-4.371600000000000108e+01
2.533000000000000000e+09,-4.437400000000000233e+01
2.534000000000000000e+09,-4.376299999999999812e+01
2.535000000000000000e+09,-4.338300000000000267e+01
2.536000000000000000e+09,-4.383800000000000097e+01
2.537000000000000000e+09,-4.363900000000000290e+01
2.538000000000000000e+09,-4.459199999999999875e+01
2.539000000000000000e+09,-4.395799999999999841e+01
2.540000000000000000e+09,-4.394299999999999784e+01
2.541000000000000000e+09,-4.380499999999999972e+01
2.542000000000000000e+09,-4.363700000000000045e+01
2.543000000000000000e+09,-4.468999999999999773e+01
2.544000000000000000e+09,-4.419899999999999807e+01
2.545000000000000000e+09,-4.385900000000000176e+01
2.546000000000000000e+09,-4.421500000000000341e+01
2.547000000000000000e+09,-4.396099999999999852e+01
2.548000000000000000e+09,-4.446399999999999864e+01
2.549000000000000000e+09,-4.335900000000000176e+01
2.550000000000000000e+09,-4.371399999999999864e+01
2.551000000000000000e+09,-4.355799999999999983e+01
2.552000000000000000e+09,-4.417699999999999960e+01
2.553000000000000000e+09,-4.443699999999999761e+01
2.554000000000000000e+09,-4.379899999999999949e+01
2.555000000000000000e+09,-4.366700000000000159e+01
2.556000000000000000e+09,-4.386899999999999977e+01
2.557000000000000000e+09,-4.363499999999999801e+01
2.558000000000000000e+09,-4.396699999999999875e+01
2.559000000000000000e+09,-4.334899999999999665e+01
2.560000000000000000e+09,-4.317699999999999960e+01
2.561000000000000000e+09,-4.378499999999999659e+01
2.562000000000000000e+09,-4.374300000000000210e+01
2.563000000000000000e+09,-4.455700000000000216e+01
2.564000000000000000e+09,-4.336599999999999966e+01
2.565000000000000000e+09,-4.379699999999999704e+01
2.566000000000000000e+09,-4.354899999999999949e+01
2.567000000000000000e+09,-4.357300000000000040e+01
2.568000000000000000e+09,-4.403199999999999648e+01
2.569000000000000000e+09,-4.347500000000000142e+01
2.570000000000000000e+09,-4.390899999999999892e+01
2.571000000000000000e+09,-4.387199999999999989e+01
2.572000000000000000e+09,-4.386500000000000199e+01
2.573000000000000000e+09,-4.442399999999999949e+01
2.574000000000000000e+09,-4.385900000000000176e+01
2.575000000000000000e+09,-4.371500000000000341e+01
2.576000000000000000e+09,-4.349300000000000210e+01
2.577000000000000000e+09,-4.335999999999999943e+01
2.578000000000000000e+09,-4.446300000000000097e+01
2.579000000000000000e+09,-4.395000000000000284e+01
2.580000000000000000e+09,-4.373700000000000188e+01
2.581000000000000000e+09,-4.423199999999999932e+01
2.582000000000000000e+09,-4.428699999999999903e+01
2.583000000000000000e+09,-4.457699999999999818e+01
2.584000000000000000e+09,-4.403000000000000114e+01
2.585000000000000000e+09,-4.322899999999999920e+01
2.586000000000000000e+09,-4.370900000000000318e+01
2.587000000000000000e+09,-4.390899999999999892e+01
2.588000000000000000e+09,-4.432000000000000028e+01
2.589000000000000000e+09,-4.389500000000000313e+01
2.590000000000000000e+09,-4.363100000000000023e+01
2.591000000000000000e+09,-4.351899999999999835e+01
2.592000000000000000e+09,-4.325600000000000023e+01
2.593000000000000000e+09,-4.449199999999999733e+01
2.594000000000000000e+09,-4.336500000000000199e+01
2.595000000000000000e+09,-4.363799999999999812e+01
2.596000000000000000e+09,-4.373400000000000176e+01
2.597000000000000000e+09,-4.350099999999999767e+01
2.598000000000000000e+09,-4.413900000000000290e+01
2.599000000000000000e+09,-4.312299999999999756e+01
2.600000000000000000e+09,-4.364800000000000324e+01
2.601000000000000000e+09,-4.331900000000000261e+01
2.602000000000000000e+09,-4.339200000000000301e+01
2.603000000000000000e+09,-4.378499999999999659e+01
2.604000000000000000e+09,-4.334400000000000119e+01
2.605000000000000000e+09,-4.314200000000000301e+01
2.606000000000000000e+09,-4.354200000000000159e+01
2.607000000000000000e+09,-4.355100000000000193e+01
2.608000000000000000e+09,-4.410799999999999699e+01
2.609000000000000000e+09,-4.375300000000000011e+01
2.610000000000000000e+09,-4.346900000000000119e+01
2.611000000000000000e+09,-4.326100000000000279e+01
2.612000000000000000e+09,-4.348700000000000188e+01
2.613000000000000000e+09,-4.442099999999999937e+01
2.614000000000000000e+09,-4.353300000000000125e+01
2.615000000000000000e+09,-4.391799999999999926e+01
