frequency_hz,power_dbm
2.450000000000000000e+09,-6.578099822998046875e+01
2.450250000000000000e+09,-6.596399688720703125e+01
2.450500000000000000e+09,-6.519899749755859375e+01
2.450750000000000000e+09,-6.646299743652343750e+01
2.451000000000000000e+09,-6.523899841308593750e+01
2.451250000000000000e+09,-6.284700012207031250e+01
2.451500000000000000e+09,-6.389599990844726562e+01
2.451750000000000000e+09,-6.246099853515625000e+01
2.452000000000000000e+09,-6.365000152587890625e+01
2.452250000000000000e+09,-6.371300125122070312e+01
2.452500000000000000e+09,-6.299000167846679688e+01
2.452750000000000000e+09,-6.308599853515625000e+01
2.453000000000000000e+09,-6.476000213623046875e+01
2.453250000000000000e+09,-6.435500335693359375e+01
2.453500000000000000e+09,-6.558499908447265625e+01
2.453750000000000000e+09,-6.323500061035156250e+01
2.454000000000000000e+09,-6.651300048828125000e+01
2.454250000000000000e+09,-6.517199707031250000e+01
2.454500000000000000e+09,-6.652300262451171875e+01
2.454750000000000000e+09,-6.597899627685546875e+01
2.455000000000000000e+09,-6.550099945068359375e+01
2.455250000000000000e+09,-6.515899658203125000e+01
2.455500000000000000e+09,-6.425299835205078125e+01
2.455750000000000000e+09,-6.416500091552734375e+01
2.456000000000000000e+09,-6.381200027465820312e+01
2.456250000000000000e+09,-6.513500213623046875e+01
2.456500000000000000e+09,-6.552600097656250000e+01
2.456750000000000000e+09,-6.508499908447265625e+01
2.457000000000000000e+09,-6.361800003051757812e+01
2.457250000000000000e+09,-6.471199798583984375e+01
2.457500000000000000e+09,-6.493299865722656250e+01
2.457750000000000000e+09,-6.577600097656250000e+01
2.458000000000000000e+09,-6.479299926757812500e+01
2.458250000000000000e+09,-6.355400085449218750e+01
2.458500000000000000e+09,-6.394300079345703125e+01
2.458750000000000000e+09,-6.506500244140625000e+01
2.459000000000000000e+09,-6.325999832153320312e+01
2.459250000000000000e+09,-6.383900070190429688e+01
2.459500000000000000e+09,-6.401999664306640625e+01
2.459750000000000000e+09,-6.527799987792968750e+01
2.460000000000000000e+09,-6.355199813842773438e+01
2.460250000000000000e+09,-6.569100189208984375e+01
2.460500000000000000e+09,-6.444699859619140625e+01
2.460750000000000000e+09,-6.373799896240234375e+01
2.461000000000000000e+09,-6.533300018310546875e+01
2.461250000000000000e+09,-6.497000122070312500e+01
2.461500000000000000e+09,-6.631400299072265625e+01
2.461750000000000000e+09,-6.482199859619140625e+01
2.462000000000000000e+09,-6.603500366210937500e+01
2.462250000000000000e+09,-6.321699905395507812e+01
2.462500000000000000e+09,-6.379000091552734375e+01
2.462750000000000000e+09,-6.539199829101562500e+01
2.463000000000000000e+09,-6.576799774169921875e+01
2.463250000000000000e+09,-6.361800003051757812e+01
2.463500000000000000e+09,-6.363700103759765625e+01
2.463750000000000000e+09,-6.421600341796875000e+01
2.464000000000000000e+09,-6.559100341796875000e+01
2.464250000000000000e+09,-6.421199798583984375e+01
2.464500000000000000e+09,-6.751599884033203125e+01
2.464750000000000000e+09,-6.482900238037109375e+01
2.465000000000000000e+09,-6.650900268554687500e+01
2.465250000000000000e+09,-6.482099914550781250e+01
2.465500000000000000e+09,-6.425299835205078125e+01
2.465750000000000000e+09,-6.414099884033203125e+01
