frequency_hz,power_dbm
2.000000000000000000e+09,-3.077499999999999858e+01
2.001000000000000000e+09,-3.125100000000000122e+01
2.002000000000000000e+09,-3.118900000000000006e+01
2.003000000000000000e+09,-3.146600000000000108e+01
2.004000000000000000e+09,-3.262800000000000011e+01
2.005000000000000000e+09,-3.229299999999999926e+01
2.006000000000000000e+09,-3.244500000000000028e+01
2.007000000000000000e+09,-3.298199999999999932e+01
2.008000000000000000e+09,-3.273199999999999932e+01
2.009000000000000000e+09,-3.339800000000000324e+01
2.010000000000000000e+09,-3.334799999999999898e+01
2.011000000000000000e+09,-3.408400000000000318e+01
2.012000000000000000e+09,-3.340899999999999892e+01
2.013000000000000000e+09,-3.335399999999999920e+01
2.014000000000000000e+09,-3.360600000000000165e+01
2.015000000000000000e+09,-3.369100000000000250e+01
2.016000000000000000e+09,-3.316799999999999926e+01
2.017000000000000000e+09,-3.340100000000000335e+01
2.018000000000000000e+09,-3.296699999999999875e+01
2.019000000000000000e+09,-3.298899999999999721e+01
2.020000000000000000e+09,-3.211200000000000188e+01
2.021000000000000000e+09,-3.228000000000000114e+01
2.022000000000000000e+09,-3.183899999999999864e+01
2.023000000000000000e+09,-3.128699999999999903e+01
2.024000000000000000e+09,-3.116300000000000026e+01
2.025000000000000000e+09,-3.024299999999999855e+01
2.026000000000000000e+09,-3.002799999999999869e+01
2.027000000000000000e+09,-2.865700000000000003e+01
2.028000000000000000e+09,-2.838299999999999912e+01
2.029000000000000000e+09,-2.789999999999999858e+01
2.030000000000000000e+09,-2.732400000000000162e+01
2.031000000000000000e+09,-2.745200000000000173e+01
2.032000000000000000e+09,-2.690500000000000114e+01
2.033000000000000000e+09,-2.666900000000000048e+01
2.034000000000000000e+09,-2.683800000000000097e+01
2.035000000000000000e+09,-2.746699999999999875e+01
2.036000000000000000e+09,-2.771099999999999852e+01
2.037000000000000000e+09,-2.803200000000000003e+01
2.038000000000000000e+09,-2.853900000000000148e+01
2.039000000000000000e+09,-2.893799999999999883e+01
2.040000000000000000e+09,-2.949099999999999966e+01
2.041000000000000000e+09,-3.011499999999999844e+01
2.042000000000000000e+09,-3.011299999999999955e+01
2.043000000000000000e+09,-3.035200000000000031e+01
2.044000000000000000e+09,-3.111499999999999844e+01
2.045000000000000000e+09,-3.128300000000000125e+01
2.046000000000000000e+09,-3.241899999999999693e+01
2.047000000000000000e+09,-3.148900000000000077e+01
2.048000000000000000e+09,-3.166700000000000159e+01
2.049000000000000000e+09,-3.172700000000000031e+01
2.050000000000000000e+09,-3.286999999999999744e+01
2.051000000000000000e+09,-3.185000000000000142e+01
2.052000000000000000e+09,-3.203399999999999892e+01
2.053000000000000000e+09,-3.187600000000000122e+01
2.054000000000000000e+09,-3.108200000000000074e+01
2.055000000000000000e+09,-3.143599999999999994e+01
2.056000000000000000e+09,-3.146499999999999986e+01
2.057000000000000000e+09,-3.109299999999999997e+01
2.058000000000000000e+09,-3.114199999999999946e+01
2.059000000000000000e+09,-3.071999999999999886e+01
2.060000000000000000e+09,-3.009299999999999997e+01
2.061000000000000000e+09,-3.039900000000000091e+01
2.062000000000000000e+09,-2.962699999999999889e+01
2.063000000000000000e+09,-2.893199999999999861e+01
2.064000000000000000e+09,-2.868900000000000006e+01
2.065000000000000000e+09,-2.828600000000000136e+01
2.066000000000000000e+09,-2.860900000000000176e+01
2.067000000000000000e+09,-2.721099999999999852e+01
2.068000000000000000e+09,-2.690800000000000125e+01
2.069000000000000000e+09,-2.597299999999999898e+01
2.070000000000000000e+09,-2.529400000000000048e+01
2.071000000000000000e+09,-2.589099999999999824e+01
2.072000000000000000e+09,-2.488700000000000045e+01
2.073000000000000000e+09,-2.469000000000000128e+01
2.074000000000000000e+09,-2.470899999999999963e+01
2.075000000000000000e+09,-2.482700000000000173e+01
2.076000000000000000e+09,-2.539099999999999824e+01
2.077000000000000000e+09,-2.551000000000000156e+01
2.078000000000000000e+09,-2.605900000000000105e+01
2.079000000000000000e+09,-2.639999999999999858e+01
2.080000000000000000e+09,-2.679100000000000037e+01
2.081000000000000000e+09,-2.765399999999999991e+01
2.082000000000000000e+09,-2.761100000000000065e+01
2.083000000000000000e+09,-2.779299999999999926e+01
2.084000000000000000e+09,-2.822100000000000009e+01
2.085000000000000000e+09,-2.883699999999999974e+01
2.086000000000000000e+09,-2.938500000000000156e+01
2.087000000000000000e+09,-2.910300000000000153e+01
2.088000000000000000e+09,-2.907900000000000063e+01
2.089000000000000000e+09,-2.947899999999999920e+01
2.090000000000000000e+09,-2.903900000000000148e+01
2.091000000000000000e+09,-2.999599999999999866e+01
2.092000000000000000e+09,-2.959499999999999886e+01
2.093000000000000000e+09,-2.965399999999999991e+01
2.094000000000000000e+09,-2.972899999999999920e+01
2.095000000000000000e+09,-2.930199999999999960e+01
2.096000000000000000e+09,-2.996600000000000108e+01
2.097000000000000000e+09,-2.925199999999999889e+01
2.098000000000000000e+09,-2.964999999999999858e+01
2.099000000000000000e+09,-2.897299999999999898e+01
2.100000000000000000e+09,-3.488499999999999801e+01
2.101000000000000000e+09,-2.927100000000000080e+01
2.102000000000000000e+09,-2.821600000000000108e+01
2.103000000000000000e+09,-2.797700000000000031e+01
2.104000000000000000e+09,-2.781400000000000006e+01
2.105000000000000000e+09,-2.697100000000000009e+01
2.106000000000000000e+09,-2.730300000000000082e+01
2.107000000000000000e+09,-2.640399999999999991e+01
2.108000000000000000e+09,-2.589999999999999858e+01
2.109000000000000000e+09,-2.552400000000000091e+01
2.110000000000000000e+09,-2.491799999999999926e+01
2.111000000000000000e+09,-2.526999999999999957e+01
2.112000000000000000e+09,-2.451999999999999957e+01
2.113000000000000000e+09,-2.437999999999999901e+01
2.114000000000000000e+09,-2.401399999999999935e+01
2.115000000000000000e+09,-2.412399999999999878e+01
2.116000000000000000e+09,-2.447500000000000142e+01
2.117000000000000000e+09,-2.396199999999999974e+01
2.118000000000000000e+09,-2.448699999999999832e+01
2.119000000000000000e+09,-2.458899999999999864e+01
2.120000000000000000e+09,-2.491300000000000026e+01
2.121000000000000000e+09,-2.563200000000000145e+01
2.122000000000000000e+09,-2.542299999999999827e+01
2.123000000000000000e+09,-2.595799999999999841e+01
2.124000000000000000e+09,-2.620899999999999963e+01
2.125000000000000000e+09,-2.661599999999999966e+01
2.126000000000000000e+09,-2.724200000000000088e+01
2.127000000000000000e+09,-2.720400000000000063e+01
2.128000000000000000e+09,-2.722599999999999909e+01
2.129000000000000000e+09,-2.757100000000000151e+01
2.130000000000000000e+09,-2.759100000000000108e+01
2.131000000000000000e+09,-2.858599999999999852e+01
2.132000000000000000e+09,-2.785800000000000054e+01
2.133000000000000000e+09,-2.777799999999999869e+01
2.134000000000000000e+09,-2.813100000000000023e+01
2.135000000000000000e+09,-2.796900000000000119e+01
2.136000000000000000e+09,-2.861199999999999832e+01
2.137000000000000000e+09,-2.808200000000000074e+01
2.138000000000000000e+09,-2.811299999999999955e+01
2.139000000000000000e+09,-2.780199999999999960e+01
2.140000000000000000e+09,-2.771600000000000108e+01
2.141000000000000000e+09,-2.801099999999999923e+01
2.142000000000000000e+09,-2.753999999999999915e+01
2.143000000000000000e+09,-2.706099999999999994e+01
2.144000000000000000e+09,-2.681299999999999883e+01
2.145000000000000000e+09,-2.681400000000000006e+01
2.146000000000000000e+09,-2.719399999999999906e+01
2.147000000000000000e+09,-2.647700000000000031e+01
2.148000000000000000e+09,-2.597400000000000020e+01
2.149000000000000000e+09,-2.557100000000000151e+01
2.150000000000000000e+09,-2.584199999999999875e+01
2.151000000000000000e+09,-2.550900000000000034e+01
2.152000000000000000e+09,-2.452899999999999991e+01
2.153000000000000000e+09,-2.454700000000000060e+01
2.154000000000000000e+09,-2.438500000000000156e+01
2.155000000000000000e+09,-2.421900000000000119e+01
2.156000000000000000e+09,-2.455900000000000105e+01
2.157000000000000000e+09,-2.400799999999999912e+01
2.158000000000000000e+09,-2.404500000000000171e+01
2.159000000000000000e+09,-2.403800000000000026e+01
2.160000000000000000e+09,-2.407100000000000151e+01
2.161000000000000000e+09,-2.490200000000000102e+01
2.162000000000000000e+09,-2.471000000000000085e+01
2.163000000000000000e+09,-2.491700000000000159e+01
2.164000000000000000e+09,-2.511499999999999844e+01
2.165000000000000000e+09,-2.533099999999999952e+01
2.166000000000000000e+09,-2.570200000000000173e+01
2.167000000000000000e+09,-2.584299999999999997e+01
2.168000000000000000e+09,-2.588800000000000168e+01
2.169000000000000000e+09,-2.605000000000000071e+01
2.170000000000000000e+09,-2.666700000000000159e+01
2.171000000000000000e+09,-2.717299999999999827e+01
2.172000000000000000e+09,-2.682400000000000162e+01
2.173000000000000000e+09,-2.699899999999999878e+01
2.174000000000000000e+09,-2.718700000000000117e+01
2.175000000000000000e+09,-2.703099999999999881e+01
2.176000000000000000e+09,-2.722599999999999909e+01
2.177000000000000000e+09,-2.731299999999999883e+01
2.178000000000000000e+09,-2.722200000000000131e+01
2.179000000000000000e+09,-2.717800000000000082e+01
2.180000000000000000e+09,-2.699599999999999866e+01
2.181000000000000000e+09,-2.735500000000000043e+01
2.182000000000000000e+09,-2.700199999999999889e+01
2.183000000000000000e+09,-2.671000000000000085e+01
2.184000000000000000e+09,-2.662500000000000000e+01
2.185000000000000000e+09,-2.658500000000000085e+01
2.186000000000000000e+09,-2.664399999999999835e+01
2.187000000000000000e+09,-2.605399999999999849e+01
2.188000000000000000e+09,-2.601399999999999935e+01
2.189000000000000000e+09,-2.566900000000000048e+01
2.190000000000000000e+09,-2.526999999999999957e+01
2.191000000000000000e+09,-2.523100000000000165e+01
2.192000000000000000e+09,-2.486899999999999977e+01
2.193000000000000000e+09,-2.476399999999999935e+01
2.194000000000000000e+09,-2.430900000000000105e+01
2.195000000000000000e+09,-2.432799999999999940e+01
2.196000000000000000e+09,-2.446199999999999974e+01
2.197000000000000000e+09,-2.405300000000000082e+01
2.198000000000000000e+09,-2.400900000000000034e+01
2.199000000000000000e+09,-2.359199999999999875e+01
2.200000000000000000e+09,-2.574899999999999878e+01
2.201000000000000000e+09,-2.430600000000000094e+01
2.202000000000000000e+09,-2.437300000000000111e+01
2.203000000000000000e+09,-2.426800000000000068e+01
2.204000000000000000e+09,-2.431099999999999994e+01
2.205000000000000000e+09,-2.474399999999999977e+01
2.206000000000000000e+09,-2.546600000000000108e+01
2.207000000000000000e+09,-2.529100000000000037e+01
2.208000000000000000e+09,-2.567699999999999960e+01
2.209000000000000000e+09,-2.566700000000000159e+01
2.210000000000000000e+09,-2.552799999999999869e+01
2.211000000000000000e+09,-2.634700000000000131e+01
2.212000000000000000e+09,-2.641499999999999915e+01
2.213000000000000000e+09,-2.657999999999999829e+01
2.214000000000000000e+09,-2.671999999999999886e+01
2.215000000000000000e+09,-2.666400000000000148e+01
2.216000000000000000e+09,-2.706800000000000139e+01
2.217000000000000000e+09,-2.686700000000000088e+01
2.218000000000000000e+09,-2.682700000000000173e+01
2.219000000000000000e+09,-2.693199999999999861e+01
2.220000000000000000e+09,-2.701699999999999946e+01
2.221000000000000000e+09,-2.700199999999999889e+01
2.222000000000000000e+09,-2.704500000000000171e+01
2.223000000000000000e+09,-2.679899999999999949e+01
2.224000000000000000e+09,-2.669800000000000040e+01
2.225000000000000000e+09,-2.662300000000000111e+01
2.226000000000000000e+09,-2.655900000000000105e+01
2.227000000000000000e+09,-2.638899999999999935e+01
2.228000000000000000e+09,-2.580499999999999972e+01
2.229000000000000000e+09,-2.579599999999999937e+01
2.230000000000000000e+09,-2.569000000000000128e+01
2.231000000000000000e+09,-2.583999999999999986e+01
2.232000000000000000e+09,-2.512800000000000011e+01
2.233000000000000000e+09,-2.498300000000000054e+01
2.234000000000000000e+09,-2.482600000000000051e+01
2.235000000000000000e+09,-2.465200000000000102e+01
2.236000000000000000e+09,-2.501999999999999957e+01
2.237000000000000000e+09,-2.417299999999999827e+01
2.238000000000000000e+09,-2.393100000000000094e+01
2.239000000000000000e+09,-2.394699999999999918e+01
2.240000000000000000e+09,-2.388299999999999912e+01
2.241000000000000000e+09,-2.418599999999999994e+01
2.242000000000000000e+09,-2.365500000000000114e+01
2.243000000000000000e+09,-2.394200000000000017e+01
2.244000000000000000e+09,-2.409299999999999997e+01
