frequency_hz,power_dbm
2.000000000000000000e+09,-4.883599999999999852e+01
2.001000000000000000e+09,-4.979200000000000159e+01
2.002000000000000000e+09,-4.848799999999999955e+01
2.003000000000000000e+09,-5.056600000000000250e+01
2.004000000000000000e+09,-5.155899999999999750e+01
2.005000000000000000e+09,-4.728900000000000148e+01
2.006000000000000000e+09,-4.856099999999999994e+01
2.007000000000000000e+09,-4.934499999999999886e+01
2.008000000000000000e+09,-4.863000000000000256e+01
2.009000000000000000e+09,-5.087899999999999778e+01
2.010000000000000000e+09,-4.899099999999999966e+01
2.011000000000000000e+09,-4.932000000000000028e+01
2.012000000000000000e+09,-4.667000000000000171e+01
2.013000000000000000e+09,-4.914600000000000080e+01
2.014000000000000000e+09,-4.818399999999999750e+01
2.015000000000000000e+09,-5.135699999999999932e+01
2.016000000000000000e+09,-4.991400000000000148e+01
2.017000000000000000e+09,-4.693999999999999773e+01
2.018000000000000000e+09,-4.732600000000000051e+01
2.019000000000000000e+09,-4.835099999999999909e+01
2.020000000000000000e+09,-4.903600000000000136e+01
2.021000000000000000e+09,-4.921699999999999875e+01
2.022000000000000000e+09,-4.765100000000000335e+01
2.023000000000000000e+09,-4.883899999999999864e+01
2.024000000000000000e+09,-4.735399999999999920e+01
2.025000000000000000e+09,-4.895199999999999818e+01
2.026000000000000000e+09,-4.949099999999999966e+01
2.027000000000000000e+09,-4.993099999999999739e+01
2.028000000000000000e+09,-4.807600000000000051e+01
2.029000000000000000e+09,-4.775500000000000256e+01
2.030000000000000000e+09,-4.823100000000000165e+01
2.031000000000000000e+09,-4.879299999999999926e+01
2.032000000000000000e+09,-4.884799999999999898e+01
2.033000000000000000e+09,-4.818200000000000216e+01
2.034000000000000000e+09,-4.972699999999999676e+01
2.035000000000000000e+09,-4.881199999999999761e+01
2.036000000000000000e+09,-4.775300000000000011e+01
2.037000000000000000e+09,-5.064000000000000057e+01
2.038000000000000000e+09,-5.141499999999999915e+01
2.039000000000000000e+09,-4.879500000000000171e+01
2.040000000000000000e+09,-5.030799999999999983e+01
2.041000000000000000e+09,-4.902100000000000080e+01
2.042000000000000000e+09,-4.882000000000000028e+01
2.043000000000000000e+09,-4.999399999999999977e+01
2.044000000000000000e+09,-5.157000000000000028e+01
2.045000000000000000e+09,-4.839500000000000313e+01
2.046000000000000000e+09,-4.959199999999999875e+01
2.047000000000000000e+09,-4.877900000000000347e+01
2.048000000000000000e+09,-4.608400000000000318e+01
2.049000000000000000e+09,-4.931499999999999773e+01
2.050000000000000000e+09,-4.747899999999999920e+01
2.051000000000000000e+09,-4.881199999999999761e+01
2.052000000000000000e+09,-4.586999999999999744e+01
2.053000000000000000e+09,-4.895300000000000296e+01
2.054000000000000000e+09,-4.910799999999999699e+01
2.055000000000000000e+09,-4.733299999999999841e+01
2.056000000000000000e+09,-5.016700000000000159e+01
2.057000000000000000e+09,-4.901599999999999824e+01
2.058000000000000000e+09,-4.883500000000000085e+01
2.059000000000000000e+09,-4.878300000000000125e+01
2.060000000000000000e+09,-4.881900000000000261e+01
2.061000000000000000e+09,-4.927300000000000324e+01
2.062000000000000000e+09,-4.943999999999999773e+01
2.063000000000000000e+09,-4.792699999999999960e+01
2.064000000000000000e+09,-4.824099999999999966e+01
2.065000000000000000e+09,-4.924199999999999733e+01
2.066000000000000000e+09,-4.808100000000000307e+01
2.067000000000000000e+09,-4.865899999999999892e+01
2.068000000000000000e+09,-4.909100000000000108e+01
2.069000000000000000e+09,-4.825200000000000244e+01
2.070000000000000000e+09,-4.998299999999999699e+01
2.071000000000000000e+09,-5.043999999999999773e+01
2.072000000000000000e+09,-4.859799999999999898e+01
2.073000000000000000e+09,-4.941299999999999670e+01
2.074000000000000000e+09,-4.864000000000000057e+01
2.075000000000000000e+09,-5.098499999999999943e+01
2.076000000000000000e+09,-4.819100000000000250e+01
2.077000000000000000e+09,-4.880700000000000216e+01
2.078000000000000000e+09,-4.875399999999999778e+01
2.079000000000000000e+09,-5.148400000000000176e+01
2.080000000000000000e+09,-4.803000000000000114e+01
2.081000000000000000e+09,-5.184499999999999886e+01
2.082000000000000000e+09,-4.892499999999999716e+01
2.083000000000000000e+09,-4.842399999999999949e+01
2.084000000000000000e+09,-4.843900000000000006e+01
2.085000000000000000e+09,-5.007600000000000051e+01
2.086000000000000000e+09,-4.898899999999999721e+01
2.087000000000000000e+09,-4.899300000000000210e+01
2.088000000000000000e+09,-4.851299999999999812e+01
2.089000000000000000e+09,-4.872500000000000142e+01
2.090000000000000000e+09,-4.744100000000000250e+01
2.091000000000000000e+09,-4.981300000000000239e+01
2.092000000000000000e+09,-5.091400000000000148e+01
2.093000000000000000e+09,-4.976100000000000279e+01
2.094000000000000000e+09,-4.910300000000000153e+01
2.095000000000000000e+09,-5.035999999999999943e+01
2.096000000000000000e+09,-4.888300000000000267e+01
2.097000000000000000e+09,-4.818200000000000216e+01
2.098000000000000000e+09,-4.961500000000000199e+01
2.099000000000000000e+09,-4.964099999999999824e+01
2.100000000000000000e+09,-5.108200000000000074e+01
2.101000000000000000e+09,-5.095199999999999818e+01
2.102000000000000000e+09,-4.757099999999999795e+01
2.103000000000000000e+09,-4.890899999999999892e+01
2.104000000000000000e+09,-4.732999999999999829e+01
2.105000000000000000e+09,-4.667699999999999960e+01
2.106000000000000000e+09,-4.771000000000000085e+01
2.107000000000000000e+09,-4.749699999999999989e+01
2.108000000000000000e+09,-4.796300000000000097e+01
2.109000000000000000e+09,-4.563700000000000045e+01
2.110000000000000000e+09,-5.103000000000000114e+01
2.111000000000000000e+09,-4.729200000000000159e+01
2.112000000000000000e+09,-5.058599999999999852e+01
