frequency_hz,power_dbm
2.000000000000000000e+09,-3.185399999999999920e+01
2.001000000000000000e+09,-3.191900000000000048e+01
2.002000000000000000e+09,-3.145400000000000063e+01
2.003000000000000000e+09,-3.098300000000000054e+01
2.004000000000000000e+09,-3.118599999999999994e+01
2.005000000000000000e+09,-3.029799999999999827e+01
2.006000000000000000e+09,-2.986899999999999977e+01
2.007000000000000000e+09,-2.980699999999999861e+01
2.008000000000000000e+09,-2.914399999999999835e+01
2.009000000000000000e+09,-2.921099999999999852e+01
2.010000000000000000e+09,-2.828999999999999915e+01
2.011000000000000000e+09,-2.751800000000000068e+01
2.012000000000000000e+09,-2.730999999999999872e+01
2.013000000000000000e+09,-2.664699999999999847e+01
2.014000000000000000e+09,-2.605199999999999960e+01
2.015000000000000000e+09,-2.609499999999999886e+01
2.016000000000000000e+09,-2.586199999999999832e+01
2.017000000000000000e+09,-2.583099999999999952e+01
2.018000000000000000e+09,-2.618299999999999983e+01
2.019000000000000000e+09,-2.685699999999999932e+01
2.020000000000000000e+09,-2.732799999999999940e+01
2.021000000000000000e+09,-2.795200000000000173e+01
2.022000000000000000e+09,-2.770200000000000173e+01
2.023000000000000000e+09,-2.855699999999999861e+01
2.024000000000000000e+09,-2.902400000000000091e+01
2.025000000000000000e+09,-2.973000000000000043e+01
2.026000000000000000e+09,-3.005699999999999861e+01
2.027000000000000000e+09,-2.935300000000000153e+01
2.028000000000000000e+09,-3.071499999999999986e+01
2.029000000000000000e+09,-3.097899999999999920e+01
2.030000000000000000e+09,-3.089099999999999824e+01
2.031000000000000000e+09,-3.167000000000000171e+01
2.032000000000000000e+09,-3.124500000000000099e+01
2.033000000000000000e+09,-3.119099999999999895e+01
2.034000000000000000e+09,-3.137800000000000011e+01
2.035000000000000000e+09,-3.140099999999999980e+01
2.036000000000000000e+09,-3.162900000000000134e+01
2.037000000000000000e+09,-3.083299999999999841e+01
2.038000000000000000e+09,-3.116000000000000014e+01
2.039000000000000000e+09,-3.091799999999999926e+01
2.040000000000000000e+09,-3.073699999999999832e+01
2.041000000000000000e+09,-3.082700000000000173e+01
2.042000000000000000e+09,-3.035099999999999909e+01
2.043000000000000000e+09,-2.992999999999999972e+01
2.044000000000000000e+09,-2.943700000000000117e+01
2.045000000000000000e+09,-2.896699999999999875e+01
2.046000000000000000e+09,-2.954500000000000171e+01
2.047000000000000000e+09,-2.828099999999999881e+01
2.048000000000000000e+09,-2.787399999999999878e+01
2.049000000000000000e+09,-2.731099999999999994e+01
2.050000000000000000e+09,-2.734299999999999997e+01
2.051000000000000000e+09,-2.653399999999999892e+01
2.052000000000000000e+09,-2.548499999999999943e+01
2.053000000000000000e+09,-2.491000000000000014e+01
2.054000000000000000e+09,-2.453300000000000125e+01
2.055000000000000000e+09,-2.417000000000000171e+01
2.056000000000000000e+09,-2.442099999999999937e+01
2.057000000000000000e+09,-2.398799999999999955e+01
2.058000000000000000e+09,-2.416400000000000148e+01
2.059000000000000000e+09,-2.432600000000000051e+01
2.060000000000000000e+09,-2.466100000000000136e+01
2.061000000000000000e+09,-2.555799999999999983e+01
2.062000000000000000e+09,-2.542299999999999827e+01
2.063000000000000000e+09,-2.582799999999999940e+01
2.064000000000000000e+09,-2.641900000000000048e+01
2.065000000000000000e+09,-2.669600000000000151e+01
2.066000000000000000e+09,-2.741700000000000159e+01
2.067000000000000000e+09,-2.761199999999999832e+01
2.068000000000000000e+09,-2.774299999999999855e+01
2.069000000000000000e+09,-2.789999999999999858e+01
2.070000000000000000e+09,-2.778999999999999915e+01
2.071000000000000000e+09,-2.874599999999999866e+01
2.072000000000000000e+09,-2.848000000000000043e+01
2.073000000000000000e+09,-2.863700000000000045e+01
2.074000000000000000e+09,-2.838500000000000156e+01
2.075000000000000000e+09,-2.881200000000000117e+01
2.076000000000000000e+09,-2.870299999999999940e+01
2.077000000000000000e+09,-2.839600000000000080e+01
2.078000000000000000e+09,-2.863800000000000168e+01
2.079000000000000000e+09,-2.861400000000000077e+01
2.080000000000000000e+09,-2.837500000000000000e+01
2.081000000000000000e+09,-2.867200000000000060e+01
2.082000000000000000e+09,-2.758200000000000074e+01
2.083000000000000000e+09,-2.768599999999999994e+01
2.084000000000000000e+09,-2.746399999999999864e+01
2.085000000000000000e+09,-2.710099999999999909e+01
2.086000000000000000e+09,-2.704700000000000060e+01
2.087000000000000000e+09,-2.645899999999999963e+01
2.088000000000000000e+09,-2.609400000000000119e+01
2.089000000000000000e+09,-2.569200000000000017e+01
2.090000000000000000e+09,-2.507900000000000063e+01
2.091000000000000000e+09,-2.508200000000000074e+01
2.092000000000000000e+09,-2.407700000000000173e+01
2.093000000000000000e+09,-2.398300000000000054e+01
2.094000000000000000e+09,-2.359100000000000108e+01
2.095000000000000000e+09,-2.309700000000000131e+01
2.096000000000000000e+09,-2.338299999999999912e+01
2.097000000000000000e+09,-2.274500000000000099e+01
2.098000000000000000e+09,-2.280099999999999838e+01
2.099000000000000000e+09,-2.302499999999999858e+01
2.100000000000000000e+09,-2.312999999999999901e+01
2.101000000000000000e+09,-2.356899999999999906e+01
2.102000000000000000e+09,-2.366900000000000048e+01
2.103000000000000000e+09,-2.409499999999999886e+01
2.104000000000000000e+09,-2.430900000000000105e+01
2.105000000000000000e+09,-2.475600000000000023e+01
2.106000000000000000e+09,-2.520700000000000074e+01
2.107000000000000000e+09,-2.526399999999999935e+01
2.108000000000000000e+09,-2.582199999999999918e+01
2.109000000000000000e+09,-2.590200000000000102e+01
2.110000000000000000e+09,-2.595700000000000074e+01
2.111000000000000000e+09,-2.637300000000000111e+01
2.112000000000000000e+09,-2.650000000000000000e+01
2.113000000000000000e+09,-2.656299999999999883e+01
2.114000000000000000e+09,-2.686499999999999844e+01
2.115000000000000000e+09,-2.673499999999999943e+01
2.116000000000000000e+09,-2.742699999999999960e+01
2.117000000000000000e+09,-2.696900000000000119e+01
2.118000000000000000e+09,-2.699399999999999977e+01
2.119000000000000000e+09,-2.689000000000000057e+01
2.120000000000000000e+09,-2.638200000000000145e+01
2.121000000000000000e+09,-2.707999999999999829e+01
2.122000000000000000e+09,-2.657999999999999829e+01
2.123000000000000000e+09,-2.654299999999999926e+01
2.124000000000000000e+09,-2.614900000000000091e+01
2.125000000000000000e+09,-2.625300000000000011e+01
2.126000000000000000e+09,-2.624800000000000111e+01
2.127000000000000000e+09,-2.502299999999999969e+01
2.128000000000000000e+09,-2.518900000000000006e+01
2.129000000000000000e+09,-2.503500000000000014e+01
2.130000000000000000e+09,-2.471399999999999864e+01
2.131000000000000000e+09,-2.484700000000000131e+01
2.132000000000000000e+09,-2.366400000000000148e+01
2.133000000000000000e+09,-2.354200000000000159e+01
2.134000000000000000e+09,-2.317899999999999849e+01
2.135000000000000000e+09,-2.294099999999999895e+01
2.136000000000000000e+09,-2.313800000000000168e+01
2.137000000000000000e+09,-2.253900000000000148e+01
2.138000000000000000e+09,-2.221499999999999986e+01
2.139000000000000000e+09,-2.245200000000000173e+01
2.140000000000000000e+09,-2.241700000000000159e+01
2.141000000000000000e+09,-2.310999999999999943e+01
2.142000000000000000e+09,-2.285999999999999943e+01
2.143000000000000000e+09,-2.307300000000000040e+01
2.144000000000000000e+09,-2.321000000000000085e+01
2.145000000000000000e+09,-2.327100000000000080e+01
2.146000000000000000e+09,-2.437399999999999878e+01
2.147000000000000000e+09,-2.400799999999999912e+01
2.148000000000000000e+09,-2.435200000000000031e+01
2.149000000000000000e+09,-2.484700000000000131e+01
2.150000000000000000e+09,-2.586400000000000077e+01
2.151000000000000000e+09,-2.589699999999999847e+01
2.152000000000000000e+09,-2.557900000000000063e+01
2.153000000000000000e+09,-2.573699999999999832e+01
2.154000000000000000e+09,-2.582600000000000051e+01
2.155000000000000000e+09,-2.610099999999999909e+01
2.156000000000000000e+09,-2.661599999999999966e+01
2.157000000000000000e+09,-2.591900000000000048e+01
2.158000000000000000e+09,-2.656400000000000006e+01
2.159000000000000000e+09,-2.599800000000000111e+01
2.160000000000000000e+09,-2.609199999999999875e+01
2.161000000000000000e+09,-2.643799999999999883e+01
2.162000000000000000e+09,-2.600100000000000122e+01
2.163000000000000000e+09,-2.587999999999999901e+01
2.164000000000000000e+09,-2.590299999999999869e+01
2.165000000000000000e+09,-2.591900000000000048e+01
2.166000000000000000e+09,-2.598499999999999943e+01
2.167000000000000000e+09,-2.538899999999999935e+01
2.168000000000000000e+09,-2.508599999999999852e+01
2.169000000000000000e+09,-2.498900000000000077e+01
2.170000000000000000e+09,-2.449200000000000088e+01
2.171000000000000000e+09,-2.466600000000000037e+01
2.172000000000000000e+09,-2.378900000000000148e+01
2.173000000000000000e+09,-2.338200000000000145e+01
2.174000000000000000e+09,-2.348999999999999844e+01
2.175000000000000000e+09,-2.311799999999999855e+01
2.176000000000000000e+09,-2.317500000000000071e+01
2.177000000000000000e+09,-2.270100000000000051e+01
2.178000000000000000e+09,-2.239199999999999946e+01
2.179000000000000000e+09,-2.246399999999999864e+01
2.180000000000000000e+09,-2.237099999999999866e+01
2.181000000000000000e+09,-2.253500000000000014e+01
2.182000000000000000e+09,-2.214900000000000091e+01
2.183000000000000000e+09,-2.245599999999999952e+01
2.184000000000000000e+09,-2.254599999999999937e+01
2.185000000000000000e+09,-2.273199999999999932e+01
2.186000000000000000e+09,-2.328399999999999892e+01
2.187000000000000000e+09,-2.312300000000000111e+01
2.188000000000000000e+09,-2.348499999999999943e+01
2.189000000000000000e+09,-2.383899999999999864e+01
2.190000000000000000e+09,-2.390299999999999869e+01
2.191000000000000000e+09,-2.460900000000000176e+01
2.192000000000000000e+09,-2.469500000000000028e+01
2.193000000000000000e+09,-2.461299999999999955e+01
2.194000000000000000e+09,-2.491100000000000136e+01
2.195000000000000000e+09,-2.521900000000000119e+01
2.196000000000000000e+09,-2.562000000000000099e+01
2.197000000000000000e+09,-2.567999999999999972e+01
2.198000000000000000e+09,-2.558200000000000074e+01
2.199000000000000000e+09,-2.564499999999999957e+01
2.200000000000000000e+09,-2.687800000000000011e+01
2.201000000000000000e+09,-2.627799999999999869e+01
2.202000000000000000e+09,-2.596199999999999974e+01
2.203000000000000000e+09,-2.576999999999999957e+01
2.204000000000000000e+09,-2.557999999999999829e+01
2.205000000000000000e+09,-2.551599999999999824e+01
2.206000000000000000e+09,-2.607199999999999918e+01
2.207000000000000000e+09,-2.561100000000000065e+01
2.208000000000000000e+09,-2.532400000000000162e+01
2.209000000000000000e+09,-2.520799999999999841e+01
2.210000000000000000e+09,-2.506899999999999906e+01
2.211000000000000000e+09,-2.510099999999999909e+01
2.212000000000000000e+09,-2.450199999999999889e+01
2.213000000000000000e+09,-2.465899999999999892e+01
2.214000000000000000e+09,-2.400600000000000023e+01
2.215000000000000000e+09,-2.374200000000000088e+01
2.216000000000000000e+09,-2.409799999999999898e+01
2.217000000000000000e+09,-2.336299999999999955e+01
2.218000000000000000e+09,-2.314399999999999835e+01
2.219000000000000000e+09,-2.290200000000000102e+01
2.220000000000000000e+09,-2.273699999999999832e+01
2.221000000000000000e+09,-2.314399999999999835e+01
2.222000000000000000e+09,-2.255399999999999849e+01
2.223000000000000000e+09,-2.257199999999999918e+01
2.224000000000000000e+09,-2.251899999999999835e+01
2.225000000000000000e+09,-2.235300000000000153e+01
2.226000000000000000e+09,-2.279400000000000048e+01
2.227000000000000000e+09,-2.266199999999999903e+01
2.228000000000000000e+09,-2.289199999999999946e+01
2.229000000000000000e+09,-2.309700000000000131e+01
2.230000000000000000e+09,-2.311400000000000077e+01
2.231000000000000000e+09,-2.380499999999999972e+01
2.232000000000000000e+09,-2.365700000000000003e+01
2.233000000000000000e+09,-2.373999999999999844e+01
2.234000000000000000e+09,-2.371000000000000085e+01
2.235000000000000000e+09,-2.425300000000000011e+01
2.236000000000000000e+09,-2.486599999999999966e+01
2.237000000000000000e+09,-2.458200000000000074e+01
2.238000000000000000e+09,-2.498400000000000176e+01
2.239000000000000000e+09,-2.463200000000000145e+01
2.240000000000000000e+09,-2.484100000000000108e+01
2.241000000000000000e+09,-2.559400000000000119e+01
2.242000000000000000e+09,-2.519300000000000139e+01
2.243000000000000000e+09,-2.515599999999999881e+01
2.244000000000000000e+09,-2.507900000000000063e+01
2.245000000000000000e+09,-2.538200000000000145e+01
2.246000000000000000e+09,-2.569300000000000139e+01
2.247000000000000000e+09,-2.510000000000000142e+01
2.248000000000000000e+09,-2.514300000000000068e+01
2.249000000000000000e+09,-2.480799999999999983e+01
2.250000000000000000e+09,-2.478500000000000014e+01
2.251000000000000000e+09,-2.521499999999999986e+01
2.252000000000000000e+09,-2.465599999999999881e+01
2.253000000000000000e+09,-2.453900000000000148e+01
2.254000000000000000e+09,-2.454799999999999827e+01
2.255000000000000000e+09,-2.442299999999999827e+01
2.256000000000000000e+09,-2.437900000000000134e+01
2.257000000000000000e+09,-2.372800000000000153e+01
2.258000000000000000e+09,-2.356599999999999895e+01
2.259000000000000000e+09,-2.340200000000000102e+01
2.260000000000000000e+09,-2.342999999999999972e+01
2.261000000000000000e+09,-2.364499999999999957e+01
2.262000000000000000e+09,-2.314099999999999824e+01
2.263000000000000000e+09,-2.310399999999999920e+01
2.264000000000000000e+09,-2.306099999999999994e+01
2.265000000000000000e+09,-2.264799999999999969e+01
2.266000000000000000e+09,-2.310600000000000165e+01
2.267000000000000000e+09,-2.294900000000000162e+01
2.268000000000000000e+09,-2.311199999999999832e+01
2.269000000000000000e+09,-2.277400000000000091e+01
2.270000000000000000e+09,-2.294500000000000028e+01
2.271000000000000000e+09,-2.357799999999999940e+01
2.272000000000000000e+09,-2.323199999999999932e+01
2.273000000000000000e+09,-2.349599999999999866e+01
2.274000000000000000e+09,-2.351200000000000045e+01
2.275000000000000000e+09,-2.358200000000000074e+01
2.276000000000000000e+09,-2.407000000000000028e+01
2.277000000000000000e+09,-2.401899999999999835e+01
2.278000000000000000e+09,-2.421000000000000085e+01
2.279000000000000000e+09,-2.433800000000000097e+01
2.280000000000000000e+09,-2.442899999999999849e+01
2.281000000000000000e+09,-2.477700000000000102e+01
2.282000000000000000e+09,-2.468499999999999872e+01
2.283000000000000000e+09,-2.443900000000000006e+01
2.284000000000000000e+09,-2.469399999999999906e+01
2.285000000000000000e+09,-2.482700000000000173e+01
2.286000000000000000e+09,-2.510099999999999909e+01
2.287000000000000000e+09,-2.479299999999999926e+01
2.288000000000000000e+09,-2.492099999999999937e+01
2.289000000000000000e+09,-2.482700000000000173e+01
2.290000000000000000e+09,-2.460099999999999909e+01
2.291000000000000000e+09,-2.482700000000000173e+01
2.292000000000000000e+09,-2.439699999999999847e+01
2.293000000000000000e+09,-2.441799999999999926e+01
2.294000000000000000e+09,-2.421000000000000085e+01
2.295000000000000000e+09,-2.380300000000000082e+01
2.296000000000000000e+09,-2.439000000000000057e+01
2.297000000000000000e+09,-2.367999999999999972e+01
2.298000000000000000e+09,-2.376399999999999935e+01
2.299000000000000000e+09,-2.385500000000000043e+01
2.300000000000000000e+09,-3.319299999999999784e+01
2.301000000000000000e+09,-2.365299999999999869e+01
2.302000000000000000e+09,-2.317399999999999949e+01
2.303000000000000000e+09,-2.331599999999999895e+01
2.304000000000000000e+09,-2.313599999999999923e+01
2.305000000000000000e+09,-2.288100000000000023e+01
2.306000000000000000e+09,-2.314499999999999957e+01
2.307000000000000000e+09,-2.285900000000000176e+01
2.308000000000000000e+09,-2.280900000000000105e+01
2.309000000000000000e+09,-2.282999999999999829e+01
2.310000000000000000e+09,-2.258599999999999852e+01
2.311000000000000000e+09,-2.338599999999999923e+01
2.312000000000000000e+09,-2.286700000000000088e+01
2.313000000000000000e+09,-2.302499999999999858e+01
2.314000000000000000e+09,-2.331599999999999895e+01
2.315000000000000000e+09,-2.348100000000000165e+01
2.316000000000000000e+09,-2.389499999999999957e+01
2.317000000000000000e+09,-2.354200000000000159e+01
2.318000000000000000e+09,-2.393400000000000105e+01
2.319000000000000000e+09,-2.373199999999999932e+01
2.320000000000000000e+09,-2.431200000000000117e+01
2.321000000000000000e+09,-2.414600000000000080e+01
2.322000000000000000e+09,-2.448600000000000065e+01
2.323000000000000000e+09,-2.444699999999999918e+01
2.324000000000000000e+09,-2.441799999999999926e+01
2.325000000000000000e+09,-2.475600000000000023e+01
