frequency_hz,power_dbm
2.000000000000000000e+09,-3.820600000000000307e+01
2.001000000000000000e+09,-3.948299999999999699e+01
2.002000000000000000e+09,-3.610900000000000176e+01
2.003000000000000000e+09,-3.711399999999999721e+01
2.004000000000000000e+09,-3.775200000000000244e+01
2.005000000000000000e+09,-3.673599999999999710e+01
2.006000000000000000e+09,-3.822999999999999687e+01
2.007000000000000000e+09,-3.727499999999999858e+01
2.008000000000000000e+09,-3.677199999999999847e+01
2.009000000000000000e+09,-3.688700000000000045e+01
2.010000000000000000e+09,-3.707099999999999795e+01
2.011000000000000000e+09,-3.689300000000000068e+01
2.012000000000000000e+09,-3.599399999999999977e+01
2.013000000000000000e+09,-3.702000000000000313e+01
2.014000000000000000e+09,-3.662400000000000233e+01
2.015000000000000000e+09,-3.686599999999999966e+01
2.016000000000000000e+09,-3.674399999999999977e+01
2.017000000000000000e+09,-3.703000000000000114e+01
2.018000000000000000e+09,-3.697999999999999687e+01
2.019000000000000000e+09,-3.661299999999999955e+01
2.020000000000000000e+09,-3.646800000000000352e+01
2.021000000000000000e+09,-3.778499999999999659e+01
2.022000000000000000e+09,-3.696900000000000119e+01
2.023000000000000000e+09,-3.740899999999999892e+01
2.024000000000000000e+09,-3.750699999999999790e+01
2.025000000000000000e+09,-3.773400000000000176e+01
2.026000000000000000e+09,-3.883500000000000085e+01
2.027000000000000000e+09,-3.801700000000000301e+01
2.028000000000000000e+09,-3.813700000000000045e+01
2.029000000000000000e+09,-3.692799999999999727e+01
2.030000000000000000e+09,-3.747699999999999676e+01
2.031000000000000000e+09,-3.790599999999999881e+01
2.032000000000000000e+09,-3.758299999999999841e+01
2.033000000000000000e+09,-3.726800000000000068e+01
2.034000000000000000e+09,-3.765299999999999869e+01
2.035000000000000000e+09,-3.668800000000000239e+01
2.036000000000000000e+09,-3.829099999999999682e+01
2.037000000000000000e+09,-3.719100000000000250e+01
2.038000000000000000e+09,-3.681799999999999784e+01
2.039000000000000000e+09,-3.673199999999999932e+01
2.040000000000000000e+09,-3.648400000000000176e+01
2.041000000000000000e+09,-3.623799999999999955e+01
2.042000000000000000e+09,-3.645900000000000318e+01
2.043000000000000000e+09,-3.693399999999999750e+01
2.044000000000000000e+09,-3.697699999999999676e+01
2.045000000000000000e+09,-3.629099999999999682e+01
2.046000000000000000e+09,-3.657000000000000028e+01
2.047000000000000000e+09,-3.589000000000000057e+01
2.048000000000000000e+09,-3.611500000000000199e+01
2.049000000000000000e+09,-3.637400000000000233e+01
2.050000000000000000e+09,-3.582600000000000051e+01
2.051000000000000000e+09,-3.549499999999999744e+01
2.052000000000000000e+09,-3.528999999999999915e+01
2.053000000000000000e+09,-3.444100000000000250e+01
2.054000000000000000e+09,-3.448400000000000176e+01
2.055000000000000000e+09,-3.403999999999999915e+01
2.056000000000000000e+09,-3.563499999999999801e+01
2.057000000000000000e+09,-3.448599999999999710e+01
2.058000000000000000e+09,-3.456900000000000261e+01
2.059000000000000000e+09,-3.478600000000000136e+01
2.060000000000000000e+09,-3.477499999999999858e+01
2.061000000000000000e+09,-3.573100000000000165e+01
2.062000000000000000e+09,-3.517099999999999937e+01
2.063000000000000000e+09,-3.531700000000000017e+01
2.064000000000000000e+09,-3.476700000000000301e+01
2.065000000000000000e+09,-3.509100000000000108e+01
2.066000000000000000e+09,-3.650699999999999790e+01
2.067000000000000000e+09,-3.528399999999999892e+01
2.068000000000000000e+09,-3.470799999999999841e+01
2.069000000000000000e+09,-3.504599999999999937e+01
2.070000000000000000e+09,-3.450099999999999767e+01
2.071000000000000000e+09,-3.564300000000000068e+01
2.072000000000000000e+09,-3.477000000000000313e+01
2.073000000000000000e+09,-3.575200000000000244e+01
2.074000000000000000e+09,-3.433400000000000318e+01
2.075000000000000000e+09,-3.559499999999999886e+01
2.076000000000000000e+09,-3.593800000000000239e+01
2.077000000000000000e+09,-3.473599999999999710e+01
2.078000000000000000e+09,-3.489900000000000091e+01
2.079000000000000000e+09,-3.547599999999999909e+01
2.080000000000000000e+09,-3.478399999999999892e+01
2.081000000000000000e+09,-3.602499999999999858e+01
2.082000000000000000e+09,-3.472500000000000142e+01
2.083000000000000000e+09,-3.387100000000000222e+01
2.084000000000000000e+09,-3.448599999999999710e+01
2.085000000000000000e+09,-3.421600000000000108e+01
2.086000000000000000e+09,-3.559100000000000108e+01
2.087000000000000000e+09,-3.447599999999999909e+01
2.088000000000000000e+09,-3.401200000000000045e+01
2.089000000000000000e+09,-3.386599999999999966e+01
2.090000000000000000e+09,-3.388600000000000279e+01
2.091000000000000000e+09,-3.418999999999999773e+01
2.092000000000000000e+09,-3.417799999999999727e+01
2.093000000000000000e+09,-3.330199999999999960e+01
2.094000000000000000e+09,-3.360099999999999909e+01
2.095000000000000000e+09,-3.317399999999999949e+01
2.096000000000000000e+09,-3.394400000000000261e+01
2.097000000000000000e+09,-3.376800000000000068e+01
2.098000000000000000e+09,-3.318599999999999994e+01
2.099000000000000000e+09,-3.329999999999999716e+01
2.100000000000000000e+09,-3.347299999999999898e+01
2.101000000000000000e+09,-3.401500000000000057e+01
2.102000000000000000e+09,-3.326100000000000279e+01
2.103000000000000000e+09,-3.385199999999999676e+01
2.104000000000000000e+09,-3.312199999999999989e+01
2.105000000000000000e+09,-3.408800000000000097e+01
2.106000000000000000e+09,-3.447299999999999898e+01
2.107000000000000000e+09,-3.334300000000000352e+01
2.108000000000000000e+09,-3.300800000000000267e+01
2.109000000000000000e+09,-3.346999999999999886e+01
2.110000000000000000e+09,-3.397699999999999676e+01
2.111000000000000000e+09,-3.400999999999999801e+01
2.112000000000000000e+09,-3.364000000000000057e+01
2.113000000000000000e+09,-3.370700000000000074e+01
2.114000000000000000e+09,-3.453900000000000148e+01
2.115000000000000000e+09,-3.397999999999999687e+01
2.116000000000000000e+09,-3.479699999999999704e+01
2.117000000000000000e+09,-3.390500000000000114e+01
2.118000000000000000e+09,-3.429200000000000159e+01
2.119000000000000000e+09,-3.376400000000000290e+01
2.120000000000000000e+09,-3.367000000000000171e+01
2.121000000000000000e+09,-3.435099999999999909e+01
2.122000000000000000e+09,-3.384400000000000119e+01
2.123000000000000000e+09,-3.425800000000000267e+01
2.124000000000000000e+09,-3.272399999999999665e+01
2.125000000000000000e+09,-3.333800000000000097e+01
2.126000000000000000e+09,-3.418500000000000227e+01
2.127000000000000000e+09,-3.353099999999999881e+01
2.128000000000000000e+09,-3.341799999999999926e+01
2.129000000000000000e+09,-3.328000000000000114e+01
2.130000000000000000e+09,-3.301800000000000068e+01
2.131000000000000000e+09,-3.339600000000000080e+01
2.132000000000000000e+09,-3.282900000000000063e+01
2.133000000000000000e+09,-3.250800000000000267e+01
2.134000000000000000e+09,-3.324300000000000210e+01
2.135000000000000000e+09,-3.190200000000000102e+01
2.136000000000000000e+09,-3.312400000000000233e+01
2.137000000000000000e+09,-3.252199999999999847e+01
2.138000000000000000e+09,-3.254399999999999693e+01
2.139000000000000000e+09,-3.256700000000000017e+01
2.140000000000000000e+09,-3.256900000000000261e+01
2.141000000000000000e+09,-3.332600000000000051e+01
2.142000000000000000e+09,-3.263799999999999812e+01
2.143000000000000000e+09,-3.270700000000000074e+01
2.144000000000000000e+09,-3.295600000000000307e+01
2.145000000000000000e+09,-3.271000000000000085e+01
2.146000000000000000e+09,-3.337400000000000233e+01
2.147000000000000000e+09,-3.334000000000000341e+01
2.148000000000000000e+09,-3.378399999999999892e+01
2.149000000000000000e+09,-3.357600000000000051e+01
2.150000000000000000e+09,-3.315800000000000125e+01
2.151000000000000000e+09,-3.357800000000000296e+01
2.152000000000000000e+09,-3.352799999999999869e+01
2.153000000000000000e+09,-3.335999999999999943e+01
2.154000000000000000e+09,-3.326500000000000057e+01
2.155000000000000000e+09,-3.281099999999999994e+01
2.156000000000000000e+09,-3.423299999999999699e+01
2.157000000000000000e+09,-3.361800000000000210e+01
2.158000000000000000e+09,-3.381799999999999784e+01
2.159000000000000000e+09,-3.375200000000000244e+01
2.160000000000000000e+09,-3.323299999999999699e+01
2.161000000000000000e+09,-3.432800000000000296e+01
2.162000000000000000e+09,-3.313600000000000279e+01
2.163000000000000000e+09,-3.310999999999999943e+01
2.164000000000000000e+09,-3.359100000000000108e+01
2.165000000000000000e+09,-3.288100000000000023e+01
2.166000000000000000e+09,-3.318699999999999761e+01
2.167000000000000000e+09,-3.269599999999999795e+01
2.168000000000000000e+09,-3.363799999999999812e+01
2.169000000000000000e+09,-3.248700000000000188e+01
2.170000000000000000e+09,-3.300900000000000034e+01
2.171000000000000000e+09,-3.350000000000000000e+01
2.172000000000000000e+09,-3.311200000000000188e+01
2.173000000000000000e+09,-3.304800000000000182e+01
2.174000000000000000e+09,-3.297399999999999665e+01
2.175000000000000000e+09,-3.284000000000000341e+01
2.176000000000000000e+09,-3.292699999999999960e+01
2.177000000000000000e+09,-3.155600000000000094e+01
2.178000000000000000e+09,-3.267999999999999972e+01
2.179000000000000000e+09,-3.211099999999999710e+01
2.180000000000000000e+09,-3.213799999999999812e+01
2.181000000000000000e+09,-3.310000000000000142e+01
2.182000000000000000e+09,-3.239099999999999824e+01
2.183000000000000000e+09,-3.231799999999999784e+01
2.184000000000000000e+09,-3.225500000000000256e+01
2.185000000000000000e+09,-3.216499999999999915e+01
2.186000000000000000e+09,-3.392199999999999704e+01
2.187000000000000000e+09,-3.257900000000000063e+01
2.188000000000000000e+09,-3.277499999999999858e+01
2.189000000000000000e+09,-3.278099999999999881e+01
2.190000000000000000e+09,-3.296500000000000341e+01
2.191000000000000000e+09,-3.374300000000000210e+01
2.192000000000000000e+09,-3.342499999999999716e+01
2.193000000000000000e+09,-3.249000000000000199e+01
2.194000000000000000e+09,-3.314500000000000313e+01
2.195000000000000000e+09,-3.331199999999999761e+01
2.196000000000000000e+09,-3.324699999999999989e+01
2.197000000000000000e+09,-3.269200000000000017e+01
2.198000000000000000e+09,-3.397999999999999687e+01
2.199000000000000000e+09,-3.321300000000000097e+01
2.200000000000000000e+09,-3.370799999999999841e+01
2.201000000000000000e+09,-3.431700000000000017e+01
2.202000000000000000e+09,-3.393800000000000239e+01
2.203000000000000000e+09,-3.305400000000000205e+01
2.204000000000000000e+09,-3.361999999999999744e+01
2.205000000000000000e+09,-3.283500000000000085e+01
2.206000000000000000e+09,-3.396600000000000108e+01
2.207000000000000000e+09,-3.379500000000000171e+01
2.208000000000000000e+09,-3.336699999999999733e+01
2.209000000000000000e+09,-3.316199999999999903e+01
2.210000000000000000e+09,-3.342699999999999960e+01
2.211000000000000000e+09,-3.425699999999999790e+01
2.212000000000000000e+09,-3.297399999999999665e+01
2.213000000000000000e+09,-3.287400000000000233e+01
2.214000000000000000e+09,-3.287199999999999989e+01
2.215000000000000000e+09,-3.306700000000000017e+01
2.216000000000000000e+09,-3.363799999999999812e+01
2.217000000000000000e+09,-3.198499999999999943e+01
2.218000000000000000e+09,-3.323599999999999710e+01
2.219000000000000000e+09,-3.235199999999999676e+01
2.220000000000000000e+09,-3.271200000000000330e+01
2.221000000000000000e+09,-3.299799999999999756e+01
2.222000000000000000e+09,-3.255499999999999972e+01
2.223000000000000000e+09,-3.298299999999999699e+01
2.224000000000000000e+09,-3.234700000000000131e+01
2.225000000000000000e+09,-3.256300000000000239e+01
2.226000000000000000e+09,-3.331600000000000250e+01
2.227000000000000000e+09,-3.232399999999999807e+01
2.228000000000000000e+09,-3.235499999999999687e+01
2.229000000000000000e+09,-3.241199999999999903e+01
2.230000000000000000e+09,-3.226400000000000290e+01
2.231000000000000000e+09,-3.295000000000000284e+01
2.232000000000000000e+09,-3.273799999999999955e+01
2.233000000000000000e+09,-3.291199999999999903e+01
2.234000000000000000e+09,-3.214999999999999858e+01
2.235000000000000000e+09,-3.258800000000000097e+01
2.236000000000000000e+09,-3.368299999999999983e+01
2.237000000000000000e+09,-3.248199999999999932e+01
2.238000000000000000e+09,-3.289000000000000057e+01
2.239000000000000000e+09,-3.345400000000000063e+01
2.240000000000000000e+09,-3.303999999999999915e+01
2.241000000000000000e+09,-3.399399999999999977e+01
2.242000000000000000e+09,-3.278999999999999915e+01
2.243000000000000000e+09,-3.355400000000000205e+01
2.244000000000000000e+09,-3.368200000000000216e+01
2.245000000000000000e+09,-3.304800000000000182e+01
2.246000000000000000e+09,-3.346699999999999875e+01
2.247000000000000000e+09,-3.343399999999999750e+01
2.248000000000000000e+09,-3.314600000000000080e+01
2.249000000000000000e+09,-3.370400000000000063e+01
2.250000000000000000e+09,-3.359899999999999665e+01
2.251000000000000000e+09,-3.375900000000000034e+01
2.252000000000000000e+09,-3.305499999999999972e+01
2.253000000000000000e+09,-3.306499999999999773e+01
2.254000000000000000e+09,-3.235600000000000165e+01
2.255000000000000000e+09,-3.355299999999999727e+01
2.256000000000000000e+09,-3.287800000000000011e+01
2.257000000000000000e+09,-3.276299999999999812e+01
2.258000000000000000e+09,-3.282500000000000284e+01
2.259000000000000000e+09,-3.268399999999999750e+01
2.260000000000000000e+09,-3.335199999999999676e+01
2.261000000000000000e+09,-3.326599999999999824e+01
2.262000000000000000e+09,-3.294899999999999807e+01
2.263000000000000000e+09,-3.317099999999999937e+01
2.264000000000000000e+09,-3.263100000000000023e+01
2.265000000000000000e+09,-3.225500000000000256e+01
2.266000000000000000e+09,-3.335399999999999920e+01
2.267000000000000000e+09,-3.273700000000000188e+01
2.268000000000000000e+09,-3.252900000000000347e+01
2.269000000000000000e+09,-3.312599999999999767e+01
2.270000000000000000e+09,-3.247500000000000142e+01
2.271000000000000000e+09,-3.330799999999999983e+01
2.272000000000000000e+09,-3.241899999999999693e+01
2.273000000000000000e+09,-3.303199999999999648e+01
2.274000000000000000e+09,-3.309400000000000119e+01
2.275000000000000000e+09,-3.320700000000000074e+01
2.276000000000000000e+09,-3.336800000000000210e+01
2.277000000000000000e+09,-3.302799999999999869e+01
2.278000000000000000e+09,-3.300200000000000244e+01
2.279000000000000000e+09,-3.252700000000000102e+01
2.280000000000000000e+09,-3.233500000000000085e+01
2.281000000000000000e+09,-3.262100000000000222e+01
2.282000000000000000e+09,-3.223400000000000176e+01
2.283000000000000000e+09,-3.284899999999999665e+01
2.284000000000000000e+09,-3.273100000000000165e+01
2.285000000000000000e+09,-3.315200000000000102e+01
2.286000000000000000e+09,-3.332099999999999795e+01
2.287000000000000000e+09,-3.289000000000000057e+01
2.288000000000000000e+09,-3.249099999999999966e+01
2.289000000000000000e+09,-3.318900000000000006e+01
2.290000000000000000e+09,-3.314999999999999858e+01
2.291000000000000000e+09,-3.368399999999999750e+01
2.292000000000000000e+09,-3.294800000000000040e+01
2.293000000000000000e+09,-3.301200000000000045e+01
2.294000000000000000e+09,-3.223499999999999943e+01
2.295000000000000000e+09,-3.249300000000000210e+01
2.296000000000000000e+09,-3.320199999999999818e+01
2.297000000000000000e+09,-3.292699999999999960e+01
2.298000000000000000e+09,-3.279699999999999704e+01
2.299000000000000000e+09,-3.247500000000000142e+01
2.300000000000000000e+09,-3.287199999999999989e+01
2.301000000000000000e+09,-3.321800000000000352e+01
2.302000000000000000e+09,-3.235600000000000165e+01
2.303000000000000000e+09,-3.243200000000000216e+01
2.304000000000000000e+09,-3.254299999999999926e+01
2.305000000000000000e+09,-3.246600000000000108e+01
2.306000000000000000e+09,-3.308100000000000307e+01
2.307000000000000000e+09,-3.256600000000000250e+01
2.308000000000000000e+09,-3.243699999999999761e+01
2.309000000000000000e+09,-3.254999999999999716e+01
2.310000000000000000e+09,-3.195100000000000051e+01
2.311000000000000000e+09,-3.268999999999999773e+01
