frequency_hz,power_dbm
2.000000000000000000e+09,-5.068699999999999761e+01
2.001000000000000000e+09,-5.296699999999999875e+01
2.002000000000000000e+09,-5.273899999999999721e+01
2.003000000000000000e+09,-5.268599999999999994e+01
2.004000000000000000e+09,-5.364600000000000080e+01
2.005000000000000000e+09,-5.353600000000000136e+01
2.006000000000000000e+09,-5.357600000000000051e+01
2.007000000000000000e+09,-5.411699999999999733e+01
2.008000000000000000e+09,-5.597200000000000131e+01
2.009000000000000000e+09,-5.527300000000000324e+01
2.010000000000000000e+09,-5.611399999999999721e+01
2.011000000000000000e+09,-5.489300000000000068e+01
2.012000000000000000e+09,-5.382900000000000063e+01
2.013000000000000000e+09,-5.551100000000000279e+01
2.014000000000000000e+09,-5.517999999999999972e+01
2.015000000000000000e+09,-5.572999999999999687e+01
2.016000000000000000e+09,-5.507200000000000273e+01
2.017000000000000000e+09,-5.516400000000000148e+01
2.018000000000000000e+09,-5.415899999999999892e+01
2.019000000000000000e+09,-5.538499999999999801e+01
2.020000000000000000e+09,-5.319200000000000017e+01
2.021000000000000000e+09,-5.498299999999999699e+01
2.022000000000000000e+09,-5.380299999999999727e+01
2.023000000000000000e+09,-5.323899999999999721e+01
2.024000000000000000e+09,-5.265200000000000102e+01
2.025000000000000000e+09,-5.219299999999999784e+01
2.026000000000000000e+09,-5.223199999999999932e+01
2.027000000000000000e+09,-5.063700000000000045e+01
2.028000000000000000e+09,-4.992900000000000205e+01
2.029000000000000000e+09,-4.879800000000000182e+01
2.030000000000000000e+09,-4.860000000000000142e+01
2.031000000000000000e+09,-4.945600000000000307e+01
2.032000000000000000e+09,-4.741199999999999903e+01
2.033000000000000000e+09,-4.703600000000000136e+01
2.034000000000000000e+09,-4.730400000000000205e+01
2.035000000000000000e+09,-4.779699999999999704e+01
2.036000000000000000e+09,-4.958299999999999841e+01
2.037000000000000000e+09,-4.925399999999999778e+01
2.038000000000000000e+09,-4.915100000000000335e+01
2.039000000000000000e+09,-4.960999999999999943e+01
2.040000000000000000e+09,-5.018099999999999739e+01
2.041000000000000000e+09,-5.304099999999999682e+01
2.042000000000000000e+09,-5.157399999999999807e+01
2.043000000000000000e+09,-5.169400000000000261e+01
2.044000000000000000e+09,-5.129599999999999937e+01
2.045000000000000000e+09,-5.218800000000000239e+01
2.046000000000000000e+09,-5.427100000000000080e+01
2.047000000000000000e+09,-5.286299999999999955e+01
