frequency_hz,power_dbm
2.000000000000000000e+09,-6.251899999999999835e+01
2.001000000000000000e+09,-6.443099999999999739e+01
2.002000000000000000e+09,-6.372399999999999665e+01
2.003000000000000000e+09,-6.410500000000000398e+01
2.004000000000000000e+09,-6.504900000000000659e+01
2.005000000000000000e+09,-6.389900000000000091e+01
2.006000000000000000e+09,-6.527400000000000091e+01
2.007000000000000000e+09,-6.148400000000000176e+01
2.008000000000000000e+09,-6.603400000000000603e+01
2.009000000000000000e+09,-6.402400000000000091e+01
2.010000000000000000e+09,-6.290699999999999648e+01
2.011000000000000000e+09,-6.430800000000000693e+01
2.012000000000000000e+09,-6.311899999999999977e+01
2.013000000000000000e+09,-6.234700000000000131e+01
2.014000000000000000e+09,-6.354699999999999704e+01
2.015000000000000000e+09,-6.400799999999999557e+01
2.016000000000000000e+09,-6.358500000000000085e+01
2.017000000000000000e+09,-6.313799999999999812e+01
2.018000000000000000e+09,-6.389399999999999835e+01
2.019000000000000000e+09,-6.411100000000000421e+01
2.020000000000000000e+09,-6.414700000000000557e+01
2.021000000000000000e+09,-6.353199999999999648e+01
2.022000000000000000e+09,-6.706600000000000250e+01
2.023000000000000000e+09,-6.210000000000000142e+01
2.024000000000000000e+09,-6.576200000000000045e+01
2.025000000000000000e+09,-6.457399999999999807e+01
2.026000000000000000e+09,-6.455599999999999739e+01
2.027000000000000000e+09,-6.495300000000000296e+01
2.028000000000000000e+09,-6.428199999999999648e+01
2.029000000000000000e+09,-6.394500000000000028e+01
2.030000000000000000e+09,-6.487999999999999545e+01
2.031000000000000000e+09,-6.582699999999999818e+01
2.032000000000000000e+09,-6.464700000000000557e+01
2.033000000000000000e+09,-6.321999999999999886e+01
2.034000000000000000e+09,-6.326500000000000057e+01
2.035000000000000000e+09,-6.423099999999999454e+01
2.036000000000000000e+09,-6.518500000000000227e+01
2.037000000000000000e+09,-6.299199999999999733e+01
2.038000000000000000e+09,-6.326899999999999835e+01
2.039000000000000000e+09,-6.296200000000000330e+01
2.040000000000000000e+09,-6.383299999999999841e+01
2.041000000000000000e+09,-6.498699999999999477e+01
2.042000000000000000e+09,-6.107200000000000273e+01
2.043000000000000000e+09,-6.281799999999999784e+01
2.044000000000000000e+09,-6.475000000000000000e+01
2.045000000000000000e+09,-6.370000000000000284e+01
2.046000000000000000e+09,-6.419799999999999329e+01
2.047000000000000000e+09,-6.614799999999999613e+01
2.048000000000000000e+09,-6.441400000000000148e+01
2.049000000000000000e+09,-6.196399999999999864e+01
2.050000000000000000e+09,-6.386299999999999955e+01
2.051000000000000000e+09,-6.518600000000000705e+01
2.052000000000000000e+09,-6.465099999999999625e+01
2.053000000000000000e+09,-6.232200000000000273e+01
2.054000000000000000e+09,-6.097299999999999898e+01
2.055000000000000000e+09,-6.329399999999999693e+01
2.056000000000000000e+09,-6.249199999999999733e+01
2.057000000000000000e+09,-6.096600000000000108e+01
