frequency_hz,power_dbm
2.000000000000000000e+09,-6.032200000000000273e+01
2.001000000000000000e+09,-6.255899999999999750e+01
2.002000000000000000e+09,-6.197500000000000142e+01
2.003000000000000000e+09,-6.338000000000000256e+01
2.004000000000000000e+09,-6.159700000000000131e+01
2.005000000000000000e+09,-6.151800000000000068e+01
2.006000000000000000e+09,-6.320499999999999829e+01
2.007000000000000000e+09,-6.160399999999999920e+01
2.008000000000000000e+09,-6.335499999999999687e+01
2.009000000000000000e+09,-5.951899999999999835e+01
2.010000000000000000e+09,-5.975099999999999767e+01
2.011000000000000000e+09,-6.152400000000000091e+01
2.012000000000000000e+09,-6.050800000000000267e+01
2.013000000000000000e+09,-5.880700000000000216e+01
2.014000000000000000e+09,-6.097699999999999676e+01
2.015000000000000000e+09,-6.045600000000000307e+01
2.016000000000000000e+09,-5.990299999999999869e+01
2.017000000000000000e+09,-6.011200000000000188e+01
2.018000000000000000e+09,-6.082699999999999818e+01
2.019000000000000000e+09,-6.146699999999999875e+01
2.020000000000000000e+09,-6.141400000000000148e+01
2.021000000000000000e+09,-6.357699999999999818e+01
2.022000000000000000e+09,-6.070000000000000284e+01
2.023000000000000000e+09,-6.013199999999999790e+01
2.024000000000000000e+09,-6.157099999999999795e+01
2.025000000000000000e+09,-6.094500000000000028e+01
2.026000000000000000e+09,-6.220499999999999829e+01
2.027000000000000000e+09,-6.245300000000000296e+01
2.028000000000000000e+09,-6.174000000000000199e+01
2.029000000000000000e+09,-6.271600000000000108e+01
2.030000000000000000e+09,-6.321800000000000352e+01
2.031000000000000000e+09,-6.261599999999999966e+01
2.032000000000000000e+09,-6.098199999999999932e+01
2.033000000000000000e+09,-6.248400000000000176e+01
2.034000000000000000e+09,-5.975699999999999790e+01
2.035000000000000000e+09,-6.136500000000000199e+01
2.036000000000000000e+09,-6.389399999999999835e+01
2.037000000000000000e+09,-6.135600000000000165e+01
2.038000000000000000e+09,-6.143699999999999761e+01
2.039000000000000000e+09,-6.116400000000000148e+01
2.040000000000000000e+09,-6.156600000000000250e+01
2.041000000000000000e+09,-6.091899999999999693e+01
2.042000000000000000e+09,-6.008899999999999864e+01
2.043000000000000000e+09,-6.196999999999999886e+01
2.044000000000000000e+09,-5.961999999999999744e+01
2.045000000000000000e+09,-6.042000000000000171e+01
2.046000000000000000e+09,-6.081199999999999761e+01
2.047000000000000000e+09,-6.203799999999999670e+01
2.048000000000000000e+09,-6.148199999999999932e+01
2.049000000000000000e+09,-5.914999999999999858e+01
2.050000000000000000e+09,-5.935099999999999909e+01
2.051000000000000000e+09,-6.329699999999999704e+01
2.052000000000000000e+09,-5.910000000000000142e+01
2.053000000000000000e+09,-5.683200000000000074e+01
2.054000000000000000e+09,-5.956600000000000250e+01
2.055000000000000000e+09,-6.002100000000000080e+01
2.056000000000000000e+09,-6.115400000000000347e+01
2.057000000000000000e+09,-5.913499999999999801e+01
2.058000000000000000e+09,-5.855400000000000205e+01
2.059000000000000000e+09,-5.955299999999999727e+01
2.060000000000000000e+09,-6.002100000000000080e+01
2.061000000000000000e+09,-5.927600000000000335e+01
2.062000000000000000e+09,-6.063300000000000267e+01
2.063000000000000000e+09,-5.923299999999999699e+01
2.064000000000000000e+09,-5.917000000000000171e+01
2.065000000000000000e+09,-6.031199999999999761e+01
2.066000000000000000e+09,-6.132699999999999818e+01
2.067000000000000000e+09,-5.766100000000000136e+01
2.068000000000000000e+09,-5.814699999999999847e+01
2.069000000000000000e+09,-5.804899999999999949e+01
2.070000000000000000e+09,-6.008400000000000318e+01
2.071000000000000000e+09,-6.331499999999999773e+01
2.072000000000000000e+09,-5.919500000000000028e+01
2.073000000000000000e+09,-5.838400000000000034e+01
2.074000000000000000e+09,-5.914800000000000324e+01
2.075000000000000000e+09,-5.777799999999999869e+01
2.076000000000000000e+09,-6.038799999999999812e+01
2.077000000000000000e+09,-5.748400000000000176e+01
2.078000000000000000e+09,-5.986599999999999966e+01
2.079000000000000000e+09,-6.019500000000000028e+01
2.080000000000000000e+09,-5.826299999999999812e+01
2.081000000000000000e+09,-6.045400000000000063e+01
2.082000000000000000e+09,-5.776200000000000045e+01
2.083000000000000000e+09,-5.835600000000000165e+01
2.084000000000000000e+09,-5.890299999999999869e+01
2.085000000000000000e+09,-5.846099999999999852e+01
2.086000000000000000e+09,-5.890599999999999881e+01
2.087000000000000000e+09,-5.720700000000000074e+01
2.088000000000000000e+09,-5.646000000000000085e+01
2.089000000000000000e+09,-5.699099999999999966e+01
2.090000000000000000e+09,-5.704200000000000159e+01
2.091000000000000000e+09,-5.865400000000000347e+01
2.092000000000000000e+09,-5.656799999999999784e+01
2.093000000000000000e+09,-5.723799999999999955e+01
2.094000000000000000e+09,-5.598299999999999699e+01
2.095000000000000000e+09,-5.660099999999999909e+01
2.096000000000000000e+09,-5.911599999999999966e+01
2.097000000000000000e+09,-5.563700000000000045e+01
2.098000000000000000e+09,-5.610999999999999943e+01
2.099000000000000000e+09,-5.604200000000000159e+01
2.100000000000000000e+09,-5.573100000000000165e+01
2.101000000000000000e+09,-6.146800000000000352e+01
2.102000000000000000e+09,-5.555599999999999739e+01
2.103000000000000000e+09,-5.702700000000000102e+01
2.104000000000000000e+09,-5.701800000000000068e+01
2.105000000000000000e+09,-5.574799999999999756e+01
2.106000000000000000e+09,-5.792499999999999716e+01
2.107000000000000000e+09,-5.563799999999999812e+01
2.108000000000000000e+09,-5.757900000000000063e+01
2.109000000000000000e+09,-5.781900000000000261e+01
2.110000000000000000e+09,-5.628600000000000136e+01
2.111000000000000000e+09,-5.887899999999999778e+01
2.112000000000000000e+09,-5.741799999999999926e+01
2.113000000000000000e+09,-5.771699999999999875e+01
2.114000000000000000e+09,-5.569200000000000017e+01
2.115000000000000000e+09,-5.684100000000000108e+01
2.116000000000000000e+09,-6.000699999999999790e+01
2.117000000000000000e+09,-5.774399999999999977e+01
2.118000000000000000e+09,-5.773700000000000188e+01
2.119000000000000000e+09,-5.775200000000000244e+01
2.120000000000000000e+09,-5.674000000000000199e+01
2.121000000000000000e+09,-5.979899999999999949e+01
2.122000000000000000e+09,-5.546600000000000108e+01
2.123000000000000000e+09,-5.726899999999999835e+01
2.124000000000000000e+09,-5.618500000000000227e+01
2.125000000000000000e+09,-5.565200000000000102e+01
2.126000000000000000e+09,-5.919899999999999807e+01
2.127000000000000000e+09,-5.580400000000000205e+01
2.128000000000000000e+09,-5.792199999999999704e+01
2.129000000000000000e+09,-5.579800000000000182e+01
2.130000000000000000e+09,-5.681499999999999773e+01
2.131000000000000000e+09,-5.847500000000000142e+01
2.132000000000000000e+09,-5.632800000000000296e+01
2.133000000000000000e+09,-5.564999999999999858e+01
2.134000000000000000e+09,-5.600200000000000244e+01
2.135000000000000000e+09,-5.642300000000000182e+01
2.136000000000000000e+09,-5.702900000000000347e+01
2.137000000000000000e+09,-5.642600000000000193e+01
2.138000000000000000e+09,-5.470300000000000296e+01
2.139000000000000000e+09,-5.483500000000000085e+01
2.140000000000000000e+09,-5.686699999999999733e+01
2.141000000000000000e+09,-5.883400000000000318e+01
2.142000000000000000e+09,-5.688199999999999790e+01
2.143000000000000000e+09,-5.489800000000000324e+01
2.144000000000000000e+09,-5.536800000000000210e+01
2.145000000000000000e+09,-5.507900000000000063e+01
2.146000000000000000e+09,-5.836999999999999744e+01
2.147000000000000000e+09,-5.696900000000000119e+01
2.148000000000000000e+09,-5.631400000000000006e+01
2.149000000000000000e+09,-5.671600000000000108e+01
2.150000000000000000e+09,-5.638499999999999801e+01
2.151000000000000000e+09,-5.927199999999999847e+01
2.152000000000000000e+09,-5.685600000000000165e+01
2.153000000000000000e+09,-5.682500000000000284e+01
2.154000000000000000e+09,-5.621699999999999875e+01
2.155000000000000000e+09,-5.653499999999999659e+01
2.156000000000000000e+09,-6.002000000000000313e+01
2.157000000000000000e+09,-5.781900000000000261e+01
2.158000000000000000e+09,-5.722099999999999653e+01
2.159000000000000000e+09,-5.736299999999999955e+01
2.160000000000000000e+09,-5.775200000000000244e+01
2.161000000000000000e+09,-6.098199999999999932e+01
2.162000000000000000e+09,-5.690699999999999648e+01
2.163000000000000000e+09,-5.692600000000000193e+01
2.164000000000000000e+09,-5.612800000000000011e+01
2.165000000000000000e+09,-5.755100000000000193e+01
2.166000000000000000e+09,-5.864600000000000080e+01
2.167000000000000000e+09,-5.700999999999999801e+01
2.168000000000000000e+09,-5.705700000000000216e+01
2.169000000000000000e+09,-5.657600000000000051e+01
2.170000000000000000e+09,-5.641700000000000159e+01
2.171000000000000000e+09,-5.705499999999999972e+01
2.172000000000000000e+09,-5.521900000000000119e+01
2.173000000000000000e+09,-5.695000000000000284e+01
2.174000000000000000e+09,-5.544800000000000040e+01
2.175000000000000000e+09,-5.625500000000000256e+01
2.176000000000000000e+09,-5.830299999999999727e+01
2.177000000000000000e+09,-5.622699999999999676e+01
2.178000000000000000e+09,-5.627000000000000313e+01
2.179000000000000000e+09,-5.557800000000000296e+01
2.180000000000000000e+09,-5.531900000000000261e+01
2.181000000000000000e+09,-5.785300000000000153e+01
2.182000000000000000e+09,-5.527000000000000313e+01
2.183000000000000000e+09,-5.530299999999999727e+01
2.184000000000000000e+09,-5.582200000000000273e+01
2.185000000000000000e+09,-5.578900000000000148e+01
2.186000000000000000e+09,-5.733200000000000074e+01
2.187000000000000000e+09,-5.596500000000000341e+01
2.188000000000000000e+09,-5.498799999999999955e+01
2.189000000000000000e+09,-5.618099999999999739e+01
2.190000000000000000e+09,-5.571999999999999886e+01
2.191000000000000000e+09,-5.630899999999999750e+01
2.192000000000000000e+09,-5.586299999999999955e+01
2.193000000000000000e+09,-5.567799999999999727e+01
2.194000000000000000e+09,-5.563600000000000279e+01
2.195000000000000000e+09,-5.659300000000000352e+01
2.196000000000000000e+09,-5.907200000000000273e+01
2.197000000000000000e+09,-5.646000000000000085e+01
2.198000000000000000e+09,-5.710900000000000176e+01
2.199000000000000000e+09,-5.596600000000000108e+01
2.200000000000000000e+09,-5.632000000000000028e+01
2.201000000000000000e+09,-5.815299999999999869e+01
2.202000000000000000e+09,-5.616299999999999670e+01
2.203000000000000000e+09,-5.602100000000000080e+01
2.204000000000000000e+09,-5.561299999999999955e+01
