frequency_hz,power_dbm
2.000000000000000000e+09,-3.428999999999999915e+01
2.006711409395973206e+09,-3.569100000000000250e+01
2.013422818791946411e+09,-3.493699999999999761e+01
2.020134228187919617e+09,-3.442199999999999704e+01
2.026845637583892822e+09,-3.425600000000000023e+01
2.033557046979866028e+09,-3.351599999999999824e+01
2.040268456375839233e+09,-3.254999999999999716e+01
2.046979865771812439e+09,-3.138200000000000145e+01
2.053691275167785645e+09,-3.180900000000000105e+01
2.060402684563758850e+09,-3.026899999999999835e+01
2.067114093959732056e+09,-2.962999999999999901e+01
2.073825503355705261e+09,-2.944000000000000128e+01
2.080536912751678467e+09,-3.045299999999999940e+01
2.087248322147651672e+09,-3.033999999999999986e+01
2.093959731543624878e+09,-3.074399999999999977e+01
2.100671140939598083e+09,-3.049099999999999966e+01
2.107382550335571289e+09,-3.053000000000000114e+01
2.114093959731544495e+09,-3.023900000000000077e+01
2.120805369127517700e+09,-2.975700000000000145e+01
2.127516778523490906e+09,-2.926699999999999946e+01
2.134228187919464111e+09,-2.893900000000000006e+01
2.140939597315437317e+09,-2.893499999999999872e+01
2.147651006711410522e+09,-2.828399999999999892e+01
2.154362416107383728e+09,-2.785000000000000142e+01
2.161073825503356934e+09,-2.941499999999999915e+01
2.167785234899330139e+09,-2.957499999999999929e+01
2.174496644295303345e+09,-2.975700000000000145e+01
2.181208053691276550e+09,-3.021999999999999886e+01
2.187919463087249756e+09,-2.933399999999999963e+01
2.194630872483222961e+09,-2.995400000000000063e+01
2.201342281879196167e+09,-2.948100000000000165e+01
2.208053691275169373e+09,-2.920700000000000074e+01
2.214765100671142578e+09,-2.878500000000000014e+01
2.221476510067115784e+09,-2.768599999999999994e+01
2.228187919463088989e+09,-2.712699999999999889e+01
2.234899328859062195e+09,-2.769200000000000017e+01
2.241610738255035400e+09,-2.784499999999999886e+01
2.248322147651008606e+09,-2.856200000000000117e+01
2.255033557046981812e+09,-2.952499999999999858e+01
2.261744966442955017e+09,-2.955499999999999972e+01
2.268456375838928223e+09,-3.048100000000000165e+01
2.275167785234901428e+09,-2.940899999999999892e+01
2.281879194630874634e+09,-2.961499999999999844e+01
2.288590604026847839e+09,-2.992899999999999849e+01
2.295302013422821045e+09,-2.899399999999999977e+01
2.302013422818794250e+09,-2.808200000000000074e+01
2.308724832214767456e+09,-2.850300000000000011e+01
2.315436241610740662e+09,-2.720799999999999841e+01
2.322147651006713867e+09,-2.740299999999999869e+01
2.328859060402687073e+09,-2.839000000000000057e+01
2.335570469798660278e+09,-2.938100000000000023e+01
2.342281879194633484e+09,-3.014399999999999835e+01
2.348993288590606689e+09,-3.073900000000000077e+01
2.355704697986579895e+09,-3.048300000000000054e+01
2.362416107382553101e+09,-3.012199999999999989e+01
2.369127516778526306e+09,-2.982300000000000040e+01
2.375838926174499512e+09,-2.930000000000000071e+01
2.382550335570472717e+09,-2.855799999999999983e+01
2.389261744966445923e+09,-2.795799999999999841e+01
2.395973154362419128e+09,-2.782600000000000051e+01
2.402684563758392334e+09,-2.787399999999999878e+01
2.409395973154365540e+09,-2.894699999999999918e+01
2.416107382550338745e+09,-3.066000000000000014e+01
2.422818791946311951e+09,-3.127599999999999980e+01
2.429530201342285156e+09,-3.149899999999999878e+01
2.436241610738258362e+09,-3.278300000000000125e+01
2.442953020134231567e+09,-3.139999999999999858e+01
2.449664429530204773e+09,-3.066000000000000014e+01
2.456375838926177979e+09,-2.934400000000000119e+01
