frequency_hz,power_dbm
2.400000000000000000e+09,-4.434799999999999898e+01
2.400200000000000000e+09,-4.461699999999999733e+01
2.400400000000000000e+09,-4.477199999999999847e+01
2.400600000000000000e+09,-4.457300000000000040e+01
2.400800000000000000e+09,-4.468500000000000227e+01
2.401000000000000000e+09,-4.453999999999999915e+01
2.401200000000000000e+09,-4.456799999999999784e+01
2.401400000000000000e+09,-4.392300000000000182e+01
2.401600000000000000e+09,-4.417600000000000193e+01
2.401800000000000000e+09,-4.420499999999999829e+01
2.402000000000000000e+09,-4.426299999999999812e+01
2.402200000000000000e+09,-4.385499999999999687e+01
2.402400000000000000e+09,-4.450099999999999767e+01
2.402600000000000000e+09,-4.408100000000000307e+01
2.402800000000000000e+09,-4.387299999999999756e+01
2.403000000000000000e+09,-4.415299999999999869e+01
2.403200000000000000e+09,-4.420799999999999841e+01
2.403400000000000000e+09,-4.382800000000000296e+01
2.403600000000000000e+09,-4.396800000000000352e+01
2.403800000000000000e+09,-4.411699999999999733e+01
2.404000000000000000e+09,-4.408299999999999841e+01
2.404200000000000000e+09,-4.423400000000000176e+01
2.404400000000000000e+09,-4.403999999999999915e+01
2.404600000000000000e+09,-4.384499999999999886e+01
2.404800000000000000e+09,-4.401500000000000057e+01
2.405000000000000000e+09,-4.394500000000000028e+01
2.405200000000000000e+09,-4.400500000000000256e+01
2.405400000000000000e+09,-4.391799999999999926e+01
2.405600000000000000e+09,-4.392399999999999949e+01
2.405800000000000000e+09,-4.370400000000000063e+01
2.406000000000000000e+09,-4.387700000000000244e+01
2.406200000000000000e+09,-4.386500000000000199e+01
2.406400000000000000e+09,-4.377799999999999869e+01
2.406600000000000000e+09,-4.390400000000000347e+01
2.406800000000000000e+09,-4.362700000000000244e+01
2.407000000000000000e+09,-4.378199999999999648e+01
2.407200000000000000e+09,-4.422099999999999653e+01
2.407400000000000000e+09,-4.350600000000000023e+01
2.407600000000000000e+09,-4.367499999999999716e+01
2.407800000000000000e+09,-4.357000000000000028e+01
2.408000000000000000e+09,-4.362599999999999767e+01
2.408200000000000000e+09,-4.421699999999999875e+01
2.408400000000000000e+09,-4.375699999999999790e+01
2.408600000000000000e+09,-4.377000000000000313e+01
2.408800000000000000e+09,-4.374099999999999966e+01
2.409000000000000000e+09,-4.386800000000000210e+01
2.409200000000000000e+09,-4.397699999999999676e+01
2.409400000000000000e+09,-4.375699999999999790e+01
2.409600000000000000e+09,-4.371300000000000097e+01
2.409800000000000000e+09,-4.374600000000000222e+01
2.410000000000000000e+09,-4.380299999999999727e+01
2.410200000000000000e+09,-4.384799999999999898e+01
2.410400000000000000e+09,-4.383800000000000097e+01
