frequency_hz,power_dbm
2.460000000000000000e+09,-4.333100000000000307e+01
2.460050000000000000e+09,-4.338799999999999812e+01
2.460100000000000000e+09,-4.357999999999999829e+01
2.460150000000000000e+09,-4.327700000000000102e+01
2.460200000000000000e+09,-4.328699999999999903e+01
2.460250000000000000e+09,-4.341599999999999682e+01
2.460300000000000000e+09,-4.341100000000000136e+01
2.460350000000000000e+09,-4.325900000000000034e+01
2.460400000000000000e+09,-4.315100000000000335e+01
2.460450000000000000e+09,-4.340400000000000347e+01
2.460500000000000000e+09,-4.340500000000000114e+01
2.460550000000000000e+09,-4.327100000000000080e+01
2.460600000000000000e+09,-4.340200000000000102e+01
2.460650000000000000e+09,-4.318099999999999739e+01
2.460700000000000000e+09,-4.345199999999999818e+01
2.460750000000000000e+09,-4.327400000000000091e+01
2.460800000000000000e+09,-4.341400000000000148e+01
2.460850000000000000e+09,-4.329299999999999926e+01
2.460900000000000000e+09,-4.336999999999999744e+01
2.460950000000000000e+09,-4.328900000000000148e+01
2.461000000000000000e+09,-4.335099999999999909e+01
2.461050000000000000e+09,-4.335000000000000142e+01
2.461100000000000000e+09,-4.339399999999999835e+01
2.461150000000000000e+09,-4.343800000000000239e+01
2.461200000000000000e+09,-4.353999999999999915e+01
2.461250000000000000e+09,-4.332000000000000028e+01
2.461300000000000000e+09,-4.329800000000000182e+01
2.461350000000000000e+09,-4.319899999999999807e+01
2.461400000000000000e+09,-4.337899999999999778e+01
2.461450000000000000e+09,-4.339099999999999824e+01
2.461500000000000000e+09,-4.339500000000000313e+01
2.461550000000000000e+09,-4.327100000000000080e+01
2.461600000000000000e+09,-4.336500000000000199e+01
2.461650000000000000e+09,-4.324600000000000222e+01
2.461700000000000000e+09,-4.334499999999999886e+01
2.461750000000000000e+09,-4.344500000000000028e+01
2.461800000000000000e+09,-4.330799999999999983e+01
2.461850000000000000e+09,-4.330299999999999727e+01
2.461900000000000000e+09,-4.337100000000000222e+01
2.461950000000000000e+09,-4.313799999999999812e+01
2.462000000000000000e+09,-4.324000000000000199e+01
2.462050000000000000e+09,-4.336599999999999966e+01
2.462100000000000000e+09,-4.337500000000000000e+01
2.462150000000000000e+09,-4.334899999999999665e+01
2.462200000000000000e+09,-4.309400000000000119e+01
2.462250000000000000e+09,-4.327000000000000313e+01
2.462300000000000000e+09,-4.307800000000000296e+01
2.462350000000000000e+09,-4.313100000000000023e+01
2.462400000000000000e+09,-4.303399999999999892e+01
2.462450000000000000e+09,-4.330299999999999727e+01
2.462500000000000000e+09,-4.313400000000000034e+01
2.462550000000000000e+09,-4.316799999999999926e+01
2.462600000000000000e+09,-4.319200000000000017e+01
2.462650000000000000e+09,-4.309700000000000131e+01
2.462700000000000000e+09,-4.314600000000000080e+01
2.462750000000000000e+09,-4.317900000000000205e+01
2.462800000000000000e+09,-4.335399999999999920e+01
2.462850000000000000e+09,-4.321000000000000085e+01
2.462900000000000000e+09,-4.311899999999999977e+01
2.462950000000000000e+09,-4.300699999999999790e+01
2.463000000000000000e+09,-4.314600000000000080e+01
2.463050000000000000e+09,-4.297299999999999898e+01
2.463100000000000000e+09,-4.314699999999999847e+01
2.463150000000000000e+09,-4.311699999999999733e+01
2.463200000000000000e+09,-4.302400000000000091e+01
2.463250000000000000e+09,-4.319700000000000273e+01
2.463300000000000000e+09,-4.324300000000000210e+01
2.463350000000000000e+09,-4.321699999999999875e+01
2.463400000000000000e+09,-4.311599999999999966e+01
2.463450000000000000e+09,-4.306000000000000227e+01
2.463500000000000000e+09,-4.308700000000000330e+01
2.463550000000000000e+09,-4.329699999999999704e+01
2.463600000000000000e+09,-4.320300000000000296e+01
2.463650000000000000e+09,-4.306000000000000227e+01
2.463700000000000000e+09,-4.334700000000000131e+01
2.463750000000000000e+09,-4.313799999999999812e+01
2.463800000000000000e+09,-4.302499999999999858e+01
2.463850000000000000e+09,-4.313600000000000279e+01
2.463900000000000000e+09,-4.329599999999999937e+01
2.463950000000000000e+09,-4.310300000000000153e+01
2.464000000000000000e+09,-4.316599999999999682e+01
2.464050000000000000e+09,-4.293099999999999739e+01
2.464100000000000000e+09,-4.308599999999999852e+01
2.464150000000000000e+09,-4.308100000000000307e+01
2.464200000000000000e+09,-4.299000000000000199e+01
2.464250000000000000e+09,-4.288400000000000034e+01
2.464300000000000000e+09,-4.319100000000000250e+01
2.464350000000000000e+09,-4.290299999999999869e+01
2.464400000000000000e+09,-4.313799999999999812e+01
2.464450000000000000e+09,-4.307699999999999818e+01
2.464500000000000000e+09,-4.313300000000000267e+01
2.464550000000000000e+09,-4.290299999999999869e+01
2.464600000000000000e+09,-4.312800000000000011e+01
2.464650000000000000e+09,-4.297999999999999687e+01
2.464700000000000000e+09,-4.316499999999999915e+01
2.464750000000000000e+09,-4.290299999999999869e+01
2.464800000000000000e+09,-4.295700000000000074e+01
2.464850000000000000e+09,-4.306499999999999773e+01
2.464900000000000000e+09,-4.302400000000000091e+01
2.464950000000000000e+09,-4.290200000000000102e+01
2.465000000000000000e+09,-4.305799999999999983e+01
2.465050000000000000e+09,-4.297200000000000131e+01
2.465100000000000000e+09,-4.297999999999999687e+01
2.465150000000000000e+09,-4.281400000000000006e+01
2.465200000000000000e+09,-4.290800000000000125e+01
2.465250000000000000e+09,-4.318999999999999773e+01
2.465300000000000000e+09,-4.308700000000000330e+01
2.465350000000000000e+09,-4.300600000000000023e+01
2.465400000000000000e+09,-4.276800000000000068e+01
2.465450000000000000e+09,-4.284499999999999886e+01
2.465500000000000000e+09,-4.292799999999999727e+01
2.465550000000000000e+09,-4.303699999999999903e+01
2.465600000000000000e+09,-4.299399999999999977e+01
2.465650000000000000e+09,-4.307500000000000284e+01
2.465700000000000000e+09,-4.305899999999999750e+01
2.465750000000000000e+09,-4.296900000000000119e+01
2.465800000000000000e+09,-4.299799999999999756e+01
2.465850000000000000e+09,-4.285000000000000142e+01
2.465900000000000000e+09,-4.290100000000000335e+01
2.465950000000000000e+09,-4.305499999999999972e+01
2.466000000000000000e+09,-4.292099999999999937e+01
2.466050000000000000e+09,-4.307999999999999829e+01
2.466100000000000000e+09,-4.297299999999999898e+01
2.466150000000000000e+09,-4.281000000000000227e+01
2.466200000000000000e+09,-4.290100000000000335e+01
2.466250000000000000e+09,-4.295100000000000051e+01
2.466300000000000000e+09,-4.294100000000000250e+01
2.466350000000000000e+09,-4.292199999999999704e+01
2.466400000000000000e+09,-4.300600000000000023e+01
2.466450000000000000e+09,-4.296399999999999864e+01
2.466500000000000000e+09,-4.297200000000000131e+01
2.466550000000000000e+09,-4.295199999999999818e+01
2.466600000000000000e+09,-4.298599999999999710e+01
2.466650000000000000e+09,-4.276800000000000068e+01
2.466700000000000000e+09,-4.292300000000000182e+01
2.466750000000000000e+09,-4.280100000000000193e+01
2.466800000000000000e+09,-4.292300000000000182e+01
2.466850000000000000e+09,-4.290200000000000102e+01
2.466900000000000000e+09,-4.291599999999999682e+01
2.466950000000000000e+09,-4.263400000000000034e+01
2.467000000000000000e+09,-4.282999999999999829e+01
2.467050000000000000e+09,-4.281799999999999784e+01
2.467100000000000000e+09,-4.276899999999999835e+01
2.467150000000000000e+09,-4.297699999999999676e+01
2.467200000000000000e+09,-4.282000000000000028e+01
2.467250000000000000e+09,-4.286699999999999733e+01
2.467300000000000000e+09,-4.282000000000000028e+01
2.467350000000000000e+09,-4.285600000000000165e+01
2.467400000000000000e+09,-4.282300000000000040e+01
2.467450000000000000e+09,-4.284000000000000341e+01
2.467500000000000000e+09,-4.279099999999999682e+01
2.467550000000000000e+09,-4.292499999999999716e+01
2.467600000000000000e+09,-4.297599999999999909e+01
2.467650000000000000e+09,-4.273199999999999932e+01
2.467700000000000000e+09,-4.280599999999999739e+01
2.467750000000000000e+09,-4.279999999999999716e+01
2.467800000000000000e+09,-4.271300000000000097e+01
2.467850000000000000e+09,-4.280799999999999983e+01
2.467900000000000000e+09,-4.278799999999999670e+01
2.467950000000000000e+09,-4.271500000000000341e+01
2.468000000000000000e+09,-4.283899999999999864e+01
2.468050000000000000e+09,-4.277900000000000347e+01
2.468100000000000000e+09,-4.274900000000000233e+01
2.468150000000000000e+09,-4.271500000000000341e+01
2.468200000000000000e+09,-4.274000000000000199e+01
2.468250000000000000e+09,-4.276100000000000279e+01
2.468300000000000000e+09,-4.294100000000000250e+01
2.468350000000000000e+09,-4.276299999999999812e+01
2.468400000000000000e+09,-4.276299999999999812e+01
2.468450000000000000e+09,-4.289399999999999835e+01
2.468500000000000000e+09,-4.283500000000000085e+01
2.468550000000000000e+09,-4.261999999999999744e+01
2.468600000000000000e+09,-4.257500000000000284e+01
2.468650000000000000e+09,-4.286500000000000199e+01
2.468700000000000000e+09,-4.280400000000000205e+01
2.468750000000000000e+09,-4.275300000000000011e+01
2.468800000000000000e+09,-4.263100000000000023e+01
2.468850000000000000e+09,-4.284100000000000108e+01
2.468900000000000000e+09,-4.269200000000000017e+01
2.468950000000000000e+09,-4.280599999999999739e+01
2.469000000000000000e+09,-4.266100000000000136e+01
2.469050000000000000e+09,-4.263499999999999801e+01
2.469100000000000000e+09,-4.283599999999999852e+01
2.469150000000000000e+09,-4.284100000000000108e+01
2.469200000000000000e+09,-4.271900000000000119e+01
2.469250000000000000e+09,-4.267699999999999960e+01
2.469300000000000000e+09,-4.268500000000000227e+01
2.469350000000000000e+09,-4.257999999999999829e+01
2.469400000000000000e+09,-4.281400000000000006e+01
2.469450000000000000e+09,-4.263900000000000290e+01
2.469500000000000000e+09,-4.262700000000000244e+01
2.469550000000000000e+09,-4.280499999999999972e+01
2.469600000000000000e+09,-4.291599999999999682e+01
2.469650000000000000e+09,-4.268699999999999761e+01
2.469700000000000000e+09,-4.273400000000000176e+01
2.469750000000000000e+09,-4.272699999999999676e+01
2.469800000000000000e+09,-4.285600000000000165e+01
2.469850000000000000e+09,-4.266400000000000148e+01
2.469900000000000000e+09,-4.266100000000000136e+01
2.469950000000000000e+09,-4.254399999999999693e+01
2.470000000000000000e+09,-4.268999999999999773e+01
2.470050000000000000e+09,-4.262500000000000000e+01
2.470100000000000000e+09,-4.261800000000000210e+01
2.470150000000000000e+09,-4.261099999999999710e+01
2.470200000000000000e+09,-4.272399999999999665e+01
2.470250000000000000e+09,-4.268099999999999739e+01
2.470300000000000000e+09,-4.265999999999999659e+01
2.470350000000000000e+09,-4.253000000000000114e+01
2.470400000000000000e+09,-4.261500000000000199e+01
