frequency_hz,power_dbm
2.480000000000000000e+09,-4.323899999999999721e+01
2.480050000000000000e+09,-4.559400000000000119e+01
2.480100000000000000e+09,-4.602400000000000091e+01
2.480150000000000000e+09,-4.536599999999999966e+01
2.480200000000000000e+09,-4.440699999999999648e+01
2.480250000000000000e+09,-4.357699999999999818e+01
2.480300000000000000e+09,-4.291199999999999903e+01
2.480350000000000000e+09,-4.264600000000000080e+01
2.480400000000000000e+09,-4.254200000000000159e+01
2.480450000000000000e+09,-4.251500000000000057e+01
2.480500000000000000e+09,-4.257099999999999795e+01
2.480550000000000000e+09,-4.261099999999999710e+01
2.480600000000000000e+09,-4.251899999999999835e+01
2.480650000000000000e+09,-4.255700000000000216e+01
2.480700000000000000e+09,-4.257200000000000273e+01
2.480750000000000000e+09,-4.247599999999999909e+01
2.480800000000000000e+09,-4.251500000000000057e+01
2.480850000000000000e+09,-4.256799999999999784e+01
2.480900000000000000e+09,-4.257099999999999795e+01
2.480950000000000000e+09,-4.238900000000000290e+01
2.481000000000000000e+09,-4.253099999999999881e+01
2.481050000000000000e+09,-4.244299999999999784e+01
2.481100000000000000e+09,-4.239999999999999858e+01
2.481150000000000000e+09,-4.248199999999999932e+01
2.481200000000000000e+09,-4.250800000000000267e+01
2.481250000000000000e+09,-4.244800000000000040e+01
2.481300000000000000e+09,-4.247200000000000131e+01
2.481350000000000000e+09,-4.251200000000000045e+01
2.481400000000000000e+09,-4.262899999999999778e+01
2.481450000000000000e+09,-4.256499999999999773e+01
2.481500000000000000e+09,-4.256400000000000006e+01
2.481550000000000000e+09,-4.252900000000000347e+01
2.481600000000000000e+09,-4.248799999999999955e+01
2.481650000000000000e+09,-4.254500000000000171e+01
2.481700000000000000e+09,-4.240299999999999869e+01
2.481750000000000000e+09,-4.256099999999999994e+01
2.481800000000000000e+09,-4.243699999999999761e+01
2.481850000000000000e+09,-4.253000000000000114e+01
2.481900000000000000e+09,-4.252000000000000313e+01
2.481950000000000000e+09,-4.246000000000000085e+01
2.482000000000000000e+09,-4.241100000000000136e+01
2.482050000000000000e+09,-4.251500000000000057e+01
2.482100000000000000e+09,-4.250200000000000244e+01
2.482150000000000000e+09,-4.238100000000000023e+01
2.482200000000000000e+09,-4.259400000000000119e+01
2.482250000000000000e+09,-4.256900000000000261e+01
2.482300000000000000e+09,-4.242000000000000171e+01
2.482350000000000000e+09,-4.253600000000000136e+01
2.482400000000000000e+09,-4.251400000000000290e+01
2.482450000000000000e+09,-4.249499999999999744e+01
2.482500000000000000e+09,-4.246000000000000085e+01
2.482550000000000000e+09,-4.258899999999999864e+01
2.482600000000000000e+09,-4.256199999999999761e+01
2.482650000000000000e+09,-4.244100000000000250e+01
2.482700000000000000e+09,-4.256000000000000227e+01
2.482750000000000000e+09,-4.256400000000000006e+01
2.482800000000000000e+09,-4.243900000000000006e+01
2.482850000000000000e+09,-4.246999999999999886e+01
2.482900000000000000e+09,-4.251800000000000068e+01
2.482950000000000000e+09,-4.248799999999999955e+01
2.483000000000000000e+09,-4.243699999999999761e+01
2.483050000000000000e+09,-4.256300000000000239e+01
2.483100000000000000e+09,-4.265299999999999869e+01
2.483150000000000000e+09,-4.265100000000000335e+01
2.483200000000000000e+09,-4.253300000000000125e+01
2.483250000000000000e+09,-4.255899999999999750e+01
2.483300000000000000e+09,-4.258299999999999841e+01
2.483350000000000000e+09,-4.255700000000000216e+01
2.483400000000000000e+09,-4.248499999999999943e+01
2.483450000000000000e+09,-4.252000000000000313e+01
2.483500000000000000e+09,-4.243999999999999773e+01
2.483550000000000000e+09,-4.256499999999999773e+01
2.483600000000000000e+09,-4.250000000000000000e+01
2.483650000000000000e+09,-4.242999999999999972e+01
2.483700000000000000e+09,-4.254299999999999926e+01
2.483750000000000000e+09,-4.244500000000000028e+01
2.483800000000000000e+09,-4.241899999999999693e+01
2.483850000000000000e+09,-4.248799999999999955e+01
2.483900000000000000e+09,-4.248799999999999955e+01
2.483950000000000000e+09,-4.246399999999999864e+01
2.484000000000000000e+09,-4.242399999999999949e+01
2.484050000000000000e+09,-4.249900000000000233e+01
2.484100000000000000e+09,-4.257500000000000284e+01
2.484150000000000000e+09,-4.239800000000000324e+01
2.484200000000000000e+09,-4.246000000000000085e+01
2.484250000000000000e+09,-4.247999999999999687e+01
2.484300000000000000e+09,-4.259499999999999886e+01
2.484350000000000000e+09,-4.256199999999999761e+01
2.484400000000000000e+09,-4.248599999999999710e+01
2.484450000000000000e+09,-4.258200000000000074e+01
2.484500000000000000e+09,-4.244299999999999784e+01
2.484550000000000000e+09,-4.254200000000000159e+01
2.484600000000000000e+09,-4.239500000000000313e+01
2.484650000000000000e+09,-4.250000000000000000e+01
2.484700000000000000e+09,-4.259599999999999653e+01
2.484750000000000000e+09,-4.237700000000000244e+01
2.484800000000000000e+09,-4.257699999999999818e+01
2.484850000000000000e+09,-4.253300000000000125e+01
2.484900000000000000e+09,-4.256499999999999773e+01
2.484950000000000000e+09,-4.250000000000000000e+01
2.485000000000000000e+09,-4.256000000000000227e+01
2.485050000000000000e+09,-4.249199999999999733e+01
2.485100000000000000e+09,-4.250600000000000023e+01
2.485150000000000000e+09,-4.243999999999999773e+01
2.485200000000000000e+09,-4.268399999999999750e+01
2.485250000000000000e+09,-4.258700000000000330e+01
2.485300000000000000e+09,-4.247299999999999898e+01
2.485350000000000000e+09,-4.251400000000000290e+01
2.485400000000000000e+09,-4.247599999999999909e+01
2.485450000000000000e+09,-4.256199999999999761e+01
2.485500000000000000e+09,-4.255799999999999983e+01
2.485550000000000000e+09,-4.242399999999999949e+01
2.485600000000000000e+09,-4.248199999999999932e+01
2.485650000000000000e+09,-4.255799999999999983e+01
2.485700000000000000e+09,-4.244400000000000261e+01
2.485750000000000000e+09,-4.254500000000000171e+01
2.485800000000000000e+09,-4.261699999999999733e+01
2.485850000000000000e+09,-4.246900000000000119e+01
2.485900000000000000e+09,-4.256199999999999761e+01
2.485950000000000000e+09,-4.262899999999999778e+01
2.486000000000000000e+09,-4.253699999999999903e+01
2.486050000000000000e+09,-4.251599999999999824e+01
2.486100000000000000e+09,-4.249600000000000222e+01
2.486150000000000000e+09,-4.241599999999999682e+01
2.486200000000000000e+09,-4.243099999999999739e+01
2.486250000000000000e+09,-4.245199999999999818e+01
2.486300000000000000e+09,-4.250699999999999790e+01
2.486350000000000000e+09,-4.246999999999999886e+01
2.486400000000000000e+09,-4.248499999999999943e+01
2.486450000000000000e+09,-4.246999999999999886e+01
2.486500000000000000e+09,-4.251299999999999812e+01
2.486550000000000000e+09,-4.247599999999999909e+01
2.486600000000000000e+09,-4.257300000000000040e+01
2.486650000000000000e+09,-4.252400000000000091e+01
2.486700000000000000e+09,-4.254699999999999704e+01
2.486750000000000000e+09,-4.250399999999999778e+01
