frequency_hz,power_dbm
2.490000000000000000e+09,-4.342699999999999960e+01
2.490050000000000000e+09,-4.539399999999999835e+01
2.490100000000000000e+09,-4.632399999999999807e+01
2.490150000000000000e+09,-4.597899999999999920e+01
2.490200000000000000e+09,-4.417000000000000171e+01
2.490250000000000000e+09,-4.355100000000000193e+01
2.490300000000000000e+09,-4.309700000000000131e+01
2.490350000000000000e+09,-4.287800000000000011e+01
2.490400000000000000e+09,-4.272399999999999665e+01
2.490450000000000000e+09,-4.270000000000000284e+01
2.490500000000000000e+09,-4.261800000000000210e+01
2.490550000000000000e+09,-4.243999999999999773e+01
2.490600000000000000e+09,-4.260099999999999909e+01
2.490650000000000000e+09,-4.264200000000000301e+01
2.490700000000000000e+09,-4.294599999999999795e+01
2.490750000000000000e+09,-4.244700000000000273e+01
2.490800000000000000e+09,-4.243599999999999994e+01
2.490850000000000000e+09,-4.242000000000000171e+01
2.490900000000000000e+09,-4.267000000000000171e+01
2.490950000000000000e+09,-4.281300000000000239e+01
2.491000000000000000e+09,-4.333200000000000074e+01
2.491050000000000000e+09,-4.323199999999999932e+01
2.491100000000000000e+09,-4.328000000000000114e+01
2.491150000000000000e+09,-4.313799999999999812e+01
2.491200000000000000e+09,-4.264999999999999858e+01
2.491250000000000000e+09,-4.275300000000000011e+01
2.491300000000000000e+09,-4.287700000000000244e+01
2.491350000000000000e+09,-4.282300000000000040e+01
2.491400000000000000e+09,-4.293999999999999773e+01
2.491450000000000000e+09,-4.325800000000000267e+01
2.491500000000000000e+09,-4.312899999999999778e+01
2.491550000000000000e+09,-4.307900000000000063e+01
2.491600000000000000e+09,-4.317799999999999727e+01
2.491650000000000000e+09,-4.317999999999999972e+01
2.491700000000000000e+09,-4.321900000000000119e+01
2.491750000000000000e+09,-4.302100000000000080e+01
2.491800000000000000e+09,-4.329699999999999704e+01
2.491850000000000000e+09,-4.340299999999999869e+01
2.491900000000000000e+09,-4.314500000000000313e+01
2.491950000000000000e+09,-4.323599999999999710e+01
2.492000000000000000e+09,-4.322299999999999898e+01
2.492050000000000000e+09,-4.331000000000000227e+01
2.492100000000000000e+09,-4.338700000000000045e+01
2.492150000000000000e+09,-4.338499999999999801e+01
2.492200000000000000e+09,-4.323799999999999955e+01
2.492250000000000000e+09,-4.331900000000000261e+01
2.492300000000000000e+09,-4.345100000000000051e+01
2.492350000000000000e+09,-4.345700000000000074e+01
2.492400000000000000e+09,-4.338199999999999790e+01
2.492450000000000000e+09,-4.308899999999999864e+01
2.492500000000000000e+09,-4.319100000000000250e+01
2.492550000000000000e+09,-4.327000000000000313e+01
2.492600000000000000e+09,-4.329599999999999937e+01
2.492650000000000000e+09,-4.344100000000000250e+01
2.492700000000000000e+09,-4.325200000000000244e+01
2.492750000000000000e+09,-4.319100000000000250e+01
2.492800000000000000e+09,-4.344500000000000028e+01
2.492850000000000000e+09,-4.346500000000000341e+01
2.492900000000000000e+09,-4.351899999999999835e+01
2.492950000000000000e+09,-4.329800000000000182e+01
