frequency_hz,power_dbm
2.000000000000000000e+09,-4.628699999999999903e+01
2.001000000000000000e+09,-4.667999999999999972e+01
2.002000000000000000e+09,-4.706000000000000227e+01
2.003000000000000000e+09,-4.622200000000000131e+01
2.004000000000000000e+09,-4.696200000000000330e+01
2.005000000000000000e+09,-4.631199999999999761e+01
2.006000000000000000e+09,-4.641599999999999682e+01
2.007000000000000000e+09,-4.641700000000000159e+01
2.008000000000000000e+09,-4.616400000000000148e+01
2.009000000000000000e+09,-4.711699999999999733e+01
2.010000000000000000e+09,-4.702499999999999858e+01
2.011000000000000000e+09,-4.713300000000000267e+01
2.012000000000000000e+09,-4.682800000000000296e+01
2.013000000000000000e+09,-4.730499999999999972e+01
2.014000000000000000e+09,-4.787500000000000000e+01
2.015000000000000000e+09,-4.765800000000000125e+01
2.016000000000000000e+09,-4.748499999999999943e+01
2.017000000000000000e+09,-4.763199999999999790e+01
2.018000000000000000e+09,-4.809100000000000108e+01
2.019000000000000000e+09,-4.759100000000000108e+01
2.020000000000000000e+09,-4.761599999999999966e+01
2.021000000000000000e+09,-4.820799999999999841e+01
2.022000000000000000e+09,-4.738199999999999790e+01
2.023000000000000000e+09,-4.739099999999999824e+01
2.024000000000000000e+09,-4.745000000000000284e+01
2.025000000000000000e+09,-4.823199999999999932e+01
2.026000000000000000e+09,-4.843099999999999739e+01
2.027000000000000000e+09,-4.828000000000000114e+01
2.028000000000000000e+09,-4.691899999999999693e+01
2.029000000000000000e+09,-4.774099999999999966e+01
2.030000000000000000e+09,-4.800200000000000244e+01
2.031000000000000000e+09,-4.759799999999999898e+01
2.032000000000000000e+09,-4.696399999999999864e+01
2.033000000000000000e+09,-4.752799999999999869e+01
2.034000000000000000e+09,-4.728499999999999659e+01
2.035000000000000000e+09,-4.723599999999999710e+01
2.036000000000000000e+09,-4.865500000000000114e+01
2.037000000000000000e+09,-4.753600000000000136e+01
2.038000000000000000e+09,-4.728000000000000114e+01
2.039000000000000000e+09,-4.631099999999999994e+01
2.040000000000000000e+09,-4.752000000000000313e+01
2.041000000000000000e+09,-4.836699999999999733e+01
2.042000000000000000e+09,-4.730100000000000193e+01
2.043000000000000000e+09,-4.725000000000000000e+01
2.044000000000000000e+09,-4.754399999999999693e+01
2.045000000000000000e+09,-4.730299999999999727e+01
2.046000000000000000e+09,-4.739399999999999835e+01
2.047000000000000000e+09,-4.675999999999999801e+01
2.048000000000000000e+09,-4.724000000000000199e+01
2.049000000000000000e+09,-4.725500000000000256e+01
2.050000000000000000e+09,-4.726299999999999812e+01
2.051000000000000000e+09,-4.759100000000000108e+01
2.052000000000000000e+09,-4.650800000000000267e+01
2.053000000000000000e+09,-4.644599999999999795e+01
2.054000000000000000e+09,-4.631900000000000261e+01
2.055000000000000000e+09,-4.653699999999999903e+01
2.056000000000000000e+09,-4.688700000000000045e+01
2.057000000000000000e+09,-4.627000000000000313e+01
2.058000000000000000e+09,-4.550099999999999767e+01
2.059000000000000000e+09,-4.578900000000000148e+01
2.060000000000000000e+09,-4.593500000000000227e+01
2.061000000000000000e+09,-4.702799999999999869e+01
2.062000000000000000e+09,-4.541799999999999926e+01
2.063000000000000000e+09,-4.576800000000000068e+01
2.064000000000000000e+09,-4.543099999999999739e+01
2.065000000000000000e+09,-4.571900000000000119e+01
2.066000000000000000e+09,-4.616599999999999682e+01
2.067000000000000000e+09,-4.538499999999999801e+01
2.068000000000000000e+09,-4.490699999999999648e+01
2.069000000000000000e+09,-4.519400000000000261e+01
2.070000000000000000e+09,-4.586200000000000188e+01
2.071000000000000000e+09,-4.580100000000000193e+01
2.072000000000000000e+09,-4.508700000000000330e+01
2.073000000000000000e+09,-4.476400000000000290e+01
2.074000000000000000e+09,-4.513700000000000045e+01
2.075000000000000000e+09,-4.557999999999999829e+01
2.076000000000000000e+09,-4.645499999999999829e+01
2.077000000000000000e+09,-4.507500000000000284e+01
2.078000000000000000e+09,-4.511999999999999744e+01
2.079000000000000000e+09,-4.450999999999999801e+01
2.080000000000000000e+09,-4.456099999999999994e+01
2.081000000000000000e+09,-4.589300000000000068e+01
2.082000000000000000e+09,-4.508500000000000085e+01
2.083000000000000000e+09,-4.487400000000000233e+01
2.084000000000000000e+09,-4.519400000000000261e+01
2.085000000000000000e+09,-4.451100000000000279e+01
2.086000000000000000e+09,-4.530700000000000216e+01
2.087000000000000000e+09,-4.488799999999999812e+01
2.088000000000000000e+09,-4.518299999999999983e+01
2.089000000000000000e+09,-4.516199999999999903e+01
2.090000000000000000e+09,-4.513199999999999790e+01
2.091000000000000000e+09,-4.549199999999999733e+01
2.092000000000000000e+09,-4.522099999999999653e+01
2.093000000000000000e+09,-4.441299999999999670e+01
2.094000000000000000e+09,-4.550200000000000244e+01
2.095000000000000000e+09,-4.552600000000000335e+01
2.096000000000000000e+09,-4.499600000000000222e+01
2.097000000000000000e+09,-4.456900000000000261e+01
2.098000000000000000e+09,-4.525500000000000256e+01
2.099000000000000000e+09,-4.482099999999999795e+01
2.100000000000000000e+09,-5.988499999999999801e+01
2.101000000000000000e+09,-4.588799999999999812e+01
2.102000000000000000e+09,-4.510699999999999932e+01
2.103000000000000000e+09,-4.539000000000000057e+01
2.104000000000000000e+09,-4.454800000000000182e+01
2.105000000000000000e+09,-4.485199999999999676e+01
2.106000000000000000e+09,-4.553000000000000114e+01
2.107000000000000000e+09,-4.476500000000000057e+01
2.108000000000000000e+09,-4.538900000000000290e+01
2.109000000000000000e+09,-4.463400000000000034e+01
2.110000000000000000e+09,-4.468900000000000006e+01
2.111000000000000000e+09,-4.526200000000000045e+01
2.112000000000000000e+09,-4.497099999999999653e+01
2.113000000000000000e+09,-4.451800000000000068e+01
2.114000000000000000e+09,-4.486899999999999977e+01
2.115000000000000000e+09,-4.463700000000000045e+01
2.116000000000000000e+09,-4.577400000000000091e+01
2.117000000000000000e+09,-4.481499999999999773e+01
2.118000000000000000e+09,-4.497999999999999687e+01
2.119000000000000000e+09,-4.443699999999999761e+01
2.120000000000000000e+09,-4.551599999999999824e+01
2.121000000000000000e+09,-4.519100000000000250e+01
2.122000000000000000e+09,-4.480799999999999983e+01
2.123000000000000000e+09,-4.479399999999999693e+01
2.124000000000000000e+09,-4.440200000000000102e+01
2.125000000000000000e+09,-4.478600000000000136e+01
2.126000000000000000e+09,-4.483500000000000085e+01
2.127000000000000000e+09,-4.454299999999999926e+01
2.128000000000000000e+09,-4.490800000000000125e+01
2.129000000000000000e+09,-4.495600000000000307e+01
2.130000000000000000e+09,-4.471500000000000341e+01
2.131000000000000000e+09,-4.557300000000000040e+01
2.132000000000000000e+09,-4.393900000000000006e+01
2.133000000000000000e+09,-4.482699999999999818e+01
2.134000000000000000e+09,-4.491299999999999670e+01
