frequency_hz,power_dbm
2.000000000000000000e+09,-5.562299999999999756e+01
2.001000000000000000e+09,-5.623499999999999943e+01
2.002000000000000000e+09,-5.552199999999999847e+01
2.003000000000000000e+09,-5.464300000000000068e+01
2.004000000000000000e+09,-5.402499999999999858e+01
2.005000000000000000e+09,-5.540899999999999892e+01
2.006000000000000000e+09,-5.702400000000000091e+01
2.007000000000000000e+09,-5.600000000000000000e+01
2.008000000000000000e+09,-5.580599999999999739e+01
2.009000000000000000e+09,-5.514000000000000057e+01
2.010000000000000000e+09,-5.610399999999999920e+01
2.011000000000000000e+09,-5.548400000000000176e+01
2.012000000000000000e+09,-5.525300000000000011e+01
2.013000000000000000e+09,-5.454800000000000182e+01
2.014000000000000000e+09,-5.567699999999999960e+01
2.015000000000000000e+09,-5.475500000000000256e+01
2.016000000000000000e+09,-5.548400000000000176e+01
2.017000000000000000e+09,-5.644800000000000040e+01
2.018000000000000000e+09,-5.568500000000000227e+01
2.019000000000000000e+09,-5.595700000000000074e+01
2.020000000000000000e+09,-5.473400000000000176e+01
2.021000000000000000e+09,-5.676899999999999835e+01
2.022000000000000000e+09,-5.376800000000000068e+01
2.023000000000000000e+09,-5.668399999999999750e+01
2.024000000000000000e+09,-5.619200000000000017e+01
2.025000000000000000e+09,-5.406199999999999761e+01
2.026000000000000000e+09,-5.622800000000000153e+01
2.027000000000000000e+09,-5.519400000000000261e+01
2.028000000000000000e+09,-5.613300000000000267e+01
2.029000000000000000e+09,-5.582900000000000063e+01
2.030000000000000000e+09,-5.475699999999999790e+01
2.031000000000000000e+09,-5.735699999999999932e+01
2.032000000000000000e+09,-5.378300000000000125e+01
2.033000000000000000e+09,-5.515599999999999881e+01
2.034000000000000000e+09,-5.596999999999999886e+01
2.035000000000000000e+09,-5.497200000000000131e+01
2.036000000000000000e+09,-5.831700000000000017e+01
2.037000000000000000e+09,-5.685199999999999676e+01
2.038000000000000000e+09,-5.619599999999999795e+01
2.039000000000000000e+09,-5.538100000000000023e+01
2.040000000000000000e+09,-5.456799999999999784e+01
2.041000000000000000e+09,-5.660199999999999676e+01
2.042000000000000000e+09,-5.613600000000000279e+01
2.043000000000000000e+09,-5.661899999999999977e+01
2.044000000000000000e+09,-5.530499999999999972e+01
2.045000000000000000e+09,-5.513499999999999801e+01
2.046000000000000000e+09,-5.729999999999999716e+01
2.047000000000000000e+09,-5.471699999999999875e+01
2.048000000000000000e+09,-5.551599999999999824e+01
2.049000000000000000e+09,-5.559100000000000108e+01
2.050000000000000000e+09,-5.635999999999999943e+01
2.051000000000000000e+09,-5.640800000000000125e+01
2.052000000000000000e+09,-5.423499999999999943e+01
2.053000000000000000e+09,-5.458400000000000318e+01
2.054000000000000000e+09,-5.560399999999999920e+01
2.055000000000000000e+09,-5.531199999999999761e+01
2.056000000000000000e+09,-5.510099999999999909e+01
2.057000000000000000e+09,-5.584100000000000108e+01
2.058000000000000000e+09,-5.505499999999999972e+01
2.059000000000000000e+09,-5.395900000000000318e+01
2.060000000000000000e+09,-5.328999999999999915e+01
2.061000000000000000e+09,-5.540800000000000125e+01
2.062000000000000000e+09,-5.457000000000000028e+01
2.063000000000000000e+09,-5.451299999999999812e+01
2.064000000000000000e+09,-5.454099999999999682e+01
2.065000000000000000e+09,-5.498499999999999943e+01
2.066000000000000000e+09,-5.626400000000000290e+01
2.067000000000000000e+09,-5.489000000000000057e+01
2.068000000000000000e+09,-5.468099999999999739e+01
2.069000000000000000e+09,-5.533800000000000097e+01
2.070000000000000000e+09,-5.453699999999999903e+01
2.071000000000000000e+09,-5.457399999999999807e+01
2.072000000000000000e+09,-5.445100000000000051e+01
2.073000000000000000e+09,-5.332000000000000028e+01
2.074000000000000000e+09,-5.453900000000000148e+01
2.075000000000000000e+09,-5.326599999999999824e+01
2.076000000000000000e+09,-5.426700000000000301e+01
2.077000000000000000e+09,-5.168800000000000239e+01
2.078000000000000000e+09,-5.482699999999999818e+01
2.079000000000000000e+09,-5.355400000000000205e+01
2.080000000000000000e+09,-5.307999999999999829e+01
2.081000000000000000e+09,-5.523499999999999943e+01
2.082000000000000000e+09,-5.359300000000000352e+01
2.083000000000000000e+09,-5.351100000000000279e+01
2.084000000000000000e+09,-5.432399999999999807e+01
2.085000000000000000e+09,-5.447399999999999665e+01
2.086000000000000000e+09,-5.428600000000000136e+01
2.087000000000000000e+09,-5.321999999999999886e+01
2.088000000000000000e+09,-5.409899999999999665e+01
2.089000000000000000e+09,-5.485099999999999909e+01
2.090000000000000000e+09,-5.224199999999999733e+01
2.091000000000000000e+09,-5.433200000000000074e+01
2.092000000000000000e+09,-5.322299999999999898e+01
2.093000000000000000e+09,-5.375200000000000244e+01
2.094000000000000000e+09,-5.458500000000000085e+01
2.095000000000000000e+09,-5.399600000000000222e+01
2.096000000000000000e+09,-5.484400000000000119e+01
2.097000000000000000e+09,-5.307699999999999818e+01
2.098000000000000000e+09,-5.497500000000000142e+01
2.099000000000000000e+09,-5.412599999999999767e+01
2.100000000000000000e+09,-5.792999999999999972e+01
2.101000000000000000e+09,-5.424600000000000222e+01
2.102000000000000000e+09,-5.421300000000000097e+01
2.103000000000000000e+09,-5.488300000000000267e+01
2.104000000000000000e+09,-5.324799999999999756e+01
2.105000000000000000e+09,-5.292900000000000205e+01
2.106000000000000000e+09,-5.371399999999999864e+01
2.107000000000000000e+09,-5.350999999999999801e+01
2.108000000000000000e+09,-5.331600000000000250e+01
2.109000000000000000e+09,-5.425600000000000023e+01
2.110000000000000000e+09,-5.363900000000000290e+01
2.111000000000000000e+09,-5.471800000000000352e+01
2.112000000000000000e+09,-5.302300000000000324e+01
2.113000000000000000e+09,-5.306300000000000239e+01
2.114000000000000000e+09,-5.335699999999999932e+01
2.115000000000000000e+09,-5.388900000000000290e+01
2.116000000000000000e+09,-5.320700000000000074e+01
2.117000000000000000e+09,-5.285900000000000176e+01
2.118000000000000000e+09,-5.373299999999999699e+01
2.119000000000000000e+09,-5.354800000000000182e+01
2.120000000000000000e+09,-5.347399999999999665e+01
2.121000000000000000e+09,-5.353300000000000125e+01
2.122000000000000000e+09,-5.343999999999999773e+01
2.123000000000000000e+09,-5.377700000000000102e+01
2.124000000000000000e+09,-5.281199999999999761e+01
2.125000000000000000e+09,-5.381799999999999784e+01
2.126000000000000000e+09,-5.490200000000000102e+01
2.127000000000000000e+09,-5.306000000000000227e+01
2.128000000000000000e+09,-5.456099999999999994e+01
2.129000000000000000e+09,-5.326400000000000290e+01
2.130000000000000000e+09,-5.296800000000000352e+01
2.131000000000000000e+09,-5.260799999999999699e+01
2.132000000000000000e+09,-5.222999999999999687e+01
2.133000000000000000e+09,-5.372599999999999909e+01
2.134000000000000000e+09,-5.270499999999999829e+01
2.135000000000000000e+09,-5.341100000000000136e+01
2.136000000000000000e+09,-5.389699999999999847e+01
2.137000000000000000e+09,-5.361599999999999966e+01
2.138000000000000000e+09,-5.399099999999999966e+01
2.139000000000000000e+09,-5.245400000000000063e+01
2.140000000000000000e+09,-5.350200000000000244e+01
2.141000000000000000e+09,-5.486699999999999733e+01
2.142000000000000000e+09,-5.322899999999999920e+01
2.143000000000000000e+09,-5.302499999999999858e+01
2.144000000000000000e+09,-5.362599999999999767e+01
2.145000000000000000e+09,-5.305400000000000205e+01
2.146000000000000000e+09,-5.304699999999999704e+01
2.147000000000000000e+09,-5.400699999999999790e+01
2.148000000000000000e+09,-5.296900000000000119e+01
2.149000000000000000e+09,-5.289099999999999824e+01
2.150000000000000000e+09,-5.365599999999999881e+01
2.151000000000000000e+09,-5.396399999999999864e+01
2.152000000000000000e+09,-5.274099999999999966e+01
2.153000000000000000e+09,-5.269800000000000040e+01
2.154000000000000000e+09,-5.197999999999999687e+01
2.155000000000000000e+09,-5.296200000000000330e+01
2.156000000000000000e+09,-5.323599999999999710e+01
2.157000000000000000e+09,-5.236099999999999710e+01
2.158000000000000000e+09,-5.328300000000000125e+01
2.159000000000000000e+09,-5.314999999999999858e+01
2.160000000000000000e+09,-5.253099999999999881e+01
2.161000000000000000e+09,-5.462500000000000000e+01
2.162000000000000000e+09,-5.327100000000000080e+01
2.163000000000000000e+09,-5.255199999999999960e+01
2.164000000000000000e+09,-5.203399999999999892e+01
2.165000000000000000e+09,-5.194299999999999784e+01
2.166000000000000000e+09,-5.474300000000000210e+01
2.167000000000000000e+09,-5.221200000000000330e+01
2.168000000000000000e+09,-5.255299999999999727e+01
2.169000000000000000e+09,-5.226899999999999835e+01
2.170000000000000000e+09,-5.244599999999999795e+01
2.171000000000000000e+09,-5.404200000000000159e+01
2.172000000000000000e+09,-5.214099999999999824e+01
2.173000000000000000e+09,-5.229699999999999704e+01
2.174000000000000000e+09,-5.197099999999999653e+01
2.175000000000000000e+09,-5.210199999999999676e+01
2.176000000000000000e+09,-5.149699999999999989e+01
2.177000000000000000e+09,-5.194500000000000028e+01
2.178000000000000000e+09,-5.229999999999999716e+01
2.179000000000000000e+09,-5.242099999999999937e+01
2.180000000000000000e+09,-5.154299999999999926e+01
2.181000000000000000e+09,-5.265599999999999881e+01
2.182000000000000000e+09,-5.156199999999999761e+01
2.183000000000000000e+09,-5.135900000000000176e+01
2.184000000000000000e+09,-5.099199999999999733e+01
2.185000000000000000e+09,-5.194599999999999795e+01
2.186000000000000000e+09,-5.160000000000000142e+01
2.187000000000000000e+09,-5.123599999999999710e+01
2.188000000000000000e+09,-5.265299999999999869e+01
2.189000000000000000e+09,-5.130299999999999727e+01
2.190000000000000000e+09,-5.153300000000000125e+01
2.191000000000000000e+09,-5.245199999999999818e+01
2.192000000000000000e+09,-5.161699999999999733e+01
2.193000000000000000e+09,-5.081900000000000261e+01
2.194000000000000000e+09,-5.067000000000000171e+01
2.195000000000000000e+09,-5.111800000000000210e+01
2.196000000000000000e+09,-5.137899999999999778e+01
2.197000000000000000e+09,-5.057699999999999818e+01
2.198000000000000000e+09,-5.190100000000000335e+01
2.199000000000000000e+09,-5.177499999999999858e+01
2.200000000000000000e+09,-5.259599999999999653e+01
2.201000000000000000e+09,-5.203600000000000136e+01
2.202000000000000000e+09,-5.152799999999999869e+01
2.203000000000000000e+09,-5.083200000000000074e+01
2.204000000000000000e+09,-5.121000000000000085e+01
2.205000000000000000e+09,-5.100900000000000034e+01
2.206000000000000000e+09,-5.220799999999999841e+01
2.207000000000000000e+09,-5.128499999999999659e+01
2.208000000000000000e+09,-5.099699999999999989e+01
2.209000000000000000e+09,-5.067600000000000193e+01
2.210000000000000000e+09,-4.993399999999999750e+01
2.211000000000000000e+09,-5.192000000000000171e+01
2.212000000000000000e+09,-5.032200000000000273e+01
2.213000000000000000e+09,-5.039999999999999858e+01
2.214000000000000000e+09,-5.001899999999999835e+01
2.215000000000000000e+09,-5.092199999999999704e+01
2.216000000000000000e+09,-5.130199999999999960e+01
2.217000000000000000e+09,-4.990400000000000347e+01
2.218000000000000000e+09,-5.049399999999999977e+01
2.219000000000000000e+09,-4.892900000000000205e+01
2.220000000000000000e+09,-5.014900000000000091e+01
