frequency_hz,power_dbm
2.000000000000000000e+09,-3.390999999999999659e+01
2.001000000000000000e+09,-3.500900000000000034e+01
2.002000000000000000e+09,-3.486399999999999721e+01
2.003000000000000000e+09,-3.387599999999999767e+01
2.004000000000000000e+09,-3.471500000000000341e+01
2.005000000000000000e+09,-3.446500000000000341e+01
2.006000000000000000e+09,-3.421500000000000341e+01
2.007000000000000000e+09,-3.465699999999999648e+01
2.008000000000000000e+09,-3.486999999999999744e+01
2.009000000000000000e+09,-3.523199999999999932e+01
2.010000000000000000e+09,-3.456199999999999761e+01
2.011000000000000000e+09,-3.477700000000000102e+01
2.012000000000000000e+09,-3.372999999999999687e+01
2.013000000000000000e+09,-3.481400000000000006e+01
2.014000000000000000e+09,-3.509300000000000352e+01
2.015000000000000000e+09,-3.448100000000000165e+01
2.016000000000000000e+09,-3.476400000000000290e+01
2.017000000000000000e+09,-3.396099999999999852e+01
2.018000000000000000e+09,-3.368099999999999739e+01
2.019000000000000000e+09,-3.497800000000000153e+01
2.020000000000000000e+09,-3.467799999999999727e+01
2.021000000000000000e+09,-3.434400000000000119e+01
2.022000000000000000e+09,-3.409300000000000352e+01
2.023000000000000000e+09,-3.380599999999999739e+01
2.024000000000000000e+09,-3.338499999999999801e+01
2.025000000000000000e+09,-3.366499999999999915e+01
2.026000000000000000e+09,-3.413199999999999790e+01
2.027000000000000000e+09,-3.300200000000000244e+01
2.028000000000000000e+09,-3.321099999999999852e+01
2.029000000000000000e+09,-3.315100000000000335e+01
2.030000000000000000e+09,-3.273100000000000165e+01
2.031000000000000000e+09,-3.345799999999999841e+01
2.032000000000000000e+09,-3.315299999999999869e+01
2.033000000000000000e+09,-3.278600000000000136e+01
2.034000000000000000e+09,-3.330899999999999750e+01
2.035000000000000000e+09,-3.262800000000000011e+01
2.036000000000000000e+09,-3.344599999999999795e+01
2.037000000000000000e+09,-3.281000000000000227e+01
2.038000000000000000e+09,-3.317999999999999972e+01
2.039000000000000000e+09,-3.230299999999999727e+01
2.040000000000000000e+09,-3.230700000000000216e+01
2.041000000000000000e+09,-3.304299999999999926e+01
2.042000000000000000e+09,-3.255799999999999983e+01
2.043000000000000000e+09,-3.198900000000000077e+01
2.044000000000000000e+09,-3.274399999999999977e+01
2.045000000000000000e+09,-3.220900000000000318e+01
2.046000000000000000e+09,-3.226899999999999835e+01
2.047000000000000000e+09,-3.157700000000000173e+01
2.048000000000000000e+09,-3.191700000000000159e+01
2.049000000000000000e+09,-3.180199999999999960e+01
2.050000000000000000e+09,-3.335199999999999676e+01
2.051000000000000000e+09,-3.240100000000000335e+01
2.052000000000000000e+09,-3.140700000000000003e+01
2.053000000000000000e+09,-3.191600000000000037e+01
2.054000000000000000e+09,-3.199699999999999989e+01
2.055000000000000000e+09,-3.202900000000000347e+01
2.056000000000000000e+09,-3.255499999999999972e+01
2.057000000000000000e+09,-3.190599999999999881e+01
2.058000000000000000e+09,-3.170100000000000051e+01
