frequency_hz,power_dbm
2.041000000000000000e+09,-6.374199999999999733e+01
2.041020000000000000e+09,-6.490800000000000125e+01
2.041040000000000000e+09,-6.496200000000000330e+01
2.041060000000000000e+09,-6.679900000000000659e+01
2.041080000000000000e+09,-6.491200000000000614e+01
2.041100000000000000e+09,-6.812800000000000011e+01
2.041120000000000000e+09,-6.472599999999999909e+01
2.041140000000000000e+09,-6.210699999999999932e+01
2.041160000000000000e+09,-6.387400000000000233e+01
2.041180000000000000e+09,-6.507800000000000296e+01
2.041200000000000000e+09,-7.030800000000000693e+01
2.041220000000000000e+09,-6.938400000000000034e+01
2.041240000000000000e+09,-6.467700000000000671e+01
2.041260000000000000e+09,-6.263600000000000279e+01
2.041280000000000000e+09,-6.443800000000000239e+01
2.041300000000000000e+09,-6.507299999999999329e+01
2.041320000000000000e+09,-6.622700000000000387e+01
2.041340000000000000e+09,-6.865200000000000102e+01
2.041360000000000000e+09,-6.355799999999999983e+01
2.041380000000000000e+09,-6.288499999999999801e+01
2.041400000000000000e+09,-6.593500000000000227e+01
2.041420000000000000e+09,-6.637699999999999534e+01
2.041440000000000000e+09,-6.886799999999999500e+01
2.041460000000000000e+09,-6.763899999999999579e+01
2.041480000000000000e+09,-6.340800000000000125e+01
2.041500000000000000e+09,-6.238600000000000279e+01
2.041520000000000000e+09,-6.540399999999999636e+01
2.041540000000000000e+09,-6.827299999999999613e+01
2.041560000000000000e+09,-6.556199999999999761e+01
2.041580000000000000e+09,-6.679399999999999693e+01
2.041600000000000000e+09,-6.915800000000000125e+01
2.041620000000000000e+09,-6.480599999999999739e+01
2.041640000000000000e+09,-6.428000000000000114e+01
2.041660000000000000e+09,-6.617700000000000671e+01
2.041680000000000000e+09,-6.995399999999999352e+01
2.041700000000000000e+09,-6.512199999999999989e+01
2.041720000000000000e+09,-6.585099999999999909e+01
2.041740000000000000e+09,-7.030100000000000193e+01
2.041760000000000000e+09,-6.372099999999999653e+01
2.041780000000000000e+09,-6.446999999999999886e+01
2.041800000000000000e+09,-6.495099999999999341e+01
2.041820000000000000e+09,-6.842300000000000182e+01
2.041840000000000000e+09,-7.186100000000000421e+01
2.041860000000000000e+09,-7.062600000000000477e+01
2.041880000000000000e+09,-6.754800000000000182e+01
2.041900000000000000e+09,-6.541299999999999670e+01
2.041920000000000000e+09,-6.599500000000000455e+01
2.041940000000000000e+09,-6.992799999999999727e+01
2.041960000000000000e+09,-6.975199999999999534e+01
2.041980000000000000e+09,-6.341400000000000148e+01
2.042000000000000000e+09,-6.337199999999999989e+01
2.042020000000000000e+09,-6.511899999999999977e+01
2.042040000000000000e+09,-6.531399999999999295e+01
2.042060000000000000e+09,-7.116200000000000614e+01
2.042080000000000000e+09,-6.774099999999999966e+01
2.042100000000000000e+09,-6.378600000000000136e+01
2.042120000000000000e+09,-6.853700000000000614e+01
2.042140000000000000e+09,-6.536599999999999966e+01
2.042160000000000000e+09,-7.035599999999999454e+01
2.042180000000000000e+09,-6.970499999999999829e+01
2.042200000000000000e+09,-6.535699999999999932e+01
2.042220000000000000e+09,-6.643600000000000705e+01
2.042240000000000000e+09,-6.643399999999999750e+01
2.042260000000000000e+09,-6.718800000000000239e+01
2.042280000000000000e+09,-6.834000000000000341e+01
2.042300000000000000e+09,-6.657500000000000284e+01
2.042320000000000000e+09,-6.816599999999999682e+01
2.042340000000000000e+09,-6.769299999999999784e+01
2.042360000000000000e+09,-6.310600000000000165e+01
2.042380000000000000e+09,-6.775000000000000000e+01
2.042400000000000000e+09,-6.999899999999999523e+01
2.042420000000000000e+09,-6.925900000000000034e+01
2.042440000000000000e+09,-6.737600000000000477e+01
2.042460000000000000e+09,-6.491500000000000625e+01
2.042480000000000000e+09,-6.552299999999999613e+01
2.042500000000000000e+09,-6.592799999999999727e+01
2.042520000000000000e+09,-6.281499999999999773e+01
2.042540000000000000e+09,-6.207099999999999795e+01
2.042560000000000000e+09,-6.400000000000000000e+01
2.042580000000000000e+09,-6.367799999999999727e+01
2.042600000000000000e+09,-6.701600000000000534e+01
2.042620000000000000e+09,-6.503700000000000614e+01
2.042640000000000000e+09,-6.743600000000000705e+01
2.042660000000000000e+09,-7.434799999999999898e+01
2.042680000000000000e+09,-6.359799999999999898e+01
2.042700000000000000e+09,-6.628600000000000136e+01
2.042720000000000000e+09,-6.632500000000000284e+01
2.042740000000000000e+09,-6.617799999999999727e+01
2.042760000000000000e+09,-7.091100000000000136e+01
2.042780000000000000e+09,-7.066200000000000614e+01
2.042800000000000000e+09,-6.598199999999999932e+01
2.042820000000000000e+09,-6.248400000000000176e+01
2.042840000000000000e+09,-7.118099999999999739e+01
2.042860000000000000e+09,-6.706000000000000227e+01
2.042880000000000000e+09,-6.870799999999999841e+01
2.042900000000000000e+09,-6.092999999999999972e+01
2.042920000000000000e+09,-6.661299999999999955e+01
2.042940000000000000e+09,-6.877899999999999636e+01
2.042960000000000000e+09,-6.928300000000000125e+01
2.042980000000000000e+09,-6.452200000000000557e+01
2.043000000000000000e+09,-6.647700000000000387e+01
2.043020000000000000e+09,-6.631199999999999761e+01
2.043040000000000000e+09,-6.669700000000000273e+01
2.043060000000000000e+09,-7.288500000000000512e+01
2.043080000000000000e+09,-6.261399999999999721e+01
2.043100000000000000e+09,-6.460899999999999466e+01
2.043120000000000000e+09,-6.310900000000000176e+01
2.043140000000000000e+09,-7.186400000000000432e+01
2.043160000000000000e+09,-6.587999999999999545e+01
2.043180000000000000e+09,-7.124899999999999523e+01
2.043200000000000000e+09,-6.575000000000000000e+01
2.043220000000000000e+09,-6.132800000000000296e+01
2.043240000000000000e+09,-6.883899999999999864e+01
2.043260000000000000e+09,-6.472199999999999420e+01
2.043280000000000000e+09,-5.992300000000000182e+01
2.043300000000000000e+09,-6.910200000000000387e+01
2.043320000000000000e+09,-6.668600000000000705e+01
2.043340000000000000e+09,-6.297099999999999653e+01
2.043360000000000000e+09,-6.643099999999999739e+01
2.043380000000000000e+09,-6.569899999999999807e+01
2.043400000000000000e+09,-6.472499999999999432e+01
2.043420000000000000e+09,-6.837999999999999545e+01
2.043440000000000000e+09,-6.367900000000000205e+01
2.043460000000000000e+09,-6.551300000000000523e+01
2.043480000000000000e+09,-6.718999999999999773e+01
2.043500000000000000e+09,-6.388700000000000045e+01
2.043520000000000000e+09,-6.815300000000000580e+01
2.043540000000000000e+09,-6.238400000000000034e+01
2.043560000000000000e+09,-6.641299999999999670e+01
2.043580000000000000e+09,-6.507299999999999329e+01
2.043600000000000000e+09,-6.870799999999999841e+01
2.043620000000000000e+09,-6.861199999999999477e+01
2.043640000000000000e+09,-6.302900000000000347e+01
2.043660000000000000e+09,-6.642600000000000193e+01
2.043680000000000000e+09,-7.164100000000000534e+01
2.043700000000000000e+09,-6.732899999999999352e+01
2.043720000000000000e+09,-6.765300000000000580e+01
2.043740000000000000e+09,-6.807099999999999795e+01
2.043760000000000000e+09,-6.779200000000000159e+01
2.043780000000000000e+09,-6.564600000000000080e+01
2.043800000000000000e+09,-6.508799999999999386e+01
2.043820000000000000e+09,-6.246500000000000341e+01
2.043840000000000000e+09,-6.799500000000000455e+01
2.043860000000000000e+09,-6.182000000000000028e+01
2.043880000000000000e+09,-6.542000000000000171e+01
2.043900000000000000e+09,-7.022899999999999920e+01
2.043920000000000000e+09,-6.602299999999999613e+01
2.043940000000000000e+09,-6.444199999999999307e+01
2.043960000000000000e+09,-6.974099999999999966e+01
2.043980000000000000e+09,-6.550700000000000500e+01
2.044000000000000000e+09,-6.886700000000000443e+01
2.044020000000000000e+09,-6.779099999999999682e+01
2.044040000000000000e+09,-6.621599999999999397e+01
2.044060000000000000e+09,-7.091100000000000136e+01
2.044080000000000000e+09,-6.423799999999999955e+01
2.044100000000000000e+09,-6.951399999999999579e+01
2.044120000000000000e+09,-6.770099999999999341e+01
2.044140000000000000e+09,-6.659199999999999875e+01
2.044160000000000000e+09,-6.583899999999999864e+01
2.044180000000000000e+09,-6.727599999999999625e+01
2.044200000000000000e+09,-6.481000000000000227e+01
2.044220000000000000e+09,-6.474899999999999523e+01
2.044240000000000000e+09,-7.087399999999999523e+01
2.044260000000000000e+09,-6.257999999999999829e+01
2.044280000000000000e+09,-6.915500000000000114e+01
2.044300000000000000e+09,-6.980899999999999750e+01
2.044320000000000000e+09,-6.588899999999999579e+01
2.044340000000000000e+09,-7.748199999999999932e+01
2.044360000000000000e+09,-6.084000000000000341e+01
2.044380000000000000e+09,-7.109900000000000375e+01
2.044400000000000000e+09,-6.743800000000000239e+01
2.044420000000000000e+09,-6.871999999999999886e+01
2.044440000000000000e+09,-6.817100000000000648e+01
2.044460000000000000e+09,-6.287199999999999989e+01
2.044480000000000000e+09,-6.650300000000000011e+01
2.044500000000000000e+09,-6.560299999999999443e+01
2.044520000000000000e+09,-6.704200000000000159e+01
2.044540000000000000e+09,-6.399600000000000222e+01
2.044560000000000000e+09,-7.043200000000000216e+01
2.044580000000000000e+09,-6.432899999999999352e+01
2.044600000000000000e+09,-6.539499999999999602e+01
2.044620000000000000e+09,-6.810899999999999466e+01
2.044640000000000000e+09,-6.490900000000000603e+01
2.044660000000000000e+09,-6.635899999999999466e+01
2.044680000000000000e+09,-6.870199999999999818e+01
2.044700000000000000e+09,-6.920199999999999818e+01
2.044720000000000000e+09,-7.005800000000000693e+01
2.044740000000000000e+09,-7.010999999999999943e+01
2.044760000000000000e+09,-6.604099999999999682e+01
2.044780000000000000e+09,-6.599299999999999500e+01
2.044800000000000000e+09,-6.938599999999999568e+01
