frequency_hz,power_dbm
2.275000000000000000e+09,-5.858400000000000318e+01
2.275050000000000000e+09,-5.732900000000000063e+01
2.275100000000000000e+09,-6.129200000000000159e+01
2.275150000000000000e+09,-6.017600000000000193e+01
2.275200000000000000e+09,-6.205100000000000193e+01
2.275250000000000000e+09,-5.986999999999999744e+01
2.275300000000000000e+09,-5.934000000000000341e+01
2.275350000000000000e+09,-5.601500000000000057e+01
2.275400000000000000e+09,-5.914300000000000068e+01
2.275450000000000000e+09,-5.886299999999999955e+01
2.275500000000000000e+09,-6.160399999999999920e+01
2.275550000000000000e+09,-6.411899999999999977e+01
2.275600000000000000e+09,-5.953600000000000136e+01
2.275650000000000000e+09,-6.078199999999999648e+01
2.275700000000000000e+09,-5.981900000000000261e+01
2.275750000000000000e+09,-6.102700000000000102e+01
2.275800000000000000e+09,-5.881000000000000227e+01
2.275850000000000000e+09,-5.955799999999999983e+01
2.275900000000000000e+09,-5.832800000000000296e+01
2.275950000000000000e+09,-6.300399999999999778e+01
2.276000000000000000e+09,-6.100999999999999801e+01
2.276050000000000000e+09,-5.899199999999999733e+01
2.276100000000000000e+09,-5.875800000000000267e+01
2.276150000000000000e+09,-5.808899999999999864e+01
2.276200000000000000e+09,-5.869899999999999807e+01
2.276250000000000000e+09,-6.006600000000000250e+01
2.276300000000000000e+09,-5.949600000000000222e+01
2.276350000000000000e+09,-5.978399999999999892e+01
2.276400000000000000e+09,-6.125099999999999767e+01
2.276450000000000000e+09,-6.102600000000000335e+01
2.276500000000000000e+09,-5.723299999999999699e+01
2.276550000000000000e+09,-6.182699999999999818e+01
2.276600000000000000e+09,-6.051500000000000057e+01
2.276650000000000000e+09,-6.036299999999999955e+01
2.276700000000000000e+09,-5.932699999999999818e+01
2.276750000000000000e+09,-5.626899999999999835e+01
2.276800000000000000e+09,-5.904399999999999693e+01
2.276850000000000000e+09,-6.127300000000000324e+01
2.276900000000000000e+09,-6.381099999999999994e+01
2.276950000000000000e+09,-6.152600000000000335e+01
2.277000000000000000e+09,-5.774699999999999989e+01
2.277050000000000000e+09,-5.954800000000000182e+01
2.277100000000000000e+09,-6.092399999999999949e+01
2.277150000000000000e+09,-6.021200000000000330e+01
2.277200000000000000e+09,-5.535000000000000142e+01
2.277250000000000000e+09,-5.874000000000000199e+01
2.277300000000000000e+09,-5.871099999999999852e+01
2.277350000000000000e+09,-6.087299999999999756e+01
2.277400000000000000e+09,-6.054200000000000159e+01
2.277450000000000000e+09,-5.884499999999999886e+01
2.277500000000000000e+09,-5.720700000000000074e+01
2.277550000000000000e+09,-5.998100000000000165e+01
2.277600000000000000e+09,-6.178799999999999670e+01
