frequency_hz,power_dbm
2.250000000000000000e+09,-2.876300000000000168e+01
2.250100000000000000e+09,-2.903200000000000003e+01
2.250200000000000000e+09,-2.881599999999999895e+01
2.250300000000000000e+09,-2.899299999999999855e+01
2.250400000000000000e+09,-2.883800000000000097e+01
2.250500000000000000e+09,-2.905000000000000071e+01
2.250600000000000000e+09,-2.907700000000000173e+01
2.250700000000000000e+09,-2.889999999999999858e+01
2.250800000000000000e+09,-2.905600000000000094e+01
2.250900000000000000e+09,-2.876099999999999923e+01
2.251000000000000000e+09,-2.929700000000000060e+01
2.251100000000000000e+09,-2.941900000000000048e+01
2.251200000000000000e+09,-2.932499999999999929e+01
2.251300000000000000e+09,-2.885300000000000153e+01
2.251400000000000000e+09,-2.909799999999999898e+01
2.251500000000000000e+09,-2.887699999999999889e+01
2.251600000000000000e+09,-2.860900000000000176e+01
2.251700000000000000e+09,-2.904400000000000048e+01
2.251800000000000000e+09,-2.908899999999999864e+01
2.251900000000000000e+09,-2.891499999999999915e+01
2.252000000000000000e+09,-2.878900000000000148e+01
2.252100000000000000e+09,-2.869099999999999895e+01
2.252200000000000000e+09,-2.906700000000000017e+01
2.252300000000000000e+09,-2.883699999999999974e+01
2.252400000000000000e+09,-2.887699999999999889e+01
2.252500000000000000e+09,-2.890599999999999881e+01
2.252600000000000000e+09,-2.855199999999999960e+01
2.252700000000000000e+09,-2.848000000000000043e+01
2.252800000000000000e+09,-2.901599999999999824e+01
2.252900000000000000e+09,-2.896799999999999997e+01
2.253000000000000000e+09,-2.892599999999999838e+01
2.253100000000000000e+09,-2.898600000000000065e+01
2.253200000000000000e+09,-2.899299999999999855e+01
2.253300000000000000e+09,-2.943700000000000117e+01
2.253400000000000000e+09,-2.910999999999999943e+01
2.253500000000000000e+09,-2.932000000000000028e+01
2.253600000000000000e+09,-2.952899999999999991e+01
2.253700000000000000e+09,-2.960000000000000142e+01
2.253800000000000000e+09,-2.869500000000000028e+01
2.253900000000000000e+09,-2.859900000000000020e+01
2.254000000000000000e+09,-2.902299999999999969e+01
2.254100000000000000e+09,-2.885900000000000176e+01
2.254200000000000000e+09,-2.860800000000000054e+01
2.254300000000000000e+09,-2.916900000000000048e+01
2.254400000000000000e+09,-2.862399999999999878e+01
2.254500000000000000e+09,-2.912000000000000099e+01
2.254600000000000000e+09,-2.913599999999999923e+01
2.254700000000000000e+09,-2.878500000000000014e+01
2.254800000000000000e+09,-2.901699999999999946e+01
2.254900000000000000e+09,-2.901699999999999946e+01
2.255000000000000000e+09,-2.886700000000000088e+01
2.255100000000000000e+09,-2.881599999999999895e+01
2.255200000000000000e+09,-2.879899999999999949e+01
2.255300000000000000e+09,-2.899399999999999977e+01
2.255400000000000000e+09,-2.906700000000000017e+01
2.255500000000000000e+09,-2.931800000000000139e+01
2.255600000000000000e+09,-2.915800000000000125e+01
2.255700000000000000e+09,-2.971399999999999864e+01
2.255800000000000000e+09,-2.914000000000000057e+01
2.255900000000000000e+09,-2.959100000000000108e+01
2.256000000000000000e+09,-2.955199999999999960e+01
2.256100000000000000e+09,-2.969200000000000017e+01
2.256200000000000000e+09,-2.997599999999999909e+01
2.256300000000000000e+09,-2.910800000000000054e+01
2.256400000000000000e+09,-2.930499999999999972e+01
2.256500000000000000e+09,-2.885699999999999932e+01
2.256600000000000000e+09,-2.908699999999999974e+01
2.256700000000000000e+09,-2.913299999999999912e+01
2.256800000000000000e+09,-2.901800000000000068e+01
2.256900000000000000e+09,-2.871799999999999997e+01
2.257000000000000000e+09,-2.898199999999999932e+01
2.257100000000000000e+09,-2.905799999999999983e+01
2.257200000000000000e+09,-2.885699999999999932e+01
2.257300000000000000e+09,-2.908999999999999986e+01
2.257400000000000000e+09,-2.869099999999999895e+01
2.257500000000000000e+09,-2.904700000000000060e+01
2.257600000000000000e+09,-2.908299999999999841e+01
2.257700000000000000e+09,-2.918199999999999861e+01
2.257800000000000000e+09,-2.882799999999999940e+01
2.257900000000000000e+09,-2.868900000000000006e+01
2.258000000000000000e+09,-2.891000000000000014e+01
2.258100000000000000e+09,-2.925499999999999901e+01
2.258200000000000000e+09,-2.921799999999999997e+01
2.258300000000000000e+09,-2.962999999999999901e+01
2.258400000000000000e+09,-2.982799999999999940e+01
2.258500000000000000e+09,-3.005099999999999838e+01
2.258600000000000000e+09,-2.935800000000000054e+01
2.258700000000000000e+09,-3.027899999999999991e+01
2.258800000000000000e+09,-2.908200000000000074e+01
2.258900000000000000e+09,-2.919600000000000151e+01
2.259000000000000000e+09,-2.912600000000000122e+01
2.259100000000000000e+09,-2.913899999999999935e+01
2.259200000000000000e+09,-2.935000000000000142e+01
2.259300000000000000e+09,-2.912199999999999989e+01
2.259400000000000000e+09,-2.931299999999999883e+01
2.259500000000000000e+09,-2.957199999999999918e+01
2.259600000000000000e+09,-2.924200000000000088e+01
2.259700000000000000e+09,-2.943499999999999872e+01
2.259800000000000000e+09,-2.927799999999999869e+01
2.259900000000000000e+09,-2.960200000000000031e+01
2.260000000000000000e+09,-2.873699999999999832e+01
2.260100000000000000e+09,-2.921699999999999875e+01
