in s,C1 in V,C3 in V
-3.0000E-06,1.48305E-02,-2.94445E+00
-2.9996E-06,1.46352E-02,-3.29602E+00
-2.9992E-06,1.40492E-02,-3.53039E+00
-2.9988E-06,1.48305E-02,-3.64758E+00
-2.9984E-06,1.50258E-02,-3.74523E+00
-2.9980E-06,1.46352E-02,-3.84289E+00
-2.9976E-06,1.52211E-02,-3.99914E+00
-2.9972E-06,1.48305E-02,-4.07727E+00
-2.9968E-06,1.46352E-02,-4.09680E+00
-2.9964E-06,1.44398E-02,-4.13586E+00
-2.9960E-06,1.48305E-02,-4.17492E+00
-2.9956E-06,1.50258E-02,-4.13586E+00
-2.9952E-06,1.46352E-02,-4.13586E+00
-2.9948E-06,1.42445E-02,-4.21398E+00
-2.9944E-06,1.46352E-02,-4.15539E+00
-2.9940E-06,1.42445E-02,-4.23352E+00
-2.9936E-06,1.44398E-02,-4.17492E+00
-2.9932E-06,1.46352E-02,-4.15539E+00
-2.9928E-06,1.42445E-02,-4.09680E+00
-2.9924E-06,1.38539E-02,-4.11633E+00
-2.9920E-06,1.38539E-02,-4.05773E+00
-2.9916E-06,1.44398E-02,-4.05773E+00
-2.9912E-06,1.42445E-02,-4.11633E+00
-2.9908E-06,1.42445E-02,-4.09680E+00
-2.9904E-06,1.42445E-02,-4.03820E+00
-2.9900E-06,1.40492E-02,-4.05773E+00
-2.9896E-06,1.40492E-02,-4.07727E+00
-2.9892E-06,1.44398E-02,-4.13586E+00
-2.9888E-06,1.38539E-02,-4.01867E+00
-2.9884E-06,1.38539E-02,-4.17492E+00
-2.9880E-06,1.40492E-02,-4.07727E+00
-2.9876E-06,1.40492E-02,-4.13586E+00
-2.9872E-06,1.46352E-02,-4.11633E+00
-2.9868E-06,1.36586E-02,-4.17492E+00
-2.9864E-06,1.40492E-02,-4.15539E+00
-2.9860E-06,1.36586E-02,-4.17492E+00
-2.9856E-06,1.48305E-02,-4.13586E+00
-2.9852E-06,1.44398E-02,-4.13586E+00
-2.9848E-06,1.40492E-02,-4.21398E+00
-2.9844E-06,1.40492E-02,-4.17492E+00
-2.9840E-06,1.44398E-02,-4.19445E+00
-2.9836E-06,1.38539E-02,-4.19445E+00
-2.9832E-06,1.36586E-02,-4.23352E+00
-2.9828E-06,1.38539E-02,-4.19445E+00
-2.9824E-06,1.44398E-02,-4.17492E+00
-2.9820E-06,1.32680E-02,-4.19445E+00
-2.9816E-06,1.40492E-02,-4.09680E+00
-2.9812E-06,1.36586E-02,-4.19445E+00
-2.9808E-06,1.44398E-02,-4.07727E+00
-2.9804E-06,1.40492E-02,-4.07727E+00
-2.9800E-06,1.38539E-02,-4.01867E+00
-2.9796E-06,1.36586E-02,-4.01867E+00
-2.9792E-06,1.38539E-02,-3.88195E+00
-2.9788E-06,1.26820E-02,-3.74523E+00
-2.9784E-06,1.32680E-02,-3.60852E+00
-2.9780E-06,1.26820E-02,-3.49133E+00
-2.9776E-06,1.17055E-02,-3.29602E+00
-2.9772E-06,1.05336E-02,-3.12023E+00
-2.9768E-06,1.01430E-02,-2.92492E+00
-2.9764E-06,9.16641E-03,-2.76867E+00
-2.9760E-06,7.40859E-03,-2.59289E+00
-2.9756E-06,7.21328E-03,-2.53430E+00
-2.9752E-06,7.40859E-03,-2.39758E+00
-2.9748E-06,6.43203E-03,-2.41711E+00
-2.9744E-06,6.43203E-03,-2.28039E+00
-2.9740E-06,5.45547E-03,-2.31945E+00
-2.9736E-06,5.84609E-03,-2.20227E+00
-2.9732E-06,5.45547E-03,-2.18273E+00
-2.9728E-06,4.47891E-03,-2.06555E+00
-2.9724E-06,4.08828E-03,-2.08508E+00
-2.9720E-06,3.69766E-03,-2.16320E+00
-2.9716E-06,3.89297E-03,-2.16320E+00
-2.9712E-06,3.69766E-03,-2.04602E+00
-2.9708E-06,2.91641E-03,-2.10461E+00
-2.9704E-06,2.91641E-03,-2.16320E+00
-2.9700E-06,2.72109E-03,-2.16320E+00
-2.9696E-06,3.30703E-03,-2.08508E+00
-2.9692E-06,2.91641E-03,-2.10461E+00
-2.9688E-06,4.28359E-03,-1.98742E+00
-2.9684E-06,3.50234E-03,-2.04602E+00
-2.9680E-06,3.69766E-03,-2.00695E+00
-2.9676E-06,4.28359E-03,-1.94836E+00
-2.9672E-06,4.47891E-03,-1.96789E+00
-2.9668E-06,3.50234E-03,-1.90930E+00
-2.9664E-06,3.89297E-03,-1.87023E+00
-2.9660E-06,4.47891E-03,-1.90930E+00
-2.9656E-06,4.47891E-03,-1.90930E+00
-2.9652E-06,4.28359E-03,-1.88977E+00
-2.9648E-06,4.86953E-03,-1.92883E+00
-2.9644E-06,4.67422E-03,-1.90930E+00
-2.9640E-06,5.26016E-03,-1.96789E+00
-2.9636E-06,5.26016E-03,-1.94836E+00
-2.9632E-06,5.84609E-03,-1.94836E+00
-2.9628E-06,5.06484E-03,-1.96789E+00
-2.9624E-06,5.26016E-03,-2.00695E+00
-2.9620E-06,6.04141E-03,-1.96789E+00
-2.9616E-06,6.23672E-03,-1.96789E+00
-2.9612E-06,5.84609E-03,-2.00695E+00
