in s,C1 in V
-3.0000E-06,1.93617E-03
-2.9996E-06,1.99477E-03
-2.9992E-06,2.03383E-03
-2.9988E-06,2.07289E-03
-2.9984E-06,2.05336E-03
-2.9980E-06,2.11195E-03
-2.9976E-06,2.11195E-03
-2.9972E-06,2.13148E-03
-2.9968E-06,2.19008E-03
-2.9964E-06,2.22914E-03
-2.9960E-06,2.20961E-03
-2.9956E-06,2.28773E-03
-2.9952E-06,2.30727E-03
-2.9948E-06,2.36586E-03
-2.9944E-06,2.42445E-03
-2.9940E-06,2.38539E-03
-2.9936E-06,2.38539E-03
-2.9932E-06,2.50258E-03
-2.9928E-06,2.46352E-03
-2.9924E-06,2.46352E-03
-2.9920E-06,2.46352E-03
-2.9916E-06,2.50258E-03
-2.9912E-06,2.58070E-03
-2.9908E-06,2.61977E-03
-2.9904E-06,2.54164E-03
-2.9900E-06,2.52211E-03
-2.9896E-06,2.61977E-03
-2.9892E-06,2.65883E-03
-2.9888E-06,2.54164E-03
-2.9884E-06,2.65883E-03
-2.9880E-06,2.63930E-03
-2.9876E-06,2.75648E-03
-2.9872E-06,2.63930E-03
-2.9868E-06,2.69789E-03
-2.9864E-06,2.77602E-03
-2.9860E-06,2.71742E-03
-2.9856E-06,2.73695E-03
-2.9852E-06,2.67836E-03
-2.9848E-06,2.73695E-03
-2.9844E-06,2.73695E-03
-2.9840E-06,2.73695E-03
-2.9836E-06,2.79555E-03
-2.9832E-06,2.73695E-03
-2.9828E-06,2.75648E-03
-2.9824E-06,2.73695E-03
-2.9820E-06,2.79555E-03
-2.9816E-06,2.75648E-03
-2.9812E-06,2.79555E-03
-2.9808E-06,2.77602E-03
-2.9804E-06,2.85414E-03
-2.9800E-06,2.87367E-03
-2.9796E-06,2.77602E-03
-2.9792E-06,2.79555E-03
-2.9788E-06,2.83461E-03
-2.9784E-06,2.85414E-03
-2.9780E-06,2.85414E-03
-2.9776E-06,2.83461E-03
-2.9772E-06,2.85414E-03
-2.9768E-06,2.81508E-03
-2.9764E-06,2.81508E-03
-2.9760E-06,2.81508E-03
-2.9756E-06,2.85414E-03
-2.9752E-06,2.81508E-03
-2.9748E-06,2.81508E-03
-2.9744E-06,2.81508E-03
-2.9740E-06,2.87367E-03
-2.9736E-06,2.77602E-03
-2.9732E-06,2.79555E-03
-2.9728E-06,2.79555E-03
-2.9724E-06,2.77602E-03
-2.9720E-06,2.71742E-03
-2.9716E-06,2.79555E-03
-2.9712E-06,2.71742E-03
-2.9708E-06,2.75648E-03
-2.9704E-06,2.77602E-03
-2.9700E-06,2.69789E-03
-2.9696E-06,2.69789E-03
-2.9692E-06,2.67836E-03
-2.9688E-06,2.61977E-03
-2.9684E-06,2.44398E-03
-2.9680E-06,2.22914E-03
-2.9676E-06,2.07289E-03
-2.9672E-06,1.79945E-03
-2.9668E-06,1.60414E-03
-2.9664E-06,1.27211E-03
-2.9660E-06,1.09633E-03
-2.9656E-06,9.98672E-04
-2.9652E-06,9.20547E-04
-2.9648E-06,7.64297E-04
-2.9644E-06,8.03359E-04
-2.9640E-06,6.27578E-04
-2.9636E-06,5.49453E-04
-2.9632E-06,4.71328E-04
-2.9628E-06,4.51797E-04
-2.9624E-06,2.76016E-04
-2.9620E-06,1.00234E-04
-2.9616E-06,-1.34141E-04
-2.9612E-06,-2.70859E-04
-2.9608E-06,-5.05234E-04
-2.9604E-06,-6.41953E-04
-2.9600E-06,-9.73984E-04
-2.9596E-06,-1.01305E-03
-2.9592E-06,-1.14977E-03
-2.9588E-06,-1.18883E-03
-2.9584E-06,-1.22789E-03
-2.9580E-06,-1.28648E-03
-2.9576E-06,-1.38414E-03
-2.9572E-06,-1.48180E-03
-2.9568E-06,-1.52086E-03
-2.9564E-06,-1.52086E-03
-2.9560E-06,-1.65758E-03
-2.9556E-06,-1.71617E-03
-2.9552E-06,-1.87242E-03
-2.9548E-06,-1.93102E-03
-2.9544E-06,-1.95055E-03
-2.9540E-06,-2.10680E-03
-2.9536E-06,-2.22398E-03
-2.9532E-06,-2.26305E-03
-2.9528E-06,-2.32164E-03
-2.9524E-06,-2.22398E-03
-2.9520E-06,-2.26305E-03
-2.9516E-06,-2.20445E-03
-2.9512E-06,-2.24352E-03
-2.9508E-06,-2.20445E-03
-2.9504E-06,-2.18492E-03
-2.9500E-06,-2.08727E-03
-2.9496E-06,-2.04820E-03
-2.9492E-06,-1.93102E-03
-2.9488E-06,-1.87242E-03
-2.9484E-06,-1.79430E-03
-2.9480E-06,-1.71617E-03
-2.9476E-06,-1.63805E-03
-2.9472E-06,-1.54039E-03
-2.9468E-06,-1.42320E-03
-2.9464E-06,-1.28648E-03
-2.9460E-06,-1.14977E-03
-2.9456E-06,-1.14977E-03
-2.9452E-06,-9.73984E-04
-2.9448E-06,-9.15391E-04
-2.9444E-06,-8.37266E-04
-2.9440E-06,-7.98203E-04
-2.9436E-06,-6.22422E-04
-2.9432E-06,-6.02891E-04
-2.9428E-06,-4.85703E-04
-2.9424E-06,-4.07578E-04
-2.9420E-06,-2.90391E-04
-2.9416E-06,-2.31797E-04
-2.9412E-06,-7.55469E-05
-2.9408E-06,-9.50781E-05
-2.9404E-06,6.11719E-05
-2.9400E-06,1.58828E-04
-2.9396E-06,1.78359E-04
-2.9392E-06,2.36953E-04
-2.9388E-06,3.54141E-04
-2.9384E-06,4.12734E-04
-2.9380E-06,3.73672E-04
-2.9376E-06,4.12734E-04
-2.9372E-06,3.34609E-04
-2.9368E-06,1.78359E-04
-2.9364E-06,8.07031E-05
-2.9360E-06,-1.34141E-04
