in s,C2 in V
-1.1999434E+00,1.25586E-03
-1.1999249E+00,3.20898E-03
-1.1999064E+00,2.72070E-03
-1.1998879E+00,-6.97266E-04
-1.1998694E+00,2.79297E-04
-1.1998510E+00,1.25586E-03
-1.1998325E+00,1.25586E-03
-1.1998140E+00,7.67578E-04
-1.1997955E+00,-2.08984E-04
-1.1997770E+00,2.72070E-03
-1.1997586E+00,7.67578E-04
-1.1997401E+00,7.67578E-04
-1.1997216E+00,1.25586E-03
-1.1997031E+00,3.20898E-03
-1.1996846E+00,1.25586E-03
-1.1996662E+00,1.25586E-03
-1.1996477E+00,2.23242E-03
-1.1996292E+00,3.20898E-03
-1.1996107E+00,1.25586E-03
-1.1995922E+00,1.74414E-03
-1.1995738E+00,1.25586E-03
-1.1995553E+00,1.74414E-03
-1.1995368E+00,2.72070E-03
-1.1995183E+00,7.67578E-04
-1.1994998E+00,2.72070E-03
-1.1994814E+00,1.74414E-03
-1.1994629E+00,1.25586E-03
-1.1994444E+00,1.74414E-03
-1.1994259E+00,2.79297E-04
-1.1994074E+00,2.72070E-03
-1.1993890E+00,1.74414E-03
-1.1993705E+00,1.25586E-03
-1.1993520E+00,2.23242E-03
-1.1993335E+00,1.74414E-03
-1.1993150E+00,1.25586E-03
-1.1992966E+00,-2.08984E-04
-1.1992781E+00,1.25586E-03
-1.1992596E+00,7.67578E-04
-1.1992411E+00,1.25586E-03
-1.1992226E+00,2.23242E-03
-1.1992042E+00,1.74414E-03
-1.1991857E+00,1.74414E-03
-1.1991672E+00,1.25586E-03
-1.1991487E+00,1.74414E-03
-1.1991302E+00,2.72070E-03
-1.1991118E+00,-2.08984E-04
-1.1990933E+00,1.25586E-03
-1.1990748E+00,1.25586E-03
-1.1990563E+00,1.25586E-03
-1.1990378E+00,1.74414E-03
-1.1990194E+00,2.23242E-03
-1.1990009E+00,2.72070E-03
-1.1989824E+00,2.23242E-03
-1.1989639E+00,1.74414E-03
-1.1989454E+00,2.23242E-03
-1.1989270E+00,-2.08984E-04
-1.1989085E+00,1.25586E-03
-1.1988900E+00,1.25586E-03
-1.1988715E+00,1.74414E-03
-1.1988530E+00,7.67578E-04
-1.1988346E+00,2.23242E-03
-1.1988161E+00,1.74414E-03
-1.1987976E+00,1.25586E-03
